TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Dallas Mavericks,47.0,23.0,24.0,48.9,4.5,9.2,3.0,7.0,42.4,0.7,1.9,38.2,2.5,3.1,81.5,0.8,3.0,3.8,1.6,1.3,0.6,0.5,0.4,2.7,2.6,-0.2
Portland Trail Blazers,46.0,22.0,24.0,47.8,3.9,8.8,2.8,6.6,41.9,1.0,2.6,39.7,2.2,2.9,74.8,1.1,2.1,3.2,1.6,1.0,0.5,0.4,0.3,2.3,2.1,0.3
Philadelphia 76ers,42.0,19.0,23.0,45.2,3.1,6.0,2.4,5.3,44.8,0.3,1.2,23.1,1.0,1.5,69.4,0.7,2.2,2.9,1.3,0.8,0.4,0.2,0.4,1.8,1.4,-0.2
Sacramento Kings,38.0,17.0,21.0,44.7,3.9,7.8,2.3,5.9,39.4,0.8,2.0,41.3,2.3,3.1,76.1,0.6,2.3,3.0,1.4,1.1,0.7,0.4,0.7,2.3,2.0,-0.8
Cleveland Cavaliers,49.0,20.0,29.0,40.8,3.9,8.6,2.9,6.5,44.7,0.4,1.7,26.5,2.4,3.0,79.5,0.8,2.5,3.3,1.1,1.1,0.5,0.3,0.6,2.9,2.0,-0.8
Charlotte Bobcats,40.0,16.0,24.0,40.0,4.0,8.0,2.5,6.5,38.2,0.5,1.6,32.3,2.5,3.2,79.4,1.1,2.4,3.5,1.3,1.1,0.5,0.6,0.6,2.4,2.4,-0.2
Phoenix Suns,45.0,18.0,27.0,40.0,3.5,6.6,2.4,5.7,41.1,0.3,1.2,25.0,1.6,2.2,75.5,0.9,2.2,3.1,1.1,1.0,0.5,0.3,0.4,2.0,1.8,-0.5
Toronto Raptors,48.0,19.0,29.0,39.6,4.4,7.8,2.5,7.4,34.0,0.4,1.9,20.4,2.4,3.1,77.7,1.1,2.6,3.7,1.4,0.9,0.5,0.4,0.7,2.8,2.3,-2.4
Minnesota Timberwolves,41.0,16.0,25.0,39.0,3.3,6.6,2.1,5.8,36.0,0.4,1.7,21.7,2.1,2.8,75.7,0.9,2.0,2.9,1.3,0.8,0.8,0.4,0.4,2.0,1.9,-0.7
New Orleans Hornets,43.0,15.0,28.0,34.9,3.6,6.7,2.3,6.2,38.1,0.7,2.1,31.5,1.3,1.7,80.6,0.9,2.1,3.0,1.3,1.0,0.3,0.5,0.5,2.4,1.3,-2.3
Detroit Pistons,38.0,13.0,25.0,34.2,3.9,7.7,2.5,6.3,40.0,0.7,1.9,34.7,1.9,2.9,67.9,1.2,2.4,3.6,1.4,1.2,0.6,0.3,0.4,2.5,2.0,-0.9
Washington Wizards,53.0,16.0,37.0,30.2,3.9,6.3,2.0,6.0,33.1,0.4,1.7,25.6,1.9,2.8,66.9,0.9,2.8,3.7,1.2,1.3,0.5,0.5,0.4,2.5,2.0,-1.9
Orlando Magic,43.0,12.0,31.0,27.9,3.8,7.1,2.4,6.3,37.5,0.5,1.9,28.0,1.9,2.3,80.8,0.9,2.6,3.4,1.5,1.1,0.3,0.3,0.7,2.5,1.5,-1.9
