TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Denver Nuggets,46.0,31.0,15.0,152.0,108.2,95.0,13.2,60.7,1.45,15.7,41.8,71.0,56.6,15.5,50.4,55.6,102.39,60.6
Philadelphia 76ers,45.0,30.0,15.0,165.0,109.8,108.7,1.1,57.0,1.3,13.8,30.8,68.6,50.6,14.0,51.9,59.4,105.19,57.6
LA Clippers,43.0,27.0,16.0,155.0,116.7,99.1,17.6,50.0,1.43,13.5,29.3,65.9,49.5,12.3,54.6,62.9,104.33,63.8
Portland Trail Blazers,42.0,25.0,17.0,142.0,115.1,108.2,6.9,48.7,2.0,13.1,40.3,68.4,54.2,9.1,48.0,54.5,105.69,55.8
Brooklyn Nets,44.0,24.0,20.0,183.0,111.0,109.6,1.4,49.0,1.43,13.3,35.0,59.6,48.0,12.6,52.0,56.4,102.72,48.9
Houston Rockets,41.0,24.0,17.0,147.0,110.7,113.6,-2.9,41.3,1.12,9.5,34.0,67.8,50.3,11.0,46.4,56.1,98.53,49.2
Sacramento Kings,49.0,24.0,25.0,162.0,108.0,107.3,0.8,54.5,2.13,14.1,29.7,66.3,47.0,8.9,46.4,53.1,107.05,48.6
San Antonio Spurs,40.0,24.0,16.0,160.0,113.0,111.7,1.2,49.2,2.1,14.7,25.3,68.0,47.4,9.1,52.9,58.9,98.33,53.6
Boston Celtics,42.0,23.0,19.0,148.0,125.7,114.8,10.9,49.6,2.03,15.4,27.5,62.7,46.5,10.0,57.3,64.0,104.24,54.8
Indiana Pacers,41.0,23.0,18.0,121.0,113.3,100.0,13.3,52.9,1.5,15.7,28.3,70.2,52.2,14.1,56.3,61.0,101.86,57.2
Toronto Raptors,38.0,23.0,15.0,173.0,109.5,102.0,7.5,50.0,1.81,13.8,33.3,66.1,49.0,10.4,49.2,55.0,96.95,54.2
Milwaukee Bucks,36.0,22.0,14.0,138.0,112.2,110.5,1.6,53.8,1.47,15.1,35.4,71.2,52.8,14.1,53.6,57.6,104.23,53.0
Oklahoma City Thunder,46.0,22.0,24.0,174.0,108.2,106.6,1.6,50.4,1.42,11.8,37.9,68.1,52.0,11.4,44.2,52.6,104.64,50.7
Orlando Magic,47.0,22.0,25.0,165.0,96.1,99.4,-3.3,59.2,1.37,14.5,31.6,80.4,54.6,14.4,45.6,51.2,102.77,50.1
Los Angeles Lakers,43.0,21.0,22.0,144.0,113.3,110.1,3.2,53.4,1.59,14.1,39.3,71.9,55.1,12.3,50.6,57.0,105.81,53.1
Miami Heat,45.0,21.0,24.0,158.0,94.4,99.7,-5.3,56.4,1.27,13.2,37.4,72.5,53.6,14.5,43.1,47.9,102.39,46.8
Atlanta Hawks,41.0,20.0,21.0,165.0,106.1,101.4,4.7,52.7,1.48,14.5,25.1,66.0,46.6,12.8,51.6,56.5,104.37,55.1
Dallas Mavericks,46.0,20.0,26.0,171.0,102.5,109.2,-6.7,41.0,1.47,10.5,28.4,72.5,48.6,9.3,45.3,51.0,103.27,41.2
Detroit Pistons,42.0,20.0,22.0,173.0,113.2,114.4,-1.2,43.8,1.21,12.0,37.9,74.4,56.1,13.2,51.2,58.0,98.39,48.2
Golden State Warriors,35.0,20.0,15.0,138.0,108.0,102.3,5.7,54.5,1.62,14.2,23.2,68.9,47.5,11.4,51.9,58.7,104.8,54.1
Memphis Grizzlies,47.0,19.0,28.0,193.0,100.8,110.4,-9.7,48.8,1.43,12.3,25.7,64.8,44.8,11.1,47.7,54.0,101.04,41.3
Minnesota Timberwolves,45.0,19.0,26.0,172.0,98.0,113.5,-15.5,50.8,1.3,12.5,38.5,61.0,49.2,13.4,44.2,48.6,97.31,41.9
Charlotte Hornets,39.0,18.0,21.0,159.0,109.6,112.4,-2.8,48.7,2.11,12.9,30.2,72.7,50.5,8.1,46.8,52.7,100.66,46.4
New Orleans Pelicans,45.0,17.0,28.0,144.0,99.7,108.4,-8.7,49.1,1.8,12.7,27.1,68.4,46.6,9.3,45.2,50.9,109.78,39.8
Chicago Bulls,39.0,15.0,24.0,163.0,97.9,104.8,-6.9,43.4,0.92,11.5,29.5,68.8,49.4,15.9,49.2,53.9,101.3,43.5
Utah Jazz,33.0,15.0,18.0,109.0,111.8,108.7,3.1,43.5,1.06,11.2,40.0,63.4,52.2,14.2,47.7,56.0,106.97,53.2
Washington Wizards,39.0,15.0,24.0,181.0,107.8,111.8,-4.0,62.1,1.61,16.0,37.9,55.6,46.7,14.1,48.0,53.9,103.62,47.9
Cleveland Cavaliers,34.0,13.0,21.0,101.0,100.0,109.2,-9.2,37.8,1.27,10.3,29.5,65.9,48.0,10.4,45.5,49.4,104.52,37.9
Phoenix Suns,33.0,12.0,21.0,148.0,109.6,118.4,-8.8,50.0,1.33,14.6,32.4,62.9,48.6,14.7,52.3,57.7,103.33,44.3
New York Knicks,34.0,11.0,23.0,130.0,103.2,108.1,-4.8,50.0,1.26,11.7,32.2,63.5,48.7,12.2,46.2,54.3,106.27,45.9
