TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
Phoenix Suns,82.0,62.0,20.0,48.2,105.7,32.3,65.6,7.0,5.5,15.9,17.4,12.0,43.2
Miami Heat,82.0,59.0,23.0,48.7,102.2,32.2,69.8,6.4,5.8,14.9,12.9,11.6,34.1
San Antonio Spurs,82.0,59.0,23.0,48.3,97.8,30.4,69.7,7.5,6.6,14.6,12.3,10.9,37.2
Dallas Mavericks,82.0,58.0,24.0,48.1,102.6,30.9,67.4,8.6,5.6,15.0,14.6,13.7,39.8
Detroit Pistons,82.0,54.0,28.0,48.7,99.6,30.6,69.3,7.0,6.1,14.5,12.1,12.3,35.0
Seattle SuperSonics,82.0,52.0,30.0,48.2,108.0,28.2,68.1,6.7,4.1,15.4,13.6,12.1,39.8
Houston Rockets,82.0,51.0,31.0,48.4,100.1,31.7,71.3,6.9,4.6,15.1,11.5,10.1,30.9
Sacramento Kings,82.0,50.0,32.0,48.4,106.5,29.9,66.7,8.2,3.9,15.2,15.0,12.9,42.9
Denver Nuggets,82.0,49.0,33.0,48.2,102.6,30.2,67.8,9.1,6.0,16.0,14.0,13.0,39.2
Chicago Bulls,82.0,47.0,35.0,48.4,99.1,31.6,69.1,7.0,4.5,17.2,12.6,10.3,33.3
Boston Celtics,82.0,45.0,37.0,48.5,105.1,29.7,67.1,8.1,5.2,17.7,15.0,12.4,39.5
Memphis Grizzlies,82.0,45.0,37.0,48.1,101.5,28.1,66.3,8.5,5.8,15.7,14.1,12.4,34.4
Washington Wizards,82.0,45.0,37.0,48.2,105.9,29.0,66.7,8.7,4.2,15.8,14.8,12.2,40.7
Indiana Pacers,82.0,44.0,38.0,48.5,102.7,29.5,68.7,7.5,4.4,14.4,12.5,10.9,35.3
Minnesota Timberwolves,82.0,44.0,38.0,48.2,105.0,31.5,68.2,5.6,5.5,15.2,13.7,11.6,38.6
Philadelphia 76ers,82.0,43.0,39.0,48.4,102.5,30.9,70.3,9.2,3.9,17.4,13.4,10.1,35.0
Cleveland Cavaliers,82.0,42.0,40.0,48.4,104.7,28.7,67.4,8.0,5.6,15.3,13.2,12.6,37.9
New Jersey Nets,82.0,42.0,40.0,48.5,101.6,29.1,70.1,7.9,3.8,14.8,12.6,11.2,32.0
Los Angeles Clippers,82.0,37.0,45.0,48.9,104.5,29.9,68.7,7.3,5.1,17.5,12.9,10.0,39.3
Orlando Magic,82.0,36.0,46.0,48.1,105.7,31.0,68.2,7.7,5.4,17.9,14.1,14.7,40.9
Golden State Warriors,82.0,34.0,48.0,48.5,105.5,29.7,66.6,7.8,5.1,15.7,15.0,13.0,43.0
Los Angeles Lakers,82.0,34.0,48.0,48.2,109.6,30.6,68.0,6.2,4.2,16.9,14.7,13.0,39.8
New York Knicks,82.0,33.0,49.0,48.5,107.2,29.2,68.6,7.7,3.2,16.6,13.5,12.4,40.0
Toronto Raptors,82.0,33.0,49.0,48.3,107.2,29.8,68.2,7.6,3.9,15.3,13.8,11.7,41.9
Milwaukee Bucks,82.0,30.0,52.0,48.2,108.1,29.3,68.7,6.5,3.5,16.2,13.6,15.0,41.9
Portland Trail Blazers,82.0,27.0,55.0,48.1,106.1,29.3,65.0,7.1,6.6,17.7,15.8,14.3,41.6
Utah Jazz,82.0,26.0,56.0,48.2,107.3,27.4,69.5,6.6,4.6,17.8,12.1,13.4,35.6
Charlotte Bobcats,82.0,18.0,64.0,48.5,106.0,28.5,67.6,8.5,5.4,16.6,13.1,14.0,40.8
New Orleans Hornets,82.0,18.0,64.0,48.6,105.9,27.8,67.5,6.7,3.8,17.5,13.6,11.7,36.7
Atlanta Hawks,82.0,13.0,69.0,48.4,109.0,28.5,69.6,7.7,4.2,18.5,13.6,13.1,41.4
