TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Milwaukee Bucks,82.0,82.0,100.0,40.5,93.5,43.3,50.3,61.2,27.4,57.2,47.9,38.8,13.1,36.3,36.1
New Orleans Pelicans,82.0,82.0,100.0,43.3,92.8,46.6,53.2,63.6,31.0,59.0,52.5,36.4,12.3,33.7,36.4
Los Angeles Lakers,82.0,82.0,100.0,41.9,92.7,45.2,51.6,63.4,30.0,58.7,51.2,36.6,11.8,33.9,34.9
Brooklyn Nets,82.0,82.0,100.0,42.2,92.5,45.6,51.2,67.2,31.9,62.1,51.3,32.8,10.3,30.3,34.1
Philadelphia 76ers,81.0,81.0,100.0,41.7,91.4,45.6,51.2,67.1,31.4,61.4,51.2,32.9,10.3,30.0,34.1
LA Clippers,82.0,82.0,100.0,41.7,91.3,45.7,51.4,66.9,31.3,61.0,51.3,33.1,10.3,30.2,34.3
Sacramento Kings,82.0,82.0,100.0,42.2,90.5,46.6,53.3,61.8,30.2,55.9,54.0,38.2,12.0,34.6,34.8
Atlanta Hawks,82.0,82.0,100.0,42.8,90.4,47.3,54.1,62.0,30.4,56.0,54.3,38.0,12.3,34.4,35.9
Minnesota Timberwolves,82.0,82.0,100.0,42.1,90.1,46.7,53.8,62.7,29.4,56.5,52.0,37.3,12.7,33.6,37.8
Golden State Warriors,82.0,82.0,100.0,39.9,90.0,44.3,50.8,63.0,28.3,56.7,49.9,37.0,11.6,33.3,34.8
Portland Trail Blazers,82.0,82.0,100.0,41.0,89.8,45.7,51.6,66.9,30.3,60.0,50.5,33.1,10.7,29.7,35.9
Washington Wizards,81.0,81.0,100.0,43.0,89.7,47.9,54.6,63.7,31.0,57.1,54.3,36.3,12.0,32.6,36.8
San Antonio Spurs,82.0,82.0,100.0,41.5,89.7,46.3,52.8,63.6,29.8,57.0,52.3,36.4,11.7,32.6,35.9
Toronto Raptors,82.0,82.0,100.0,40.2,89.4,44.9,50.9,65.1,29.4,58.3,50.5,34.9,10.8,31.2,34.5
New York Knicks,81.0,81.0,100.0,41.7,89.3,46.7,53.3,63.4,29.8,56.6,52.6,36.6,11.9,32.7,36.4
Dallas Mavericks,82.0,82.0,100.0,40.9,89.2,45.9,52.2,63.6,29.7,56.7,52.5,36.4,11.2,32.5,34.4
Charlotte Hornets,82.0,82.0,100.0,41.9,89.1,47.0,53.8,62.4,29.8,55.6,53.6,37.6,12.1,33.5,36.1
Chicago Bulls,81.0,81.0,100.0,42.3,89.1,47.4,54.2,62.9,30.2,56.0,53.8,37.1,12.1,33.0,36.6
Oklahoma City Thunder,81.0,81.0,100.0,40.7,88.7,45.9,52.3,64.3,29.5,57.0,51.7,35.7,11.2,31.6,35.5
Phoenix Suns,82.0,82.0,100.0,42.5,88.2,48.2,54.5,66.1,31.3,58.2,53.8,33.9,11.1,29.9,37.2
Boston Celtics,82.0,82.0,100.0,39.5,88.0,44.9,51.4,61.9,28.0,54.5,51.3,38.1,11.5,33.5,34.3
Utah Jazz,81.0,81.0,100.0,39.6,87.8,45.1,50.6,68.7,29.9,60.3,49.6,31.3,9.7,27.5,35.3
Orlando Magic,80.0,80.0,100.0,40.0,87.5,45.7,51.7,65.4,29.5,57.2,51.6,34.6,10.5,30.3,34.7
Miami Heat,82.0,82.0,100.0,38.3,86.7,44.2,51.0,61.8,26.4,53.6,49.3,38.2,11.9,33.1,35.8
Houston Rockets,82.0,82.0,100.0,40.4,86.5,46.7,52.5,65.6,30.3,56.8,53.3,34.4,10.1,29.8,34.0
Cleveland Cavaliers,82.0,82.0,100.0,42.6,86.3,49.4,56.2,63.8,30.9,55.1,56.1,36.2,11.8,31.2,37.7
Denver Nuggets,82.0,82.0,100.0,39.4,86.1,45.8,52.1,63.0,28.6,54.3,52.8,37.0,10.8,31.8,33.9
Indiana Pacers,82.0,82.0,100.0,38.7,86.1,45.0,51.6,62.7,27.4,54.0,50.7,37.3,11.4,32.1,35.4
Detroit Pistons,82.0,82.0,100.0,39.9,85.0,46.9,52.6,67.3,30.3,57.2,53.0,32.7,9.6,27.8,34.5
Memphis Grizzlies,82.0,82.0,100.0,37.6,83.3,45.1,52.1,61.4,26.0,51.2,50.8,38.6,11.6,32.2,36.1
