TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Los Angeles Lakers,41.0,30.0,11.0,73.2,3.6,9.5,2.9,6.4,45.8,0.6,1.8,32.0,3.1,3.5,86.9,1.0,2.1,3.1,1.1,0.6,0.5,0.4,0.3,1.9,2.5,2.2
Cleveland Cavaliers,32.0,23.0,9.0,71.9,3.8,10.0,3.2,5.9,53.7,1.0,2.2,45.7,2.7,3.3,81.9,0.6,2.5,3.1,1.7,0.7,0.5,0.4,0.3,2.3,2.3,3.2
Orlando Magic,41.0,28.0,13.0,68.3,3.6,8.5,2.2,5.2,42.3,0.8,2.1,35.2,3.3,4.5,73.9,0.7,2.9,3.6,1.1,0.8,0.4,0.4,0.2,2.3,2.5,1.5
New Orleans Hornets,48.0,31.0,17.0,64.6,3.4,8.3,2.5,5.3,47.6,0.7,1.5,47.2,2.6,3.1,84.5,0.8,1.9,2.7,1.2,0.6,0.4,0.4,0.3,1.9,2.0,0.6
San Antonio Spurs,47.0,30.0,17.0,63.8,4.8,10.6,3.6,7.7,46.3,0.6,1.7,32.9,2.9,3.9,74.5,0.9,3.4,4.3,1.7,1.1,0.5,0.3,0.5,2.3,2.7,1.6
Dallas Mavericks,43.0,27.0,16.0,62.8,3.7,8.6,2.8,6.2,45.1,0.7,1.9,38.8,2.2,2.7,82.8,0.8,2.5,3.3,1.4,0.7,0.7,0.5,0.3,1.8,2.1,1.2
Boston Celtics,45.0,28.0,17.0,62.2,4.3,9.5,3.1,6.3,48.9,0.6,1.4,44.4,2.7,3.4,79.4,0.7,2.7,3.4,1.8,1.1,0.5,0.5,0.4,2.4,2.7,1.3
Portland Trail Blazers,42.0,26.0,16.0,61.9,4.3,8.7,2.8,7.1,39.8,0.4,1.4,25.4,2.7,3.4,78.5,1.5,2.8,4.2,1.0,0.7,0.5,0.5,0.5,2.3,2.3,-0.1
Denver Nuggets,34.0,21.0,13.0,61.8,4.0,9.1,2.8,6.3,44.7,0.7,1.9,38.5,2.7,3.6,74.6,0.8,2.2,3.1,1.5,0.8,0.7,0.4,0.5,2.9,2.2,0.4
Atlanta Hawks,52.0,32.0,20.0,61.5,3.1,7.1,2.2,5.1,44.1,0.7,1.5,43.8,1.9,2.8,70.6,0.8,1.7,2.5,1.2,0.7,0.6,0.3,0.3,1.7,1.8,1.1
