TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
Houston Rockets,82.0,65.0,17.0,48.2,105.7,34.5,75.0,8.5,4.8,15.8,11.9,11.9,48.0
Toronto Raptors,82.0,59.0,23.0,48.4,105.3,34.2,72.5,7.6,6.1,15.0,13.2,11.6,45.3
Golden State Warriors,82.0,58.0,24.0,48.1,106.8,35.1,71.2,8.0,7.5,18.5,13.7,14.1,47.4
Boston Celtics,82.0,55.0,27.0,48.3,103.2,35.1,73.9,7.4,4.5,15.6,11.2,10.4,43.8
Philadelphia 76ers,82.0,52.0,30.0,48.2,103.9,36.5,73.6,8.3,5.1,18.5,12.3,10.3,41.6
Cleveland Cavaliers,82.0,50.0,32.0,48.1,111.1,33.7,73.0,7.1,3.8,16.5,12.7,11.3,47.0
Portland Trail Blazers,82.0,49.0,33.0,48.2,105.7,35.3,74.6,7.0,5.2,14.9,11.7,11.3,42.1
Indiana Pacers,82.0,48.0,34.0,48.2,107.3,32.7,72.1,8.8,4.1,14.8,12.8,12.3,44.8
New Orleans Pelicans,82.0,48.0,34.0,48.7,107.4,35.6,72.6,8.0,5.9,17.3,13.8,14.2,47.7
Oklahoma City Thunder,82.0,48.0,34.0,48.4,106.4,32.6,72.5,9.1,5.0,14.4,12.8,11.2,43.5
Utah Jazz,82.0,48.0,34.0,48.2,103.0,34.2,75.6,8.6,5.1,16.4,10.8,9.5,41.8
Minnesota Timberwolves,82.0,47.0,35.0,48.3,110.2,31.6,72.0,8.4,4.2,15.2,13.0,12.9,45.7
San Antonio Spurs,82.0,47.0,35.0,48.1,104.1,33.9,74.1,7.7,5.6,15.0,12.2,12.5,44.1
Denver Nuggets,82.0,46.0,36.0,48.5,110.0,33.5,73.6,7.6,4.9,18.7,11.2,13.0,47.3
Miami Heat,82.0,44.0,38.0,48.6,105.8,34.2,74.1,7.6,5.3,15.6,11.8,11.0,43.5
Milwaukee Bucks,82.0,44.0,38.0,48.4,109.1,31.5,70.9,8.8,5.4,15.8,13.0,10.1,47.3
Washington Wizards,82.0,43.0,39.0,48.4,107.7,33.1,73.2,7.9,4.3,17.1,13.1,11.0,45.4
LA Clippers,82.0,42.0,40.0,48.1,109.2,33.7,71.8,7.7,4.5,17.4,13.2,15.4,44.8
Detroit Pistons,82.0,39.0,43.0,48.3,106.7,33.6,74.0,7.7,3.9,14.9,11.2,9.9,43.6
Charlotte Hornets,82.0,36.0,46.0,48.2,109.0,35.4,76.3,6.8,4.5,14.8,10.7,10.7,45.2
Los Angeles Lakers,82.0,35.0,47.0,48.5,107.3,35.7,72.9,7.7,4.7,18.2,13.5,12.7,49.0
New York Knicks,82.0,29.0,53.0,48.4,109.7,33.6,72.7,6.7,5.1,17.4,13.2,11.4,43.4
Brooklyn Nets,82.0,28.0,54.0,48.4,109.7,34.8,73.1,6.2,4.8,17.3,13.6,11.6,47.8
Chicago Bulls,82.0,27.0,55.0,48.4,110.5,35.0,76.7,7.6,3.5,16.3,11.2,11.3,44.5
Sacramento Kings,82.0,27.0,55.0,48.2,110.4,31.4,73.1,7.8,4.1,15.7,11.6,12.3,42.2
Orlando Magic,82.0,25.0,57.0,48.1,109.4,32.8,71.4,7.6,4.9,17.0,12.8,12.9,48.3
Atlanta Hawks,82.0,24.0,58.0,48.1,110.1,32.8,71.9,7.8,4.2,17.9,12.9,13.0,44.4
Dallas Mavericks,82.0,24.0,58.0,48.3,108.4,33.1,74.9,7.0,3.8,13.9,11.4,14.3,42.2
Memphis Grizzlies,82.0,22.0,60.0,48.1,110.4,31.0,72.1,7.5,4.8,17.3,11.8,14.3,42.1
Phoenix Suns,82.0,21.0,61.0,48.1,111.7,33.9,72.4,6.9,4.5,18.6,13.2,14.6,47.1
