,t1_general_traditional_WIN%,t1_general_traditional_3PM,t1_general_traditional_+/-,t1_general_advanced_NetRtg,t1_general_advanced_AST,t1_general_advanced_PIE,t1_general_opponent_Opponent's 3 Point Field Goal Percentage,t1_general_opponent_Opponent's Free Throw Percentage,t1_general_opponent_Opponent's Turnovers,t1_clutch-traditional_Win Percentage,t1_clutch-advanced_Defensive Rebounding Percentage,t1_seed,t2_general_traditional_WIN%,t2_general_traditional_FTM,t2_general_traditional_PFD,t2_general_traditional_+/-,t2_general_advanced_OffRtg,t2_general_advanced_NetRtg,t2_general_advanced_POSS,t2_general_opponent_Opponent's 3 Point Field Goals Made,t2_general_opponent_Opponent's Rebounds,t2_clutch-traditional_3 Point Field Goals Made,t2_clutch-traditional_Free Throw Percentage,t2_clutch-opponent_Opponent's Field Goals Made,t2_seed
158,53.7,4.2,1.0,1.2,16.7,51.3,37.5,76.8,13.9,55.1,68.2,4.0,53.7,17.6,0.1,1.6,105.6,1.5,7805.0,5.0,45.4,0.6,79.4,2.6,5.0
159,62.2,13.0,3.2,3.1,17.1,51.0,36.1,77.3,12.6,63.9,74.5,2.0,62.2,19.7,20.3,4.2,111.4,4.3,7867.0,9.7,42.1,0.6,73.8,2.2,3.0
160,72.0,5.8,6.5,6.7,17.1,55.6,34.8,76.0,13.2,59.5,71.0,1.0,51.2,19.0,0.0,-1.5,99.9,-1.7,7501.0,5.9,41.2,0.7,72.2,2.4,8.0
161,69.5,7.6,4.3,4.3,16.9,51.7,35.0,75.1,14.1,64.1,66.3,4.0,74.4,19.7,0.1,7.6,107.9,8.1,7951.0,4.7,44.9,0.3,72.1,2.3,1.0
162,54.900000000000006,6.5,2.3,2.7,16.9,51.5,35.1,77.1,15.9,54.2,66.9,8.0,75.6,19.0,0.0,7.1,112.7,7.0,8034.0,6.0,46.1,0.6,75.4,2.4,1.0
163,59.8,5.9,5.0,5.2,17.0,53.9,34.9,73.0,17.4,53.5,65.2,5.0,53.7,17.0,21.8,-0.9,103.4,-1.2,7503.0,6.5,41.3,0.8,71.0,2.8,4.0
164,62.2,10.3,4.3,4.4,17.2,52.7,35.0,77.2,13.2,58.8,74.3,4.0,62.2,17.1,20.2,3.9,109.0,4.3,7579.0,8.2,40.2,0.8,76.5,2.3,5.0
165,80.5,8.7,7.9,8.2,18.4,56.4,35.0,76.6,15.6,80.0,71.7,1.0,46.3,15.3,19.1,-1.5,102.5,-1.7,7909.0,6.5,46.0,0.7,70.6,3.0,8.0
166,61.0,6.1,3.7,3.7,18.5,54.0,34.2,74.6,15.6,62.5,65.7,4.0,57.3,17.7,20.0,2.3,105.7,2.4,7485.0,6.4,40.7,0.7,77.0,3.1,5.0
167,69.5,8.1,7.3,7.3,18.1,55.1,36.2,75.2,14.2,60.0,66.0,1.0,65.9,21.3,23.1,6.9,112.1,7.2,7773.0,6.2,37.8,0.6,83.2,2.7,4.0
168,69.5,8.1,7.3,7.3,18.1,55.1,36.2,75.2,14.2,60.0,66.0,1.0,68.30000000000001,16.5,19.8,4.8,106.0,5.3,7377.0,5.1,40.3,0.7,73.4,2.3,3.0
169,53.7,4.3,0.2,0.3,17.6,51.2,35.8,73.6,16.1,53.7,60.4,3.0,57.3,20.7,21.7,1.6,103.8,1.6,7675.0,5.8,40.1,0.6,82.2,2.2,6.0
170,81.69999999999999,10.8,10.1,9.9,19.7,56.9,33.7,76.3,16.2,74.2,65.7,1.0,54.900000000000006,16.4,18.7,0.8,107.1,0.8,7608.0,6.5,41.5,0.5,79.3,2.6,8.0
171,75.8,8.4,7.2,7.7,17.8,54.6,35.3,75.6,13.7,71.0,72.2,1.0,54.50000000000001,19.1,20.7,0.6,105.5,0.5,6236.0,6.5,41.2,0.4,72.9,3.1,8.0
172,59.8,11.4,3.4,3.4,16.3,50.6,35.6,76.1,16.7,47.8,68.1,6.0,64.60000000000001,19.0,20.7,4.2,113.7,4.2,8269.0,10.7,42.8,0.8,77.4,2.5,3.0
173,50.0,13.6,1.5,1.2,17.1,50.1,37.4,78.5,14.1,39.5,70.0,7.0,66.7,18.1,18.9,4.5,117.3,4.2,7280.0,13.2,43.1,0.9,85.5,2.9,2.0
174,56.89999999999999,12.4,2.3,2.2,17.6,51.1,34.9,80.3,12.3,50.0,76.5,5.0,63.9,16.2,18.3,5.9,116.5,5.8,7423.0,14.8,43.4,0.9,79.1,2.9,3.0
175,75.6,9.7,7.1,7.0,17.4,54.6,33.5,74.4,13.8,69.2,70.7,1.0,72.0,18.7,0.0,7.8,106.1,8.3,7435.0,3.9,40.2,0.7,77.2,3.3,2.0
176,64.60000000000001,14.3,5.5,5.5,19.5,53.6,33.9,75.9,14.5,54.8,67.9,3.0,68.30000000000001,17.0,19.8,5.7,114.3,5.3,8295.0,12.0,43.0,0.8,80.4,2.7,2.0
177,57.6,6.6,2.9,3.2,17.9,52.7,38.3,75.9,15.6,52.9,70.8,6.0,62.1,18.2,20.2,1.4,104.5,1.3,6145.0,6.7,41.0,0.7,73.0,3.0,3.0
178,75.6,6.6,7.5,7.9,17.8,56.2,34.9,77.1,14.6,62.2,67.2,2.0,50.0,19.9,20.8,-0.3,107.2,-0.3,7816.0,5.9,42.8,0.7,78.1,3.2,7.0
179,63.4,6.1,3.9,4.1,16.4,53.8,36.1,73.9,13.0,52.4,69.6,2.0,59.8,20.2,23.0,1.4,102.4,1.5,7513.0,5.7,41.3,0.4,80.3,2.0,3.0
180,67.10000000000001,7.1,4.7,4.8,16.8,53.5,36.5,73.7,13.3,57.1,68.9,5.0,65.9,21.3,23.1,6.9,112.1,7.2,7773.0,6.2,37.8,0.6,83.2,2.7,4.0
181,55.60000000000001,12.9,0.0,-0.1,19.5,50.9,36.5,78.2,15.1,52.9,67.4,6.0,63.9,16.2,18.3,5.9,116.5,5.8,7423.0,14.8,43.4,0.9,79.1,2.9,3.0
182,51.2,7.1,0.2,0.3,17.4,49.5,37.5,74.5,14.4,50.0,61.5,7.0,59.8,20.3,0.1,5.2,102.1,5.4,7661.0,5.2,41.4,0.3,73.6,2.6,2.0
183,67.10000000000001,14.4,5.8,5.7,18.1,51.6,34.3,77.8,15.1,56.1,67.7,3.0,74.4,17.6,19.8,7.2,110.3,7.4,7832.0,8.1,41.5,1.0,77.7,2.4,2.0
184,61.0,6.1,3.7,3.7,18.5,54.0,34.2,74.6,15.6,62.5,65.7,4.0,72.0,19.2,22.2,7.5,110.7,7.9,7614.0,6.4,40.0,0.6,72.0,2.2,2.0
185,52.8,11.2,1.0,1.2,18.9,51.1,36.7,78.8,14.8,50.0,69.4,8.0,72.2,17.2,19.0,9.3,116.5,9.0,7193.0,10.9,42.6,1.0,82.4,2.2,1.0
186,64.60000000000001,7.6,4.0,4.2,16.2,53.0,35.7,74.9,12.3,51.1,64.2,5.0,65.9,18.5,21.1,5.3,112.1,6.0,7273.0,5.9,36.3,0.4,78.5,2.8,4.0
187,70.7,11.3,6.0,5.9,20.9,55.4,35.7,75.8,14.3,65.5,66.7,2.0,58.5,16.1,20.4,1.3,108.5,1.1,8443.0,10.9,45.5,0.7,73.6,3.0,6.0
188,79.3,6.7,7.7,7.9,17.3,54.7,34.5,75.3,15.5,73.2,74.0,1.0,58.5,22.1,24.0,2.6,108.5,2.7,7827.0,6.5,40.3,0.5,81.1,2.7,8.0
189,81.69999999999999,12.0,11.6,11.4,21.2,57.9,32.4,76.1,15.5,64.0,67.3,1.0,62.2,17.1,20.2,3.9,109.0,4.3,7579.0,8.2,40.2,0.8,76.5,2.3,5.0
190,59.8,12.6,4.4,4.3,18.8,53.0,34.4,76.4,15.1,54.8,62.7,4.0,58.5,15.8,20.0,3.3,109.4,3.4,8097.0,11.4,43.7,0.7,80.6,2.1,5.0
191,59.8,8.5,2.2,2.2,16.4,50.0,34.0,77.1,16.3,58.8,63.8,3.0,63.4,17.1,0.1,4.2,102.4,4.3,7707.0,5.0,42.9,0.5,73.2,2.6,1.0
192,74.4,9.6,7.3,7.4,19.3,56.1,36.3,76.7,15.1,62.2,60.9,2.0,70.7,18.1,21.2,8.4,108.6,9.2,7440.0,4.5,39.1,0.6,66.2,2.7,3.0
193,63.0,11.0,2.1,2.2,19.1,51.7,35.8,75.9,14.3,64.4,70.1,3.0,73.2,17.7,21.7,5.8,111.7,5.6,7211.0,11.6,42.3,1.0,69.0,2.4,1.0
194,61.0,12.0,0.9,1.0,17.5,50.2,36.8,75.6,13.5,66.7,76.4,4.0,70.7,16.6,18.5,6.0,112.8,5.9,8251.0,10.4,42.5,1.0,81.3,2.4,2.0
195,53.7,6.0,1.5,1.8,17.3,51.5,35.1,74.7,14.6,52.5,68.3,8.0,76.8,16.2,20.6,6.8,106.2,7.5,7382.0,3.7,40.3,0.3,72.4,2.4,1.0
196,50.0,7.4,-0.8,-0.9,18.5,49.9,35.7,76.2,14.5,45.8,73.5,6.0,57.3,19.0,21.8,1.0,105.7,1.2,7719.0,6.5,42.5,0.6,76.8,2.4,3.0
197,69.5,13.3,6.5,6.5,20.4,54.6,34.7,77.3,13.5,57.1,68.9,1.0,70.7,17.7,20.5,6.1,112.6,5.8,8334.0,10.8,44.8,1.0,82.7,3.1,2.0
198,71.2,7.2,6.1,6.3,14.6,54.2,34.2,76.8,14.2,56.3,63.9,2.0,75.8,16.2,18.8,7.2,110.0,7.7,6220.0,6.2,41.2,0.6,71.7,2.9,1.0
199,51.2,8.8,-0.2,-0.2,18.5,50.4,35.3,77.1,14.7,53.8,61.7,6.0,62.2,19.7,20.3,4.2,111.4,4.3,7867.0,9.7,42.1,0.6,73.8,2.2,3.0
200,59.8,5.9,5.0,5.2,17.0,53.9,34.9,73.0,17.4,53.5,65.2,5.0,64.60000000000001,18.8,20.3,4.2,107.4,4.8,7332.0,5.0,41.2,0.6,76.9,2.4,1.0
201,75.8,6.3,8.2,8.8,17.7,56.1,32.5,74.0,13.3,73.3,66.3,1.0,53.0,13.5,16.2,4.2,102.7,4.6,6016.0,5.4,43.7,0.3,74.0,2.3,8.0
202,69.5,6.5,4.7,4.9,16.2,52.9,32.8,75.0,14.1,66.7,66.4,1.0,65.9,19.9,21.8,4.9,113.9,4.8,7937.0,6.8,42.3,0.8,82.1,2.5,3.0
203,73.2,11.0,5.8,5.6,18.0,53.9,34.9,78.1,15.9,66.7,72.7,1.0,60.3,19.7,21.7,2.9,111.9,2.7,7306.0,13.1,42.5,0.9,72.3,3.4,5.0
204,74.4,5.2,7.6,8.1,17.7,55.2,33.7,74.4,15.2,74.2,68.5,1.0,53.7,22.6,0.1,0.9,103.8,0.9,7582.0,5.7,38.2,0.3,78.3,2.6,8.0
205,65.9,8.9,4.9,4.8,17.5,53.6,35.5,76.0,13.0,56.1,59.5,3.0,61.0,17.8,20.4,5.1,109.3,5.4,7605.0,5.0,39.5,0.4,83.1,2.4,7.0
206,65.9,4.4,3.9,4.3,17.2,54.2,33.8,75.1,13.8,62.5,68.2,2.0,72.0,18.7,0.0,7.8,106.1,8.3,7435.0,3.9,40.2,0.7,77.2,3.3,2.0
207,65.9,4.4,3.9,4.3,17.2,54.2,33.8,75.1,13.8,62.5,68.2,2.0,52.400000000000006,21.1,0.0,-0.7,101.8,-0.7,7985.0,6.9,44.1,0.5,83.9,2.6,7.0
208,64.60000000000001,6.4,4.7,4.9,17.1,52.3,34.5,74.5,13.8,57.9,68.5,3.0,72.0,19.2,22.2,7.5,110.7,7.9,7614.0,6.4,40.0,0.6,72.0,2.2,2.0
209,80.5,7.3,10.3,10.8,17.6,58.1,31.6,74.3,16.0,64.9,74.6,1.0,72.0,18.4,19.7,7.4,109.8,8.3,7279.0,5.0,39.1,0.4,83.1,2.0,2.0
210,62.2,13.2,7.3,7.4,18.2,54.7,33.9,78.3,13.8,37.1,69.6,2.0,64.60000000000001,17.3,20.6,4.5,113.0,4.5,7987.0,13.0,41.7,0.9,78.0,2.0,1.0
