TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
Golden State Warriors,82.0,67.0,15.0,3946.0,110.4,100.4,9.9,65.9,1.9,19.7,27.3,70.3,49.8,14.5,54.0,57.1,99.28,56.9,8170.0
Atlanta Hawks,82.0,60.0,22.0,3946.0,108.2,102.3,5.9,67.6,1.81,19.5,26.4,69.7,48.7,15.0,52.7,56.3,94.66,54.0,7775.0
Houston Rockets,82.0,56.0,26.0,3961.0,106.0,102.6,3.4,60.0,1.33,16.5,30.5,68.6,49.6,17.0,51.2,54.8,97.36,50.9,8037.0
Los Angeles Clippers,82.0,56.0,26.0,3946.0,111.6,104.7,6.9,62.9,2.01,18.7,27.2,71.6,49.7,12.9,53.3,56.5,95.4,54.0,7844.0
Memphis Grizzlies,82.0,55.0,27.0,3981.0,104.8,101.2,3.5,57.4,1.62,16.9,28.8,71.6,50.3,14.2,48.9,53.1,92.82,53.0,7696.0
San Antonio Spurs,82.0,55.0,27.0,3991.0,107.6,101.4,6.3,62.3,1.75,18.4,27.2,73.0,50.7,14.6,51.7,55.5,94.45,54.5,7860.0
Cleveland Cavaliers,82.0,53.0,29.0,3956.0,110.1,105.3,4.8,58.7,1.55,17.1,31.1,71.1,51.3,15.2,52.0,55.7,93.23,51.4,7682.0
Portland Trail Blazers,82.0,51.0,31.0,3971.0,107.1,102.8,4.3,56.7,1.61,16.8,28.2,72.8,51.0,14.2,50.8,54.4,95.06,52.2,7868.0
Chicago Bulls,82.0,50.0,32.0,3976.0,106.3,103.3,3.0,59.3,1.56,16.6,31.2,70.9,51.6,14.7,48.9,53.6,93.8,52.9,7775.0
Dallas Mavericks,82.0,50.0,32.0,3976.0,108.2,104.9,3.2,56.7,1.74,17.0,26.9,68.1,47.7,13.3,51.5,55.0,96.4,52.1,7976.0
Toronto Raptors,82.0,49.0,33.0,3971.0,110.2,107.1,3.1,54.7,1.61,16.1,30.1,68.9,49.4,13.7,50.8,55.3,93.46,50.6,7736.0
Washington Wizards,82.0,46.0,36.0,3991.0,103.0,102.4,0.6,62.7,1.6,18.1,28.8,72.6,51.4,15.7,49.9,53.4,94.29,52.5,7844.0
New Orleans Pelicans,82.0,45.0,37.0,3956.0,107.1,106.3,0.8,58.1,1.66,17.1,30.9,71.2,51.1,14.3,50.1,53.7,92.29,50.8,7608.0
Oklahoma City Thunder,82.0,45.0,37.0,3966.0,106.7,104.6,2.1,52.8,1.4,15.3,31.8,73.0,52.4,15.1,49.2,53.2,96.61,50.5,7988.0
Milwaukee Bucks,82.0,41.0,41.0,3986.0,102.0,101.4,0.6,62.7,1.41,17.8,29.0,68.6,49.1,17.5,49.9,53.6,94.82,51.1,7867.0
Boston Celtics,82.0,40.0,42.0,3976.0,103.8,103.5,0.3,62.9,1.77,18.0,28.9,71.0,49.5,14.2,48.9,52.3,96.71,49.8,8007.0
Phoenix Suns,82.0,39.0,43.0,3976.0,104.2,105.3,-1.1,52.2,1.34,15.4,28.1,69.8,48.9,15.4,50.1,53.7,97.2,49.1,8058.0
Brooklyn Nets,82.0,38.0,44.0,3986.0,103.4,106.3,-3.0,55.9,1.51,16.3,27.8,70.1,49.1,14.6,49.1,52.9,93.69,48.0,7777.0
Indiana Pacers,82.0,38.0,44.0,3971.0,102.9,102.7,0.2,58.6,1.53,16.6,28.6,73.5,51.1,14.8,48.4,52.3,93.67,50.5,7753.0
Utah Jazz,82.0,38.0,44.0,3941.0,104.2,104.1,0.1,56.3,1.3,15.8,33.2,71.5,52.4,16.8,49.4,53.1,91.1,50.7,7486.0
Miami Heat,82.0,37.0,45.0,3946.0,103.2,106.1,-3.0,56.4,1.34,16.1,28.4,68.7,48.9,16.1,50.0,54.0,91.49,49.2,7526.0
Charlotte Hornets,82.0,33.0,49.0,3981.0,99.6,103.0,-3.4,56.8,1.69,15.8,27.0,74.6,50.2,12.6,45.6,49.8,93.45,48.2,7753.0
Detroit Pistons,82.0,32.0,50.0,3966.0,104.3,105.4,-1.1,58.2,1.61,16.4,31.6,71.2,50.5,14.2,48.2,51.5,93.68,47.8,7741.0
Denver Nuggets,82.0,30.0,52.0,3976.0,103.9,107.1,-3.3,57.7,1.53,16.2,30.3,70.0,49.4,14.6,47.9,51.8,96.87,46.5,8011.0
Sacramento Kings,82.0,29.0,53.0,3971.0,104.5,108.2,-3.7,55.4,1.25,15.5,31.3,71.5,51.9,16.8,49.0,54.2,96.16,48.5,7952.0
Orlando Magic,82.0,25.0,57.0,3951.0,101.0,106.8,-5.9,55.0,1.39,16.2,26.9,71.6,49.1,15.7,49.4,52.4,94.51,45.5,7773.0
Los Angeles Lakers,82.0,21.0,61.0,3986.0,102.3,109.4,-7.1,56.2,1.58,15.9,29.0,72.0,49.7,13.8,47.3,51.3,95.03,45.0,7892.0
Philadelphia 76ers,82.0,18.0,64.0,3961.0,94.9,103.9,-9.0,60.9,1.16,15.5,29.3,68.6,48.0,18.3,45.9,49.4,96.45,42.6,7950.0
New York Knicks,82.0,17.0,65.0,3971.0,98.9,109.0,-10.1,60.6,1.45,16.7,28.9,69.1,48.4,15.8,47.0,50.8,92.06,44.1,7618.0
Minnesota Timberwolves,82.0,16.0,66.0,3961.0,101.8,110.9,-9.1,59.3,1.44,16.3,31.1,68.2,48.9,15.6,46.8,51.7,95.45,45.3,7873.0
