TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
San Antonio Spurs,82.0,82.0,100.0,42.5,91.2,46.6,53.2,63.1,30.4,57.5,52.8,36.9,12.1,33.6,36.0
Milwaukee Bucks,82.0,82.0,100.0,41.4,90.6,45.6,53.6,55.2,26.9,50.0,53.7,44.8,14.5,40.6,35.6
Sacramento Kings,81.0,81.0,100.0,43.4,90.6,48.0,55.1,61.4,30.4,55.6,54.7,38.6,13.0,34.9,37.3
Los Angeles Lakers,82.0,82.0,100.0,42.5,90.5,47.0,54.0,60.5,30.0,54.7,54.8,39.5,12.6,35.8,35.2
Oklahoma City Thunder,82.0,82.0,100.0,41.4,90.5,45.8,53.3,57.3,27.8,51.8,53.6,42.7,13.6,38.6,35.3
LA Clippers,81.0,81.0,100.0,40.7,90.4,45.0,51.5,62.5,29.0,56.5,51.4,37.5,11.7,33.9,34.5
Brooklyn Nets,82.0,82.0,100.0,40.7,90.2,45.2,52.1,59.8,28.2,53.9,52.3,40.2,12.5,36.3,34.5
Charlotte Hornets,81.0,81.0,100.0,41.9,90.1,46.5,54.2,57.2,28.0,51.5,54.4,42.8,13.9,38.6,36.0
Houston Rockets,82.0,82.0,100.0,43.4,89.9,48.3,55.4,59.8,30.7,53.8,57.0,40.2,12.8,36.1,35.4
Utah Jazz,82.0,82.0,100.0,40.4,89.2,45.3,52.1,61.2,28.3,54.6,51.8,38.8,12.1,34.6,35.0
Atlanta Hawks,82.0,82.0,100.0,41.9,88.9,47.1,54.3,60.4,29.1,53.7,54.1,39.6,12.8,35.2,36.4
Washington Wizards,82.0,82.0,100.0,41.3,88.9,46.4,52.9,64.3,29.8,57.1,52.2,35.7,11.5,31.8,36.1
Orlando Magic,82.0,82.0,100.0,40.8,88.8,45.9,53.3,59.2,27.6,52.6,52.4,40.8,13.2,36.3,36.4
Memphis Grizzlies,81.0,81.0,100.0,40.4,88.4,45.6,52.5,61.2,28.3,54.1,52.3,38.8,12.1,34.3,35.1
Phoenix Suns,81.0,81.0,100.0,39.3,88.3,44.5,51.1,61.2,27.6,54.1,51.1,38.8,11.7,34.3,34.1
Boston Celtics,81.0,81.0,100.0,38.2,88.0,43.4,50.1,60.4,26.5,53.1,49.8,39.6,11.7,34.9,33.7
Indiana Pacers,82.0,82.0,100.0,42.5,88.0,48.3,55.1,63.3,30.5,55.7,54.7,36.7,12.0,32.3,37.2
Chicago Bulls,82.0,82.0,100.0,41.4,87.4,47.4,54.1,63.5,29.7,55.5,53.5,36.5,11.7,31.9,36.7
Denver Nuggets,82.0,82.0,100.0,41.0,87.4,47.0,53.7,60.8,29.2,53.2,54.9,39.2,11.8,34.2,34.6
Minnesota Timberwolves,82.0,82.0,100.0,40.2,87.4,46.0,53.5,57.2,27.2,50.0,54.3,42.8,13.1,37.4,35.0
Cleveland Cavaliers,82.0,82.0,100.0,39.5,87.2,45.2,51.9,62.0,27.8,54.0,51.4,38.0,11.7,33.2,35.3
Golden State Warriors,81.0,81.0,100.0,38.0,86.6,43.9,50.9,58.4,25.7,50.6,50.9,41.6,12.3,36.0,34.0
Philadelphia 76ers,82.0,82.0,100.0,39.7,86.5,45.9,52.4,62.1,28.3,53.7,52.7,37.9,11.3,32.8,34.6
New York Knicks,81.0,81.0,100.0,38.4,86.0,44.7,52.0,57.2,25.9,49.1,52.6,42.8,12.6,36.8,34.1
Portland Trail Blazers,82.0,82.0,100.0,41.1,85.9,47.9,55.9,56.8,27.4,48.8,56.1,43.2,13.8,37.1,37.1
Detroit Pistons,81.0,81.0,100.0,40.6,85.8,47.3,54.1,62.1,28.8,53.3,53.9,37.9,11.8,32.5,36.3
New Orleans Pelicans,81.0,81.0,100.0,40.3,85.4,47.2,54.8,58.4,27.3,49.9,54.6,41.6,13.1,35.6,36.7
Dallas Mavericks,82.0,82.0,100.0,39.0,85.3,45.7,52.1,62.3,28.1,53.2,52.8,37.7,10.9,32.1,34.0
Toronto Raptors,82.0,82.0,100.0,39.0,84.4,46.2,53.5,58.6,26.6,49.5,53.8,41.4,12.4,34.9,35.4
Miami Heat,82.0,82.0,100.0,37.5,84.0,44.7,52.4,54.4,24.6,45.7,53.7,45.6,13.0,38.3,33.9
