general_traditional_Team,general_traditional_GP,general_traditional_W,general_traditional_L,general_traditional_WIN%,general_traditional_Min,general_traditional_PTS,general_traditional_FGM,general_traditional_FGA,general_traditional_FG%,general_traditional_3PM,general_traditional_3PA,general_traditional_3P%,general_traditional_FTM,general_traditional_FTA,general_traditional_FT%,general_traditional_OREB,general_traditional_DREB,general_traditional_REB,general_traditional_AST,general_traditional_TOV,general_traditional_STL,general_traditional_BLK,general_traditional_BLKA,general_traditional_PF,general_traditional_PFD,general_traditional_+/-,general_advanced_TEAM,general_advanced_GP,general_advanced_W,general_advanced_L,general_advanced_MIN,general_advanced_OffRtg,general_advanced_DefRtg,general_advanced_NetRtg,general_advanced_AST%,general_advanced_AST/TO,general_advanced_AST,general_advanced_OREB%,general_advanced_DREB%,general_advanced_REB%,general_advanced_TOV%,general_advanced_eFG%,general_advanced_TS%,general_advanced_PACE,general_advanced_PIE,general_advanced_POSS,general_defense_TEAM,general_defense_GP,general_defense_W,general_defense_L,general_defense_MIN,general_defense_DEF RTG,general_defense_DREB,general_defense_DREB%,general_defense_STL,general_defense_BLK,general_defense_OPP PTS,general_defense_OPP PTS.1,general_defense_OPP PTS.2,general_defense_OPP PTS.3,general_opponent_TEAM,general_opponent_Games Played,general_opponent_Wins,general_opponent_Losses,general_opponent_Minutes Played,general_opponent_Opponent's Field Goals Made,general_opponent_Opponent's Field Goals Attempted,general_opponent_Opponent's Field Goal Percentage,general_opponent_Opponent's 3 Point Field Goals Made,general_opponent_Opponent's 3 Point Field Goals Attempted,general_opponent_Opponent's 3 Point Field Goal Percentage,general_opponent_Opponent's Free Throws Made,general_opponent_Opponent's Free Throws Attempted,general_opponent_Opponent's Free Throw Percentage,general_opponent_Opponent's Offensive Rebounds,general_opponent_Opponent's Defensive Rebounds,general_opponent_Opponent's Rebounds,general_opponent_Opponent's Assists,general_opponent_Opponent's Turnovers,general_opponent_Opponent's Steals,general_opponent_Opponent's Blocks,general_opponent_Opponent's Blocked Field Goal Attempts,general_opponent_Opponent's Personal Fouls,general_opponent_Opponent's Personal Fouls Drawn,general_opponent_Opponent's Points,general_opponent_Plus-Minus,clutch-traditional_TEAM,clutch-traditional_Games Played,clutch-traditional_Wins,clutch-traditional_Losses,clutch-traditional_Win Percentage,clutch-traditional_Minutes Played,clutch-traditional_Points,clutch-traditional_Field Goals Made,clutch-traditional_Field Goals Attempted,clutch-traditional_Field Goal Percentage,clutch-traditional_3 Point Field Goals Made,clutch-traditional_3 Point Field Goals Attempted,clutch-traditional_3 Point Field Goal Percentage,clutch-traditional_Free Throws Made,clutch-traditional_Free Throws Attempted,clutch-traditional_Free Throw Percentage,clutch-traditional_Offensive Rebounds,clutch-traditional_Defensive Rebounds,clutch-traditional_Rebounds,clutch-traditional_Assists,clutch-traditional_Turnovers,clutch-traditional_Steals,clutch-traditional_Blocks,clutch-traditional_Blocks Against,clutch-traditional_Personal Fouls,clutch-traditional_Personal Fouls Drawn,clutch-traditional_Plus-Minus,clutch-advanced_TEAM,clutch-advanced_Games Played,clutch-advanced_Wins,clutch-advanced_Losses,clutch-advanced_Minutes Played,clutch-advanced_Offensive Rating,clutch-advanced_Defensive Rating,clutch-advanced_Net Rating,clutch-advanced_Assist Percentage,clutch-advanced_Assist to Turnover Ratio,clutch-advanced_Assist Ratio,clutch-advanced_Offensive Rebounding Percentage,clutch-advanced_Defensive Rebounding Percentage,clutch-advanced_Rebounding Percentage,clutch-advanced_Turnover Ratio,clutch-advanced_Effective Field Goal Percentage,clutch-advanced_True Shooting Percentage,clutch-advanced_Pace,clutch-advanced_Player Impact Estimate,clutch-opponent_TEAM,clutch-opponent_Games Played,clutch-opponent_Wins,clutch-opponent_Losses,clutch-opponent_Minutes Played,clutch-opponent_Opponent's Field Goals Made,clutch-opponent_Opponent's Field Goals Attempted,clutch-opponent_Opponent's Field Goal Percentage,clutch-opponent_Opponent's 3 Point Field Goals Made,clutch-opponent_Opponent's 3 Point Field Goals Attempted,clutch-opponent_Opponent's 3 Point Field Goal Percentage,clutch-opponent_Opponent's Free Throws Made,clutch-opponent_Opponent's Free Throws Attempted,clutch-opponent_Opponent's Free Throw Percentage,clutch-opponent_Opponent's Offensive Rebounds,clutch-opponent_Opponent's Defensive Rebounds,clutch-opponent_Opponent's Rebounds,clutch-opponent_Opponent's Assists,clutch-opponent_Opponent's Turnovers,clutch-opponent_Opponent's Steals,clutch-opponent_Opponent's Blocks,clutch-opponent_Opponent's Blocked Field Goal Attempts,clutch-opponent_Opponent's Personal Fouls,clutch-opponent_Opponent's Personal Fouls Drawn,clutch-opponent_Opponent's Points,clutch-opponent_Plus-Minus
Dallas Mavericks,82.0,67.0,15.0,0.817,48.2,100.0,36.7,78.6,46.7,6.5,17.1,38.1,20.1,24.9,80.5,11.2,30.7,41.9,19.9,13.9,6.8,5.0,3.8,22.4,22.1,7.2,Dallas Mavericks,82.0,67.0,15.0,3951.0,109.7,102.1,7.6,54.2,1.43,16.0,32.0,71.9,52.2,15.2,50.9,55.9,90.68,55.2,7476.0,Dallas Mavericks,82.0,67.0,15.0,48.2,102.1,30.7,71.9,6.8,5.0,15.2,11.4,12.7,36.9,Dallas Mavericks,82.0,67.0,15.0,48.2,34.0,76.1,44.7,4.6,13.1,34.9,20.2,27.0,74.6,10.2,27.9,38.1,17.9,14.5,6.9,3.8,5.0,22.1,22.4,92.8,-7.2,Dallas Mavericks,38.0,32.0,6.0,84.2,4.0,9.7,3.0,6.8,43.8,0.4,1.6,26.7,3.2,3.9,82.0,1.3,3.1,4.4,1.3,1.0,0.5,0.6,0.4,2.3,2.8,2.8,Dallas Mavericks,38.0,32.0,6.0,154.0,112.6,86.3,26.2,43.0,1.29,11.4,36.1,71.7,54.7,11.7,46.9,56.3,97.65,78.1,Dallas Mavericks,38.0,32.0,6.0,4.0,2.0,6.1,32.3,0.4,1.8,24.6,2.4,3.6,67.6,0.9,2.5,3.4,0.9,1.0,0.4,0.4,0.6,2.8,2.3,6.8,-2.8
Phoenix Suns,82.0,61.0,21.0,0.744,48.5,110.2,41.3,83.6,49.4,9.6,24.0,39.9,18.0,22.3,80.8,9.0,31.5,40.5,25.9,14.5,6.7,4.8,3.7,20.2,21.5,7.3,Phoenix Suns,82.0,61.0,21.0,3981.0,112.9,105.5,7.4,62.6,1.78,19.3,26.2,68.3,48.4,14.9,55.1,59.0,96.45,56.1,8002.0,Phoenix Suns,82.0,61.0,21.0,48.5,105.5,31.5,68.3,6.7,4.8,16.2,15.3,10.5,42.3,Phoenix Suns,82.0,61.0,21.0,48.5,39.5,86.4,45.7,6.1,16.9,36.3,17.8,23.2,76.7,12.3,30.5,42.8,18.9,15.1,6.9,3.7,4.8,21.5,20.2,102.9,-7.3,Phoenix Suns,45.0,28.0,17.0,62.2,3.9,9.4,3.0,6.7,44.6,0.8,2.2,36.1,2.6,3.4,78.8,0.9,2.2,3.1,1.9,1.0,0.4,0.5,0.4,2.2,2.6,1.0,Phoenix Suns,45.0,28.0,17.0,176.0,109.8,105.9,4.0,62.2,1.79,16.1,31.3,60.9,45.8,12.2,50.3,57.4,101.25,58.0,Phoenix Suns,45.0,28.0,17.0,3.9,2.8,6.5,43.5,0.4,1.4,28.6,2.4,2.9,82.2,1.2,2.5,3.7,0.9,1.2,0.3,0.4,0.5,2.6,2.2,8.4,-1.0
San Antonio Spurs,82.0,58.0,24.0,0.707,48.2,98.5,36.6,77.2,47.4,7.3,19.0,38.1,18.1,24.1,75.1,9.3,31.4,40.7,22.1,13.9,7.2,5.1,4.1,19.4,21.2,8.4,San Antonio Spurs,82.0,58.0,24.0,3956.0,108.6,99.4,9.2,60.5,1.6,17.8,27.9,71.5,50.5,15.3,52.1,56.1,90.22,56.9,7440.0,San Antonio Spurs,82.0,58.0,24.0,48.2,99.4,31.4,71.5,7.2,5.1,15.3,12.4,10.8,38.9,San Antonio Spurs,82.0,58.0,24.0,48.2,34.9,78.8,44.3,4.5,13.4,33.4,15.9,21.4,74.0,10.1,29.0,39.1,17.3,14.3,7.1,4.1,5.1,21.2,19.4,90.1,-8.4,San Antonio Spurs,40.0,20.0,20.0,50.0,3.4,7.2,2.2,5.1,42.4,0.6,1.8,32.4,2.3,3.4,66.2,1.0,2.1,3.1,1.2,1.0,0.5,0.3,0.3,1.8,2.5,-0.1,San Antonio Spurs,40.0,20.0,20.0,136.0,105.9,105.4,0.5,56.3,1.26,13.5,36.8,72.6,53.8,14.4,48.0,54.2,96.38,51.1,San Antonio Spurs,40.0,20.0,20.0,3.4,2.7,5.5,48.9,0.3,1.0,31.7,1.6,2.1,73.8,0.6,1.9,2.5,1.2,0.9,0.5,0.3,0.3,2.5,1.8,7.3,0.1
Detroit Pistons,82.0,53.0,29.0,0.646,48.5,96.0,35.9,79.1,45.4,5.5,15.9,34.4,18.8,24.2,77.4,11.6,29.0,40.5,21.6,12.2,7.1,5.8,3.5,20.4,20.3,4.2,Detroit Pistons,82.0,53.0,29.0,3976.0,107.4,102.6,4.8,60.1,1.77,17.3,30.7,67.8,49.3,13.7,48.8,53.5,88.56,53.3,7332.0,Detroit Pistons,82.0,53.0,29.0,48.5,102.6,29.0,67.8,7.1,5.8,13.2,13.3,11.2,37.2,Detroit Pistons,82.0,53.0,29.0,48.5,34.4,77.3,44.5,5.0,14.7,33.9,18.1,24.5,74.0,11.9,29.3,41.2,20.1,14.7,6.4,3.5,5.8,20.3,20.4,91.8,-4.2,Detroit Pistons,52.0,30.0,22.0,57.7,4.1,9.7,3.3,7.4,45.1,0.6,1.8,31.9,2.5,3.3,76.9,1.3,2.4,3.8,1.6,0.7,0.6,0.6,0.4,2.5,2.3,1.6,Detroit Pistons,52.0,30.0,22.0,214.0,116.1,102.7,13.4,49.1,2.24,14.1,39.3,68.8,53.0,8.7,49.0,55.2,95.28,57.5,Detroit Pistons,52.0,30.0,22.0,4.1,2.4,5.9,40.7,0.4,1.3,28.6,3.0,3.8,80.5,1.0,2.4,3.4,1.2,1.1,0.4,0.4,0.6,2.3,2.5,8.2,-1.6
Houston Rockets,82.0,52.0,30.0,0.634,48.4,97.0,35.4,79.6,44.5,8.6,23.1,37.2,17.5,23.2,75.3,10.7,32.6,43.3,20.8,14.2,7.1,4.1,4.3,20.9,19.9,4.9,Houston Rockets,82.0,52.0,30.0,3971.0,104.7,99.7,4.9,58.6,1.47,16.5,28.7,72.5,50.8,15.3,49.9,54.0,91.7,52.9,7598.0,Houston Rockets,82.0,52.0,30.0,48.4,99.7,32.6,72.5,7.1,4.1,14.8,11.6,9.6,33.0,Houston Rockets,82.0,52.0,30.0,48.4,34.1,79.3,42.9,5.8,16.4,35.1,18.3,24.4,74.9,9.8,31.1,40.8,19.4,14.2,7.0,4.3,4.1,19.9,20.9,92.1,-4.9,Houston Rockets,48.0,26.0,22.0,54.2,3.3,7.8,2.3,5.8,39.9,0.7,2.2,33.0,2.5,3.0,83.1,0.8,2.2,3.0,1.3,0.9,0.3,0.3,0.3,2.0,1.9,0.1,Houston Rockets,48.0,26.0,22.0,160.0,104.2,110.8,-6.7,57.3,1.47,13.5,29.9,69.0,49.1,12.0,46.2,55.1,103.36,47.3,Houston Rockets,48.0,26.0,22.0,3.3,2.4,5.5,44.3,0.5,1.5,34.3,2.3,3.1,74.7,0.7,2.4,3.1,1.2,0.7,0.6,0.3,0.3,1.9,2.0,7.7,-0.1
Utah Jazz,82.0,51.0,31.0,0.622,48.3,101.5,37.4,78.9,47.4,4.3,12.9,33.5,22.3,30.0,74.3,12.6,30.0,42.5,24.7,15.6,7.0,4.1,5.3,25.2,24.5,2.9,Utah Jazz,82.0,51.0,31.0,3961.0,108.6,105.6,3.0,65.9,1.58,18.5,35.2,72.1,53.4,16.7,50.2,55.1,92.81,53.1,7661.0,Utah Jazz,82.0,51.0,31.0,48.3,105.6,30.0,72.1,7.0,4.1,17.5,11.1,12.2,38.2,Utah Jazz,82.0,51.0,31.0,48.3,34.4,75.5,45.5,6.2,17.4,35.5,23.7,30.9,76.7,9.9,27.1,37.0,18.9,15.0,7.6,5.3,4.1,24.5,25.2,98.6,-2.9,Utah Jazz,46.0,26.0,20.0,56.5,4.1,10.3,3.4,6.9,49.1,0.7,2.2,33.3,2.8,3.5,81.4,1.0,2.6,3.5,2.0,1.0,0.4,0.4,0.5,2.6,2.3,1.1,Utah Jazz,46.0,26.0,20.0,189.0,121.7,113.0,8.8,58.3,1.9,16.9,37.0,66.7,52.4,12.3,54.2,61.2,97.41,54.8,Utah Jazz,46.0,26.0,20.0,4.1,2.7,6.2,43.6,0.7,2.1,35.1,3.1,4.1,76.5,1.0,2.2,3.2,1.5,0.9,0.6,0.5,0.4,2.3,2.6,9.3,-1.1
Cleveland Cavaliers,82.0,50.0,32.0,0.61,48.5,96.8,36.3,81.2,44.7,6.0,17.1,35.2,18.1,26.0,69.6,12.7,30.8,43.5,20.8,14.4,7.6,4.3,4.3,21.7,22.0,3.8,Cleveland Cavaliers,82.0,50.0,32.0,3976.0,104.4,100.6,3.8,57.4,1.45,16.2,32.7,72.1,51.8,15.5,48.4,52.2,91.59,52.0,7598.0,Cleveland Cavaliers,82.0,50.0,32.0,48.5,100.6,30.8,72.1,7.6,4.3,14.7,12.3,10.7,38.1,Cleveland Cavaliers,82.0,50.0,32.0,48.5,34.6,77.3,44.8,4.9,15.0,32.9,18.8,25.6,73.4,9.8,30.0,39.9,20.1,15.3,6.6,4.3,4.3,22.0,21.7,92.9,-3.8,Cleveland Cavaliers,48.0,27.0,21.0,56.3,4.3,9.7,3.1,7.3,42.7,0.7,2.4,29.8,2.8,3.9,70.4,1.3,2.8,4.0,1.8,1.1,0.7,0.3,0.6,2.9,2.6,1.2,Cleveland Cavaliers,48.0,27.0,21.0,208.0,109.1,99.3,9.8,58.0,1.67,14.7,36.2,71.0,52.3,12.1,47.6,53.8,97.14,55.3,Cleveland Cavaliers,48.0,27.0,21.0,4.3,2.4,6.1,38.8,0.5,1.8,26.7,3.3,4.4,76.1,0.9,2.7,3.6,1.3,1.2,0.5,0.6,0.3,2.6,2.9,8.5,-1.2
Chicago Bulls,82.0,49.0,33.0,0.598,48.2,98.8,37.1,81.3,45.7,5.9,15.1,38.8,18.6,25.4,73.4,12.0,31.7,43.7,22.3,16.0,7.8,5.4,5.3,23.3,23.2,5.0,Chicago Bulls,82.0,49.0,33.0,3956.0,104.0,98.8,5.2,60.1,1.4,17.0,31.9,70.7,51.4,16.8,49.3,53.4,94.47,53.9,7790.0,Chicago Bulls,82.0,49.0,33.0,48.2,98.8,31.7,70.7,7.8,5.4,17.2,11.9,10.7,35.1,Chicago Bulls,82.0,49.0,33.0,48.2,34.1,78.2,43.5,5.9,16.9,34.9,19.7,27.1,73.0,10.9,30.0,40.9,20.4,17.4,7.5,5.3,5.4,23.2,23.3,93.8,-5.0,Chicago Bulls,43.0,23.0,20.0,53.5,3.6,7.9,2.3,5.9,40.1,0.4,1.4,27.1,2.9,3.7,78.3,0.8,2.6,3.4,1.2,0.9,0.5,0.6,0.5,2.3,2.4,0.7,Chicago Bulls,43.0,23.0,20.0,153.0,101.8,92.3,9.5,52.5,1.33,12.3,30.4,65.2,48.7,11.9,43.3,53.1,105.18,59.6,Chicago Bulls,43.0,23.0,20.0,3.6,2.3,6.3,36.6,0.3,1.5,17.5,2.3,3.0,76.3,1.2,2.4,3.6,1.0,1.1,0.4,0.5,0.6,2.4,2.3,7.2,-0.7
Toronto Raptors,82.0,47.0,35.0,0.573,48.2,99.5,37.0,79.8,46.3,6.5,17.9,36.3,19.0,24.2,78.8,9.2,30.2,39.5,22.2,13.5,7.1,3.9,3.9,20.4,21.8,1.0,Toronto Raptors,82.0,47.0,35.0,3951.0,105.7,104.4,1.2,60.1,1.65,17.5,25.0,71.1,48.1,14.3,50.4,55.0,93.86,51.4,7719.0,Toronto Raptors,82.0,47.0,35.0,48.2,104.4,30.2,71.1,7.1,3.9,15.1,12.6,11.7,40.0,Toronto Raptors,82.0,47.0,35.0,48.2,37.2,80.4,46.3,6.5,18.2,35.7,17.6,23.3,75.4,10.3,32.2,42.5,21.2,15.1,6.0,3.9,3.9,21.8,20.4,98.5,-1.0,Toronto Raptors,39.0,23.0,16.0,59.0,3.5,8.2,2.4,5.8,41.7,0.6,1.8,36.2,2.7,3.5,76.8,0.8,2.1,2.9,1.2,0.7,0.4,0.3,0.3,1.9,2.7,0.5,Toronto Raptors,39.0,23.0,16.0,138.0,108.1,102.4,5.7,49.5,1.74,12.3,28.0,64.1,45.8,9.1,47.1,55.6,102.55,56.2,Toronto Raptors,39.0,23.0,16.0,3.5,2.4,5.8,41.6,0.4,1.6,24.2,2.5,3.2,77.6,0.8,2.7,3.5,1.1,1.2,0.3,0.3,0.3,2.7,1.9,7.7,-0.5
Denver Nuggets,82.0,45.0,37.0,0.549,48.2,105.4,38.6,83.0,46.5,5.9,17.6,33.6,22.3,29.9,74.6,12.2,31.2,43.4,23.4,16.5,8.3,5.3,5.2,21.4,23.7,1.6,Denver Nuggets,82.0,45.0,37.0,3956.0,106.7,105.1,1.7,60.7,1.42,17.1,32.2,67.8,50.2,16.7,50.1,54.8,98.2,51.4,8093.0,Denver Nuggets,82.0,45.0,37.0,48.2,105.1,31.2,67.8,8.3,5.3,18.6,14.3,14.6,44.8,Denver Nuggets,82.0,45.0,37.0,48.2,39.7,86.4,46.0,6.8,19.1,35.3,17.5,23.7,73.9,12.3,30.0,42.3,24.5,16.4,8.3,5.2,5.3,23.7,21.4,103.7,-1.6,Denver Nuggets,46.0,24.0,22.0,52.2,3.6,7.3,2.3,5.9,38.2,0.5,1.8,26.8,2.3,3.1,74.6,1.0,2.5,3.4,1.3,0.9,0.4,0.5,0.3,2.0,2.1,-0.3,Denver Nuggets,46.0,24.0,22.0,164.0,97.7,104.5,-6.8,56.7,1.48,12.9,32.8,64.7,48.8,11.6,42.3,50.2,99.64,48.2,Denver Nuggets,46.0,24.0,22.0,3.6,2.5,6.3,39.4,0.6,1.8,31.0,2.1,2.8,76.4,1.1,2.5,3.7,1.4,0.8,0.4,0.3,0.5,2.1,2.0,7.6,0.3
