TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
Chicago Bulls,82.0,62.0,20.0,3966.0,107.2,99.5,7.8,60.1,1.57,17.3,33.2,71.7,52.8,15.4,50.1,54.1,91.2,55.5,7542.0
San Antonio Spurs,82.0,61.0,21.0,3956.0,110.5,104.4,6.1,58.3,1.67,17.5,27.6,71.1,50.0,14.3,52.7,56.7,93.34,53.8,7691.0
Miami Heat,82.0,58.0,24.0,3956.0,110.6,102.9,7.8,54.1,1.44,16.1,28.7,71.5,51.4,15.1,52.4,57.3,91.63,55.6,7564.0
Dallas Mavericks,82.0,57.0,25.0,3941.0,108.4,104.1,4.4,63.7,1.71,18.7,27.8,71.3,50.4,15.1,52.5,56.5,92.24,53.8,7581.0
Los Angeles Lakers,82.0,57.0,25.0,3966.0,109.6,103.3,6.3,57.6,1.68,17.0,32.5,69.2,51.3,14.1,50.2,54.5,91.78,54.1,7594.0
Boston Celtics,82.0,56.0,26.0,3956.0,105.5,99.8,5.7,63.5,1.61,18.8,25.7,70.9,49.7,15.9,51.9,56.1,90.92,55.8,7500.0
Oklahoma City Thunder,82.0,55.0,27.0,4001.0,109.9,105.9,3.9,54.5,1.45,15.8,30.6,69.7,50.7,14.8,50.1,56.1,93.84,52.9,7824.0
Orlando Magic,82.0,52.0,30.0,3966.0,107.4,101.8,5.6,55.3,1.34,15.9,30.4,72.3,51.8,16.2,52.1,55.4,91.55,53.4,7575.0
Denver Nuggets,82.0,50.0,32.0,3941.0,111.7,106.8,4.9,57.6,1.57,17.0,28.3,71.6,50.6,14.7,52.6,57.4,96.06,52.4,7888.0
Portland Trail Blazers,82.0,48.0,34.0,3961.0,107.3,105.7,1.6,58.8,1.62,16.9,33.1,68.2,49.9,14.5,48.6,53.3,89.13,51.6,7359.0
Memphis Grizzlies,82.0,46.0,36.0,3976.0,107.0,104.5,2.5,52.8,1.48,16.0,33.3,68.2,50.5,15.0,49.3,53.4,92.42,51.8,7656.0
New Orleans Hornets,82.0,46.0,36.0,3966.0,105.4,104.4,1.0,57.4,1.58,16.8,28.9,72.1,50.3,14.5,49.3,53.7,89.4,50.7,7387.0
Atlanta Hawks,82.0,44.0,38.0,3946.0,105.1,105.8,-0.7,60.7,1.61,17.7,27.4,71.0,49.4,15.1,50.1,54.2,90.22,49.3,7410.0
Houston Rockets,82.0,43.0,39.0,3976.0,110.2,107.9,2.3,61.7,1.76,17.8,31.5,69.0,50.1,14.1,50.3,55.0,95.14,51.5,7880.0
New York Knicks,82.0,42.0,40.0,3956.0,109.9,109.0,1.0,56.0,1.56,16.4,27.3,67.6,47.3,14.1,51.3,56.1,96.47,50.4,7945.0
Philadelphia 76ers,82.0,41.0,41.0,3986.0,105.3,103.8,1.5,59.6,1.75,17.6,27.8,71.4,49.7,13.8,49.4,53.5,92.78,51.0,7709.0
Phoenix Suns,82.0,40.0,42.0,4001.0,108.6,109.4,-0.8,60.4,1.66,17.9,27.5,68.1,48.0,14.7,52.2,55.9,95.18,49.4,7930.0
Utah Jazz,82.0,39.0,43.0,3976.0,107.0,108.8,-1.8,62.7,1.63,18.0,31.4,67.9,49.6,15.4,49.8,54.4,92.03,50.0,7619.0
Indiana Pacers,82.0,37.0,45.0,3956.0,104.1,105.0,-0.9,53.6,1.28,15.2,29.7,70.3,50.1,16.0,48.6,53.3,95.5,49.2,7864.0
Golden State Warriors,82.0,36.0,46.0,3966.0,107.1,109.4,-2.3,56.8,1.54,17.0,30.0,65.9,47.6,15.1,51.0,54.4,95.85,47.2,7916.0
Milwaukee Bucks,82.0,35.0,47.0,3966.0,100.8,101.5,-0.8,54.9,1.4,15.3,28.7,71.0,49.2,14.8,46.7,51.1,90.57,48.8,7477.0
Charlotte Bobcats,82.0,34.0,48.0,3961.0,102.8,107.0,-4.2,60.1,1.45,16.9,29.8,70.5,50.2,16.0,48.2,52.8,90.3,48.0,7444.0
Los Angeles Clippers,82.0,32.0,50.0,3971.0,104.8,108.0,-3.2,60.1,1.35,16.9,33.0,69.2,51.1,17.4,49.6,53.5,93.35,48.3,7718.0
Detroit Pistons,82.0,30.0,52.0,3976.0,107.0,110.7,-3.7,56.6,1.62,16.8,31.7,68.1,49.1,14.4,49.5,53.3,89.79,46.4,7428.0
New Jersey Nets,82.0,24.0,58.0,4001.0,102.1,108.9,-6.8,59.0,1.5,16.6,30.4,70.0,49.7,15.2,47.4,51.7,90.7,45.2,7563.0
Sacramento Kings,82.0,24.0,58.0,3971.0,102.9,108.4,-5.5,53.4,1.27,15.4,33.4,70.2,51.2,16.7,48.0,51.9,95.76,46.2,7923.0
Washington Wizards,82.0,23.0,59.0,3986.0,101.3,109.1,-7.8,52.2,1.27,14.9,31.7,67.1,48.8,16.0,47.1,51.3,94.76,44.5,7871.0
Toronto Raptors,82.0,22.0,60.0,3956.0,105.2,111.7,-6.5,57.1,1.49,16.8,31.4,68.5,49.5,15.6,49.1,53.3,93.78,45.9,7723.0
Cleveland Cavaliers,82.0,19.0,63.0,3951.0,101.5,110.9,-9.5,59.6,1.48,16.4,28.3,69.9,48.5,15.1,47.2,51.8,93.76,44.1,7715.0
Minnesota Timberwolves,82.0,17.0,65.0,3956.0,103.2,109.9,-6.7,53.4,1.18,15.0,33.6,69.8,51.2,17.4,48.3,52.6,97.49,44.3,8034.0
