TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Golden State Warriors,82.0,67.0,15.0,48.2,38.8,89.2,43.5,9.0,27.8,32.4,17.7,23.2,76.1,11.7,31.8,43.5,22.7,15.5,8.6,3.8,6.8,19.4,19.3,104.3,-11.6
San Antonio Spurs,82.0,61.0,21.0,48.3,37.0,83.4,44.3,8.1,23.7,34.4,16.0,20.8,77.1,9.8,31.7,41.5,21.4,14.4,7.5,4.1,5.9,19.8,18.3,98.1,-7.2
Houston Rockets,82.0,55.0,27.0,48.2,41.2,88.9,46.3,10.0,29.1,34.3,17.3,22.2,77.8,10.7,33.4,44.1,24.1,15.1,8.5,5.0,4.3,20.4,19.9,109.6,-5.8
Boston Celtics,82.0,53.0,29.0,48.2,38.6,85.8,45.0,9.0,27.0,33.2,19.1,24.9,76.9,10.8,33.8,44.5,22.6,13.9,7.6,5.2,4.1,20.3,20.6,105.4,-2.6
Cleveland Cavaliers,82.0,51.0,31.0,48.5,40.6,88.8,45.8,10.4,28.7,36.1,15.5,20.0,77.3,11.0,33.2,44.2,24.7,12.6,7.3,4.3,4.0,20.6,18.1,107.2,-3.2
LA Clippers,82.0,51.0,31.0,48.2,38.6,85.4,45.2,9.2,26.3,35.0,18.0,23.4,77.2,10.2,32.9,43.1,23.1,13.2,7.0,3.1,4.2,22.4,19.8,104.4,-4.3
Toronto Raptors,82.0,51.0,31.0,48.2,37.2,82.9,44.9,9.7,27.3,35.4,18.5,23.8,78.0,10.1,31.9,42.1,21.8,14.6,6.7,4.8,4.9,20.3,20.8,102.6,-4.2
Utah Jazz,82.0,51.0,31.0,48.2,36.3,82.0,44.3,8.2,22.9,35.8,16.0,20.7,76.9,9.0,31.1,40.2,17.8,12.1,7.3,3.8,5.0,20.2,18.8,96.8,-3.9
Washington Wizards,82.0,49.0,33.0,48.4,39.7,85.1,46.6,9.9,27.1,36.4,18.2,24.2,75.1,10.6,32.5,43.0,22.8,15.3,7.4,4.6,4.1,19.8,21.3,107.4,-1.8
Oklahoma City Thunder,82.0,47.0,35.0,48.3,39.2,85.3,45.9,8.8,24.8,35.6,18.6,24.3,76.4,9.1,31.5,40.6,21.4,13.8,8.5,5.5,5.0,20.7,20.9,105.8,-0.8
Atlanta Hawks,82.0,43.0,39.0,48.5,38.8,87.3,44.4,10.9,30.5,35.7,15.6,20.2,77.2,10.7,33.2,43.9,23.4,15.4,9.0,5.2,4.8,21.6,18.2,104.0,0.9
Memphis Grizzlies,82.0,43.0,39.0,48.5,34.9,78.8,44.3,9.9,28.0,35.4,20.2,26.9,75.3,9.3,32.8,42.1,20.1,14.3,7.0,5.0,4.2,20.8,22.4,100.0,-0.5
Indiana Pacers,82.0,42.0,40.0,48.4,38.0,84.3,45.1,10.4,29.1,35.5,19.0,24.1,78.9,10.7,33.5,44.3,22.3,14.9,8.1,5.0,5.0,19.5,19.5,105.3,0.2
Milwaukee Bucks,82.0,42.0,40.0,48.2,38.0,82.9,45.8,10.0,28.2,35.3,17.9,23.2,77.1,10.3,32.1,42.4,24.1,14.7,7.4,4.6,5.3,19.3,20.2,103.8,0.2
Chicago Bulls,82.0,41.0,41.0,48.2,39.5,86.6,45.6,8.9,25.9,34.5,14.6,19.0,77.0,10.3,32.9,43.2,23.6,13.4,7.3,4.6,4.8,18.8,17.7,102.4,-0.4
Miami Heat,82.0,41.0,41.0,48.2,37.9,84.2,45.0,7.8,22.7,34.3,18.5,23.7,78.2,10.2,33.4,43.6,19.6,13.7,6.8,4.9,5.7,18.7,20.5,102.1,-1.1
Portland Trail Blazers,82.0,41.0,41.0,48.6,39.2,86.2,45.5,9.3,25.1,37.0,20.8,26.5,78.5,10.1,33.9,44.0,20.6,12.8,7.7,5.3,5.0,19.8,21.2,108.5,0.5
Denver Nuggets,82.0,40.0,42.0,48.2,42.1,88.4,47.7,9.9,26.3,37.5,17.1,21.9,78.2,9.4,31.4,40.8,24.0,12.0,8.3,4.9,3.9,20.2,19.1,111.2,-0.5
Detroit Pistons,82.0,37.0,45.0,48.3,38.3,83.3,46.0,9.4,25.6,36.6,16.4,21.0,78.0,8.0,34.9,42.9,23.5,12.8,6.7,4.1,3.8,17.5,17.9,102.5,1.1
Charlotte Hornets,82.0,36.0,46.0,48.4,39.5,86.5,45.6,11.6,31.4,36.9,14.2,18.2,77.6,8.9,35.5,44.4,24.5,13.1,6.6,5.5,4.8,19.9,16.6,104.7,-0.2
New Orleans Pelicans,82.0,34.0,48.0,48.5,40.1,89.0,45.0,10.5,29.8,35.3,15.8,20.7,76.2,10.6,37.7,48.3,23.4,14.0,7.4,4.2,5.5,19.3,18.2,106.4,2.1
Dallas Mavericks,82.0,33.0,49.0,48.2,37.0,79.0,46.9,9.6,25.3,38.0,17.2,22.3,77.2,8.9,35.6,44.5,21.3,14.9,6.5,3.4,3.7,19.4,19.1,100.8,2.9
Sacramento Kings,82.0,32.0,50.0,48.5,38.5,83.2,46.2,10.9,30.0,36.4,18.9,24.2,77.8,10.1,32.8,42.9,23.7,14.0,8.5,5.1,4.0,20.1,20.3,106.7,3.9
Minnesota Timberwolves,82.0,31.0,51.0,48.3,39.6,83.3,47.5,9.9,27.0,36.6,17.6,22.9,76.8,9.8,30.6,40.4,23.1,14.3,7.7,5.0,4.5,20.5,20.1,106.7,1.1
New York Knicks,82.0,31.0,51.0,48.4,39.7,87.4,45.5,9.8,28.2,34.8,18.7,24.2,77.1,11.6,33.1,44.7,21.8,12.9,7.5,4.6,5.5,18.5,20.3,108.0,3.7
Orlando Magic,82.0,29.0,53.0,48.3,40.3,86.4,46.7,9.7,26.4,36.7,17.4,22.7,76.6,9.7,35.8,45.5,23.6,13.0,7.6,5.1,4.8,18.7,19.3,107.6,6.6
Philadelphia 76ers,82.0,28.0,54.0,48.4,39.6,85.9,46.1,8.9,24.9,35.7,20.1,26.0,77.3,10.8,34.2,45.0,22.7,15.1,8.6,5.4,5.1,19.6,21.9,108.1,5.7
Los Angeles Lakers,82.0,26.0,56.0,48.1,41.5,86.0,48.3,10.1,27.4,37.0,18.3,24.0,76.2,10.3,34.2,44.4,25.7,14.5,8.5,5.4,3.9,18.5,20.7,111.5,6.9
Phoenix Suns,82.0,24.0,58.0,48.4,40.2,86.2,46.7,10.1,26.3,38.2,22.8,29.1,78.3,10.2,33.8,44.0,22.2,14.9,8.1,5.3,4.9,22.2,24.8,113.3,5.6
Brooklyn Nets,82.0,20.0,62.0,48.2,41.6,90.8,45.8,10.0,27.2,36.6,19.3,25.0,77.2,11.0,36.2,47.2,23.0,13.3,9.5,5.6,4.7,20.4,21.0,112.5,6.7
