general_traditional_Team,general_traditional_GP,general_traditional_W,general_traditional_L,general_traditional_WIN%,general_traditional_Min,general_traditional_PTS,general_traditional_FGM,general_traditional_FGA,general_traditional_FG%,general_traditional_3PM,general_traditional_3PA,general_traditional_3P%,general_traditional_FTM,general_traditional_FTA,general_traditional_FT%,general_traditional_OREB,general_traditional_DREB,general_traditional_REB,general_traditional_AST,general_traditional_TOV,general_traditional_STL,general_traditional_BLK,general_traditional_BLKA,general_traditional_PF,general_traditional_PFD,general_traditional_+/-,general_advanced_TEAM,general_advanced_GP,general_advanced_W,general_advanced_L,general_advanced_MIN,general_advanced_OffRtg,general_advanced_DefRtg,general_advanced_NetRtg,general_advanced_AST%,general_advanced_AST/TO,general_advanced_AST,general_advanced_OREB%,general_advanced_DREB%,general_advanced_REB%,general_advanced_TOV%,general_advanced_eFG%,general_advanced_TS%,general_advanced_PACE,general_advanced_PIE,general_advanced_POSS,general_defense_TEAM,general_defense_GP,general_defense_W,general_defense_L,general_defense_MIN,general_defense_DEF RTG,general_defense_DREB,general_defense_DREB%,general_defense_STL,general_defense_BLK,general_defense_OPP PTS,general_defense_OPP PTS.1,general_defense_OPP PTS.2,general_defense_OPP PTS.3,general_opponent_TEAM,general_opponent_Games Played,general_opponent_Wins,general_opponent_Losses,general_opponent_Minutes Played,general_opponent_Opponent's Field Goals Made,general_opponent_Opponent's Field Goals Attempted,general_opponent_Opponent's Field Goal Percentage,general_opponent_Opponent's 3 Point Field Goals Made,general_opponent_Opponent's 3 Point Field Goals Attempted,general_opponent_Opponent's 3 Point Field Goal Percentage,general_opponent_Opponent's Free Throws Made,general_opponent_Opponent's Free Throws Attempted,general_opponent_Opponent's Free Throw Percentage,general_opponent_Opponent's Offensive Rebounds,general_opponent_Opponent's Defensive Rebounds,general_opponent_Opponent's Rebounds,general_opponent_Opponent's Assists,general_opponent_Opponent's Turnovers,general_opponent_Opponent's Steals,general_opponent_Opponent's Blocks,general_opponent_Opponent's Blocked Field Goal Attempts,general_opponent_Opponent's Personal Fouls,general_opponent_Opponent's Personal Fouls Drawn,general_opponent_Opponent's Points,general_opponent_Plus-Minus,clutch-traditional_TEAM,clutch-traditional_Games Played,clutch-traditional_Wins,clutch-traditional_Losses,clutch-traditional_Win Percentage,clutch-traditional_Minutes Played,clutch-traditional_Points,clutch-traditional_Field Goals Made,clutch-traditional_Field Goals Attempted,clutch-traditional_Field Goal Percentage,clutch-traditional_3 Point Field Goals Made,clutch-traditional_3 Point Field Goals Attempted,clutch-traditional_3 Point Field Goal Percentage,clutch-traditional_Free Throws Made,clutch-traditional_Free Throws Attempted,clutch-traditional_Free Throw Percentage,clutch-traditional_Offensive Rebounds,clutch-traditional_Defensive Rebounds,clutch-traditional_Rebounds,clutch-traditional_Assists,clutch-traditional_Turnovers,clutch-traditional_Steals,clutch-traditional_Blocks,clutch-traditional_Blocks Against,clutch-traditional_Personal Fouls,clutch-traditional_Personal Fouls Drawn,clutch-traditional_Plus-Minus,clutch-advanced_TEAM,clutch-advanced_Games Played,clutch-advanced_Wins,clutch-advanced_Losses,clutch-advanced_Minutes Played,clutch-advanced_Offensive Rating,clutch-advanced_Defensive Rating,clutch-advanced_Net Rating,clutch-advanced_Assist Percentage,clutch-advanced_Assist to Turnover Ratio,clutch-advanced_Assist Ratio,clutch-advanced_Offensive Rebounding Percentage,clutch-advanced_Defensive Rebounding Percentage,clutch-advanced_Rebounding Percentage,clutch-advanced_Turnover Ratio,clutch-advanced_Effective Field Goal Percentage,clutch-advanced_True Shooting Percentage,clutch-advanced_Pace,clutch-advanced_Player Impact Estimate,clutch-opponent_TEAM,clutch-opponent_Games Played,clutch-opponent_Wins,clutch-opponent_Losses,clutch-opponent_Minutes Played,clutch-opponent_Opponent's Field Goals Made,clutch-opponent_Opponent's Field Goals Attempted,clutch-opponent_Opponent's Field Goal Percentage,clutch-opponent_Opponent's 3 Point Field Goals Made,clutch-opponent_Opponent's 3 Point Field Goals Attempted,clutch-opponent_Opponent's 3 Point Field Goal Percentage,clutch-opponent_Opponent's Free Throws Made,clutch-opponent_Opponent's Free Throws Attempted,clutch-opponent_Opponent's Free Throw Percentage,clutch-opponent_Opponent's Offensive Rebounds,clutch-opponent_Opponent's Defensive Rebounds,clutch-opponent_Opponent's Rebounds,clutch-opponent_Opponent's Assists,clutch-opponent_Opponent's Turnovers,clutch-opponent_Opponent's Steals,clutch-opponent_Opponent's Blocks,clutch-opponent_Opponent's Blocked Field Goal Attempts,clutch-opponent_Opponent's Personal Fouls,clutch-opponent_Opponent's Personal Fouls Drawn,clutch-opponent_Opponent's Points,clutch-opponent_Plus-Minus
Chicago Bulls,66.0,50.0,16.0,0.758,48.3,96.3,37.4,82.8,45.2,6.3,16.9,37.5,15.2,21.1,72.2,13.9,32.8,46.7,23.1,14.0,6.9,5.9,5.2,17.3,17.7,8.2,Chicago Bulls,66.0,50.0,16.0,3188.0,106.3,97.5,8.8,61.9,1.65,17.7,36.1,70.3,53.6,15.4,49.0,52.3,89.98,56.1,5982.0,Chicago Bulls,66.0,50.0,16.0,48.3,97.5,32.8,70.3,6.9,5.9,15.4,11.9,12.1,38.2,Chicago Bulls,66.0,50.0,16.0,48.3,34.6,82.1,42.1,4.6,14.2,32.5,14.3,19.4,74.0,11.4,28.6,40.0,18.9,13.3,7.4,5.2,5.9,17.7,17.3,88.2,-8.2,Chicago Bulls,30.0,22.0,8.0,73.3,3.1,7.5,2.3,5.8,40.0,0.4,1.5,23.9,2.5,3.4,74.3,1.4,2.0,3.4,1.2,0.8,0.4,0.5,0.6,1.7,2.2,1.4,Chicago Bulls,30.0,22.0,8.0,92.0,110.8,97.3,13.4,52.9,1.54,12.7,45.7,66.3,55.5,11.8,43.1,51.5,101.74,62.7,Chicago Bulls,30.0,22.0,8.0,3.1,2.0,5.1,40.1,0.4,1.2,30.6,1.7,2.6,64.1,0.7,1.8,2.6,1.0,0.8,0.5,0.6,0.5,2.2,1.7,6.1,-1.4
San Antonio Spurs,66.0,50.0,16.0,0.758,48.3,103.7,39.6,82.8,47.8,8.4,21.3,39.3,16.2,21.6,74.8,10.3,32.6,43.0,23.2,13.6,7.4,4.4,5.0,17.3,18.8,7.2,San Antonio Spurs,66.0,50.0,16.0,3188.0,110.0,102.3,7.7,58.5,1.71,17.8,28.2,72.0,50.7,14.4,52.8,56.2,93.67,54.6,6220.0,San Antonio Spurs,66.0,50.0,16.0,48.3,102.3,32.6,72.0,7.4,4.4,15.2,11.1,14.0,40.5,San Antonio Spurs,66.0,50.0,16.0,48.3,38.1,84.2,45.2,6.2,17.7,35.3,14.1,18.7,75.6,10.3,30.9,41.2,19.6,13.7,7.4,5.0,4.4,18.8,17.3,96.5,-7.2,San Antonio Spurs,31.0,22.0,9.0,71.0,4.3,9.6,3.3,7.2,45.5,0.6,1.7,37.0,2.5,3.4,71.7,1.1,3.0,4.0,1.5,1.1,0.5,0.4,0.5,1.7,2.8,2.0,San Antonio Spurs,31.0,22.0,9.0,133.0,106.8,92.6,14.2,47.5,1.45,13.2,29.2,72.2,51.2,11.8,50.0,55.5,96.36,64.0,San Antonio Spurs,31.0,22.0,9.0,4.3,2.9,7.1,40.6,0.5,1.9,25.0,1.4,2.3,62.0,1.0,3.0,4.0,1.3,1.1,0.6,0.5,0.4,2.8,1.7,7.6,-2.0
Oklahoma City Thunder,66.0,47.0,19.0,0.712,48.5,103.1,37.3,79.2,47.1,7.2,20.0,35.8,21.3,26.4,80.6,11.0,32.7,43.7,18.5,16.3,7.5,8.2,4.9,20.5,20.0,6.1,Oklahoma City Thunder,66.0,47.0,19.0,3198.0,108.4,102.1,6.3,49.7,1.13,14.6,30.4,68.7,50.9,17.2,51.6,56.7,94.11,54.2,6273.0,Oklahoma City Thunder,66.0,47.0,19.0,48.5,102.1,32.7,68.7,7.5,8.2,16.7,14.7,12.3,42.4,Oklahoma City Thunder,66.0,47.0,19.0,48.5,36.4,85.3,42.7,6.4,18.7,34.2,17.7,23.0,76.8,12.7,28.6,41.3,19.9,14.2,8.2,4.9,8.2,20.0,20.5,96.9,-6.1,Oklahoma City Thunder,32.0,18.0,14.0,56.3,4.9,10.7,3.2,8.2,39.3,0.8,2.6,30.1,3.4,4.1,84.0,1.2,3.4,4.6,1.2,1.3,0.5,1.1,0.5,2.8,2.7,0.4,Oklahoma City Thunder,32.0,18.0,14.0,157.0,105.2,101.5,3.7,37.9,0.98,9.5,29.2,63.9,47.2,12.3,44.1,53.3,99.19,54.5,Oklahoma City Thunder,32.0,18.0,14.0,4.9,3.3,8.7,37.5,0.8,2.3,34.2,3.0,3.9,76.2,1.5,3.2,4.7,1.3,1.3,0.6,0.5,1.1,2.7,2.8,10.3,-0.4
Miami Heat,66.0,46.0,20.0,0.697,48.6,98.5,37.1,79.0,46.9,5.6,15.6,35.9,18.8,24.2,77.5,10.4,31.2,41.6,20.0,15.2,8.9,5.4,4.2,19.4,20.5,6.0,Miami Heat,66.0,46.0,20.0,3208.0,105.6,99.2,6.4,53.8,1.31,15.9,29.9,69.3,50.4,16.3,50.5,54.9,92.07,55.3,6154.0,Miami Heat,66.0,46.0,20.0,48.6,99.2,31.2,69.3,8.9,5.4,16.6,13.1,11.9,36.6,Miami Heat,66.0,46.0,20.0,48.6,34.6,79.8,43.4,7.3,20.0,36.3,16.0,22.1,72.5,11.0,28.7,39.8,19.7,16.8,8.3,4.2,5.4,20.5,19.4,92.5,-6.0,Miami Heat,29.0,18.0,11.0,62.1,4.5,9.4,3.2,7.3,43.7,0.4,1.7,26.5,2.6,3.4,75.8,0.9,3.0,3.8,1.6,1.0,0.7,0.4,0.4,2.3,2.7,1.0,Miami Heat,29.0,18.0,11.0,131.0,102.6,93.8,8.8,48.4,1.5,13.0,27.3,69.1,48.5,11.2,46.7,53.4,96.25,58.4,Miami Heat,29.0,18.0,11.0,4.5,2.9,7.1,41.5,0.4,1.9,23.6,2.1,3.1,67.0,1.2,3.1,4.3,1.6,1.5,0.4,0.4,0.4,2.7,2.3,8.4,-1.0
Indiana Pacers,66.0,42.0,24.0,0.636,48.5,97.7,35.7,81.4,43.8,5.9,16.1,36.8,20.4,26.1,78.2,12.5,31.4,43.9,18.6,14.0,7.9,5.4,6.0,21.7,21.6,3.3,Indiana Pacers,66.0,42.0,24.0,3198.0,105.5,102.1,3.3,52.2,1.33,14.7,33.3,68.9,51.1,15.1,47.4,52.6,91.68,52.1,6115.0,Indiana Pacers,66.0,42.0,24.0,48.5,102.1,31.4,68.9,7.9,5.4,15.1,13.0,12.5,38.1,Indiana Pacers,66.0,42.0,24.0,48.5,34.9,80.4,43.5,6.7,19.1,35.1,17.9,24.5,72.9,12.0,30.3,42.3,19.6,14.9,6.6,6.0,5.4,21.6,21.7,94.4,-3.3,Indiana Pacers,30.0,21.0,9.0,70.0,4.6,10.7,3.2,8.3,39.1,0.5,1.8,25.9,3.8,4.7,80.7,1.9,3.6,5.5,1.8,1.2,0.6,0.6,0.5,2.2,3.1,2.4,Indiana Pacers,30.0,21.0,9.0,137.0,110.7,89.3,21.4,54.6,1.43,12.9,45.7,72.8,59.0,12.8,41.9,51.8,99.68,68.5,Indiana Pacers,30.0,21.0,9.0,4.6,2.7,7.5,36.2,0.4,2.1,17.2,2.6,3.5,73.3,1.0,2.7,3.6,1.4,1.1,0.6,0.5,0.6,3.1,2.2,8.3,-2.4
Los Angeles Lakers,66.0,41.0,25.0,0.621,48.7,97.3,36.8,80.6,45.7,5.5,16.8,32.6,18.2,24.1,75.6,12.1,34.1,46.2,22.5,15.1,5.9,5.3,4.6,16.8,20.2,1.4,Los Angeles Lakers,66.0,41.0,25.0,3213.0,104.5,103.2,1.3,61.1,1.49,17.3,32.7,71.9,53.2,16.2,49.1,53.4,91.72,52.4,6145.0,Los Angeles Lakers,66.0,41.0,25.0,48.7,103.2,34.1,71.9,5.9,5.3,16.6,12.7,15.1,40.4,Los Angeles Lakers,66.0,41.0,25.0,48.7,37.8,86.4,43.7,6.7,19.3,34.8,13.7,18.4,74.2,11.5,29.5,41.0,21.9,11.3,8.4,4.6,5.3,20.2,16.8,95.9,-1.4,Los Angeles Lakers,43.0,31.0,12.0,72.1,4.5,10.2,3.5,7.4,47.0,0.7,2.0,33.7,2.6,3.5,73.0,1.1,3.0,4.2,2.1,0.9,0.6,0.7,0.3,1.5,2.5,2.1,Los Angeles Lakers,43.0,31.0,12.0,194.0,115.3,94.8,20.5,61.1,2.39,17.2,34.9,68.5,52.9,10.0,51.6,57.0,92.17,65.5,Los Angeles Lakers,43.0,31.0,12.0,4.5,3.0,7.6,39.0,0.7,2.3,28.3,1.5,2.0,75.0,1.0,2.7,3.7,1.7,0.9,0.5,0.3,0.7,2.5,1.5,8.1,-2.1
Memphis Grizzlies,66.0,41.0,25.0,0.621,48.3,95.0,36.7,82.2,44.7,4.2,12.9,32.6,17.3,22.8,75.9,12.6,29.5,42.0,19.5,14.5,9.6,5.2,5.5,19.9,19.3,2.0,Memphis Grizzlies,66.0,41.0,25.0,3188.0,102.8,100.6,2.2,53.2,1.35,15.4,33.5,68.8,50.8,15.7,47.3,51.5,91.82,51.4,6099.0,Memphis Grizzlies,66.0,41.0,25.0,48.3,100.6,29.5,68.8,9.6,5.2,16.0,12.5,12.1,40.3,Memphis Grizzlies,66.0,41.0,25.0,48.3,34.5,77.8,44.4,6.3,18.3,34.5,17.6,23.1,76.4,11.0,29.6,40.7,19.3,17.1,7.8,5.5,5.2,19.3,19.9,93.0,-2.0,Memphis Grizzlies,43.0,27.0,16.0,62.8,3.4,8.0,2.6,5.8,44.2,0.4,1.3,32.1,2.5,3.3,75.2,1.0,2.2,3.1,1.3,0.7,0.7,0.4,0.4,2.1,2.2,1.0,Memphis Grizzlies,43.0,27.0,16.0,146.0,110.3,99.0,11.2,50.9,1.87,13.4,34.4,67.1,50.3,9.6,47.8,55.3,101.41,60.8,Memphis Grizzlies,43.0,27.0,16.0,3.4,2.0,5.0,39.8,0.4,1.4,28.8,2.7,3.4,78.1,0.7,2.2,2.9,0.9,1.3,0.3,0.4,0.4,2.2,2.1,7.0,-1.0
Atlanta Hawks,66.0,40.0,26.0,0.606,49.0,96.6,36.8,81.0,45.4,7.5,20.2,37.0,15.5,21.0,74.0,9.9,31.3,41.2,22.4,14.0,8.1,4.6,4.7,17.8,19.1,3.4,Atlanta Hawks,66.0,40.0,26.0,3233.0,104.2,100.4,3.8,61.0,1.61,17.6,27.9,70.3,49.3,15.1,50.0,53.5,90.88,52.6,6117.0,Atlanta Hawks,66.0,40.0,26.0,49.0,100.4,31.3,70.3,8.1,4.6,16.0,12.6,12.0,40.5,Atlanta Hawks,66.0,40.0,26.0,49.0,36.1,81.3,44.4,5.9,17.2,34.4,15.1,20.1,75.3,10.8,31.5,42.3,20.5,15.1,7.5,4.7,4.6,19.1,17.8,93.2,-3.4,Atlanta Hawks,36.0,24.0,12.0,66.7,5.1,11.2,3.8,8.6,43.5,0.9,2.3,38.6,2.8,3.9,71.6,1.6,3.7,5.3,2.0,1.3,0.6,0.5,0.4,2.3,3.1,2.1,Atlanta Hawks,36.0,24.0,12.0,183.0,109.8,92.9,16.9,53.3,1.6,14.2,38.1,68.0,53.3,12.3,48.7,54.2,94.32,64.0,Atlanta Hawks,36.0,24.0,12.0,5.1,3.1,8.2,38.3,0.4,2.1,18.9,2.4,3.1,79.1,1.0,3.1,4.1,1.6,1.2,0.5,0.4,0.5,3.1,2.3,9.1,-2.1
Los Angeles Clippers,66.0,40.0,26.0,0.606,48.4,97.5,37.0,81.3,45.5,7.8,21.8,35.7,15.8,23.3,68.0,12.1,29.4,41.6,21.0,13.3,8.4,4.8,4.5,21.2,21.2,2.6,Los Angeles Clippers,66.0,40.0,26.0,3193.0,107.5,104.8,2.7,56.8,1.58,16.6,33.1,69.2,50.7,14.7,50.2,53.3,89.98,51.7,5989.0,Los Angeles Clippers,66.0,40.0,26.0,48.4,104.8,29.4,69.2,8.4,4.8,15.1,12.9,12.3,38.6,Los Angeles Clippers,66.0,40.0,26.0,48.4,34.5,77.2,44.7,7.0,19.1,36.5,19.0,25.4,74.6,10.8,29.0,39.8,20.7,14.6,6.0,4.5,4.8,21.2,21.2,95.0,-2.6,Los Angeles Clippers,40.0,21.0,19.0,52.5,4.6,9.9,3.0,7.3,41.6,0.6,2.4,24.7,3.2,4.0,81.0,1.0,3.2,4.2,1.5,1.4,0.8,0.4,0.4,3.4,2.7,-0.1,Los Angeles Clippers,40.0,21.0,19.0,186.0,101.3,100.3,1.0,49.6,1.05,12.1,29.9,70.4,50.8,14.7,45.7,54.6,101.65,51.0,Los Angeles Clippers,40.0,21.0,19.0,4.6,2.7,7.0,37.9,0.7,2.0,34.6,4.0,5.2,75.6,1.1,2.9,3.9,1.5,1.5,0.7,0.4,0.4,2.7,3.4,10.0,0.1
Boston Celtics,66.0,39.0,27.0,0.591,48.3,91.8,35.5,77.1,46.0,5.5,15.0,36.7,15.4,19.8,77.8,7.7,31.1,38.8,23.6,14.8,7.5,5.5,4.6,19.9,18.4,2.5,Boston Celtics,66.0,39.0,27.0,3188.0,100.1,97.5,2.6,66.5,1.59,18.8,24.5,68.6,47.8,16.2,49.6,53.5,91.11,53.5,6055.0,Boston Celtics,66.0,39.0,27.0,48.3,97.5,31.1,68.6,7.5,5.5,16.2,13.5,11.5,39.8,Boston Celtics,66.0,39.0,27.0,48.3,33.4,79.7,41.9,5.2,16.9,30.8,17.2,22.7,76.0,11.8,31.4,43.2,18.7,15.7,7.8,4.6,5.5,18.4,19.9,89.3,-2.5,Boston Celtics,31.0,18.0,13.0,58.1,3.8,8.1,2.7,6.4,43.1,0.5,1.3,40.0,2.1,2.6,79.3,0.8,2.5,3.3,1.6,1.0,0.5,0.4,0.4,1.9,1.7,0.6,Boston Celtics,31.0,18.0,13.0,117.0,104.1,100.9,3.3,60.0,1.65,15.7,32.2,63.9,48.8,12.9,47.2,53.8,96.2,54.1,Boston Celtics,31.0,18.0,13.0,3.8,2.5,6.5,38.0,0.4,1.9,20.7,2.2,2.7,79.8,1.3,2.4,3.7,1.2,0.8,0.5,0.4,0.4,1.7,1.9,7.5,-0.6
