TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Phoenix Suns,42.0,33.0,9.0,3.1,2.0,5.5,36.7,0.5,2.1,23.3,2.0,2.6,76.1,0.7,1.5,2.3,0.9,0.7,0.4,0.1,0.3,2.0,1.9,6.5,-2.5
Toronto Raptors,45.0,26.0,19.0,4.0,2.7,7.0,38.9,0.9,2.9,30.8,1.9,2.3,81.9,1.0,2.5,3.5,1.5,1.1,0.4,0.4,0.6,2.2,1.8,8.3,-0.9
Chicago Bulls,41.0,25.0,16.0,3.4,2.3,5.9,39.6,0.6,2.2,27.5,2.4,3.1,77.3,0.9,2.1,3.0,1.1,0.7,0.5,0.2,0.2,2.2,1.9,7.7,-1.4
Washington Wizards,40.0,25.0,15.0,4.0,2.7,7.2,37.1,0.7,2.7,24.3,2.2,2.6,82.9,1.0,2.6,3.5,1.2,0.8,0.5,0.3,0.6,2.0,1.9,8.1,-1.4
LA Clippers,42.0,24.0,18.0,3.5,2.8,6.3,44.9,0.7,2.2,33.3,2.0,2.5,79.6,0.9,2.1,3.1,1.5,0.9,0.4,0.3,0.4,2.1,1.7,8.3,-0.9
Milwaukee Bucks,41.0,24.0,17.0,3.0,2.0,5.0,40.0,0.8,2.3,33.0,1.7,2.3,72.6,0.5,1.8,2.4,1.0,0.8,0.3,0.3,0.3,1.4,1.7,6.4,-1.0
Philadelphia 76ers,45.0,24.0,21.0,4.0,2.9,6.8,42.7,0.9,2.7,32.2,1.8,2.5,74.8,0.8,2.7,3.5,1.5,0.9,0.4,0.4,0.5,2.2,2.1,8.5,-0.3
Denver Nuggets,40.0,23.0,17.0,4.0,3.0,6.6,45.3,0.8,2.5,31.3,1.7,2.5,70.4,0.7,2.7,3.4,1.8,0.9,0.6,0.4,0.3,2.4,2.0,8.5,-0.2
Golden State Warriors,42.0,23.0,19.0,3.5,2.3,5.7,40.2,0.6,2.5,25.5,1.9,2.5,77.9,1.0,2.2,3.2,1.2,1.1,0.4,0.4,0.2,1.6,2.0,7.2,-0.2
Miami Heat,38.0,23.0,15.0,3.5,2.0,5.3,38.5,0.8,2.6,29.9,2.1,2.5,84.0,0.7,2.5,3.1,1.1,1.0,0.6,0.3,0.4,2.2,1.9,6.9,-0.5
Brooklyn Nets,42.0,22.0,20.0,3.9,2.6,6.4,40.7,0.8,2.5,29.9,2.2,2.6,83.8,0.7,2.7,3.4,1.6,1.0,0.4,0.3,0.4,2.4,2.0,8.2,-0.9
