,Yr,hs_wins,ls_wins,hs_team,ls_team,hs_seed,ls_seed
0,2023,0,0,Golden State Warriors,Los Angeles Lakers,6,7
1,2023,0,0,Denver Nuggets,Phoenix Suns,1,4
2,2023,0,0,New York Knicks,Miami Heat,5,8
3,2023,0,0,Boston Celtics,Philadelphia 76ers,2,3
