TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
New Orleans Pelicans,82.0,82.0,100.0,41.5,85.7,48.5,54.8,64.8,30.8,55.6,55.4,35.2,10.8,30.1,35.8
Los Angeles Lakers,81.0,81.0,100.0,41.0,85.3,48.1,54.2,64.8,30.7,55.3,55.5,35.2,10.4,30.0,34.6
Brooklyn Nets,80.0,80.0,100.0,41.7,84.5,49.3,54.7,71.3,32.6,60.3,54.2,28.7,9.1,24.3,37.4
Cleveland Cavaliers,82.0,82.0,100.0,41.8,84.5,49.5,56.4,62.7,30.2,53.0,56.9,37.3,11.7,31.5,37.0
Phoenix Suns,82.0,82.0,100.0,41.8,84.2,49.6,56.1,65.4,30.9,55.1,56.0,34.6,10.9,29.1,37.5
Chicago Bulls,81.0,81.0,100.0,41.0,83.3,49.2,56.5,61.0,28.9,50.7,56.9,39.0,12.1,32.5,37.3
Charlotte Hornets,82.0,82.0,100.0,41.1,83.2,49.4,56.1,64.1,29.8,53.3,55.9,35.9,11.3,29.9,37.8
LA Clippers,81.0,81.0,100.0,40.2,83.0,48.4,54.9,63.7,29.4,52.9,55.6,36.3,10.8,30.1,35.8
Philadelphia 76ers,81.0,81.0,100.0,38.0,82.5,46.1,52.2,64.4,27.9,53.1,52.5,35.6,10.1,29.3,34.4
Atlanta Hawks,81.0,81.0,100.0,40.6,82.3,49.4,56.4,63.0,29.1,51.8,56.2,37.0,11.5,30.4,37.8
Golden State Warriors,82.0,82.0,100.0,40.0,82.1,48.7,55.0,65.7,29.6,53.9,55.0,34.3,10.3,28.2,36.6
Orlando Magic,82.0,82.0,100.0,40.6,82.0,49.5,55.6,66.8,30.7,54.8,56.1,33.2,9.9,27.2,36.4
Denver Nuggets,81.0,81.0,100.0,41.2,81.7,50.4,57.1,65.2,30.4,53.3,57.0,34.8,10.8,28.4,38.1
Detroit Pistons,82.0,82.0,100.0,39.0,81.1,48.1,55.0,62.2,28.0,50.5,55.5,37.8,11.1,30.7,36.1
New York Knicks,81.0,81.0,100.0,39.3,80.9,48.6,55.5,62.6,28.2,50.7,55.6,37.4,11.2,30.2,36.9
Houston Rockets,82.0,82.0,100.0,39.5,80.8,48.9,55.2,64.6,29.4,52.2,56.4,35.4,10.1,28.6,35.3
Boston Celtics,79.0,79.0,100.0,37.4,80.7,46.4,52.1,66.0,28.1,53.3,52.7,34.0,9.3,27.4,34.0
Portland Trail Blazers,82.0,82.0,100.0,38.2,80.6,47.5,53.4,67.5,28.6,54.4,52.6,32.5,9.6,26.2,36.8
Minnesota Timberwolves,82.0,82.0,100.0,40.2,80.4,50.0,56.8,63.3,29.4,50.9,57.6,36.7,10.8,29.5,36.8
Indiana Pacers,82.0,82.0,100.0,39.3,80.4,48.9,55.5,62.4,28.7,50.1,57.3,37.6,10.6,30.3,35.0
Dallas Mavericks,82.0,82.0,100.0,39.3,80.0,49.1,55.8,63.3,28.6,50.7,56.5,36.7,10.7,29.3,36.4
Washington Wizards,82.0,82.0,100.0,38.7,79.5,48.7,55.0,63.7,28.6,50.6,56.5,36.3,10.1,28.9,35.0
Toronto Raptors,82.0,82.0,100.0,38.3,79.2,48.3,53.9,68.9,29.4,54.5,53.9,31.1,8.9,24.6,36.1
Oklahoma City Thunder,80.0,80.0,100.0,38.5,79.1,48.7,55.7,61.6,27.3,48.8,56.0,38.4,11.2,30.4,36.9
Miami Heat,81.0,81.0,100.0,37.7,78.6,48.0,54.1,66.5,28.1,52.3,53.9,33.5,9.6,26.4,36.4
San Antonio Spurs,82.0,82.0,100.0,38.2,78.6,48.5,54.4,66.9,29.0,52.6,55.2,33.1,9.2,26.0,35.1
Sacramento Kings,82.0,82.0,100.0,38.6,78.0,49.5,57.2,59.9,26.7,46.8,57.2,40.1,11.9,31.3,38.1
Milwaukee Bucks,81.0,81.0,100.0,39.1,78.0,50.1,56.6,65.9,29.0,51.3,56.5,34.1,10.1,26.6,37.8
Utah Jazz,82.0,82.0,100.0,37.2,77.5,48.0,54.1,66.9,27.7,51.9,53.4,33.1,9.4,25.6,36.9
Memphis Grizzlies,82.0,82.0,100.0,37.0,75.3,49.2,56.2,61.9,26.4,46.6,56.7,38.1,10.6,28.7,37.0
