TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Phoenix Suns,82.0,62.0,20.0,48.2,40.6,91.3,44.5,6.0,18.0,33.5,16.1,21.6,74.4,15.0,31.1,46.1,21.2,13.8,7.6,4.2,5.5,21.3,19.1,103.3,-7.1
Miami Heat,82.0,59.0,23.0,48.7,34.9,81.8,42.7,5.4,15.5,34.8,19.8,26.0,76.0,11.2,29.2,40.5,19.8,13.2,7.5,3.2,5.8,24.6,22.1,95.0,-6.5
San Antonio Spurs,82.0,59.0,23.0,48.3,33.1,77.5,42.6,3.9,10.7,36.7,18.3,23.8,76.8,10.9,29.3,40.2,16.9,15.1,7.2,5.1,6.6,23.1,20.9,88.4,-7.8
Dallas Mavericks,82.0,58.0,24.0,48.1,35.9,81.9,43.8,5.5,16.7,33.0,19.5,25.9,75.4,13.1,30.1,43.2,20.9,15.6,7.1,4.9,5.6,23.2,22.3,96.8,-5.7
Detroit Pistons,82.0,54.0,28.0,48.7,34.0,79.2,43.0,5.0,14.8,33.8,16.4,21.8,75.1,11.3,28.3,39.6,19.7,13.8,7.4,4.5,6.1,22.6,20.0,89.5,-3.9
Seattle SuperSonics,82.0,52.0,30.0,48.2,35.8,77.8,45.9,5.7,16.1,35.7,19.4,25.9,74.9,11.3,26.5,37.9,20.7,13.2,6.2,4.8,4.1,23.8,23.7,96.6,-2.3
Houston Rockets,82.0,51.0,31.0,48.4,33.2,78.3,42.3,5.5,16.4,33.8,19.2,25.8,74.2,10.9,29.8,40.7,20.7,13.3,7.4,4.1,4.6,21.6,22.0,91.0,-4.0
Sacramento Kings,82.0,50.0,32.0,48.4,38.9,84.6,45.9,5.7,16.1,35.7,18.1,24.5,73.8,13.4,30.9,44.3,21.5,14.7,7.6,4.5,3.9,21.5,20.5,101.6,-2.2
Denver Nuggets,82.0,49.0,33.0,48.2,36.0,80.6,44.7,5.6,16.4,34.5,19.9,26.7,74.6,11.9,29.8,41.7,21.7,16.4,7.8,5.6,6.0,23.9,22.9,97.5,-2.0
Chicago Bulls,82.0,47.0,35.0,48.4,33.7,79.9,42.2,5.1,15.2,33.4,20.9,28.1,74.4,11.9,30.8,42.7,20.9,15.5,8.4,5.3,4.5,23.3,24.7,93.4,-1.1
Boston Celtics,82.0,45.0,37.0,48.5,36.1,81.3,44.4,6.0,16.7,35.6,22.3,29.5,75.3,12.7,29.6,42.3,22.7,15.6,8.7,4.9,5.2,23.6,24.4,100.4,-0.9
Memphis Grizzlies,82.0,45.0,37.0,48.1,32.7,75.8,43.2,5.2,14.8,35.1,20.5,26.6,77.1,12.1,29.1,41.2,19.9,15.9,7.5,5.8,5.8,22.6,23.3,91.1,-2.3
Washington Wizards,82.0,45.0,37.0,48.2,37.8,82.3,45.9,6.4,17.5,36.4,18.9,24.8,76.2,12.4,30.6,43.0,23.0,15.9,7.1,5.0,4.2,24.3,22.0,100.8,0.3
Indiana Pacers,82.0,44.0,38.0,48.5,33.8,76.6,44.0,4.8,13.1,36.5,20.0,26.9,74.3,11.9,29.5,41.3,18.8,13.9,6.7,4.9,4.4,23.0,23.0,92.2,-0.8
Minnesota Timberwolves,82.0,44.0,38.0,48.2,36.2,82.6,43.8,5.7,15.7,36.3,17.2,22.9,75.2,12.6,28.8,41.4,21.7,11.7,6.6,3.9,5.5,19.9,21.6,95.3,-1.5
Philadelphia 76ers,82.0,43.0,39.0,48.4,35.7,80.7,44.3,6.9,19.0,36.2,21.5,28.0,76.7,11.6,32.5,44.1,22.9,17.0,8.3,4.7,3.9,23.5,22.9,99.9,0.7
Cleveland Cavaliers,82.0,42.0,40.0,48.4,35.5,78.6,45.2,5.1,13.7,37.6,19.5,26.0,75.0,11.4,28.3,39.8,21.2,14.8,6.7,5.1,5.6,21.6,22.6,95.7,-0.8
New Jersey Nets,82.0,42.0,40.0,48.5,33.0,75.2,43.9,5.9,16.1,36.8,20.9,28.1,74.4,10.7,30.5,41.2,20.3,15.6,7.3,4.9,3.8,22.9,24.2,92.9,1.5
Los Angeles Clippers,82.0,37.0,45.0,48.9,35.8,80.7,44.4,5.9,16.1,36.8,19.0,24.9,76.2,12.0,27.5,39.5,21.1,13.7,7.8,4.8,5.1,23.6,22.2,96.5,0.8
Orlando Magic,82.0,36.0,46.0,48.1,37.6,83.2,45.1,5.4,15.7,34.3,21.2,28.1,75.4,12.5,29.6,42.1,21.3,14.5,8.5,4.3,5.4,23.4,23.6,101.8,2.2
Golden State Warriors,82.0,34.0,48.0,48.5,38.2,83.4,45.8,5.5,15.1,36.3,19.0,25.5,74.5,12.9,33.8,46.7,22.7,15.3,7.0,5.1,5.1,21.7,22.4,100.9,2.2
Los Angeles Lakers,82.0,34.0,48.0,48.2,38.3,84.5,45.3,6.7,18.6,36.1,18.4,23.5,78.0,12.5,29.9,42.4,24.4,11.8,7.6,5.1,4.2,22.1,21.9,101.7,3.0
New York Knicks,82.0,33.0,49.0,48.5,36.6,78.7,46.5,5.7,15.6,36.4,20.9,27.6,75.6,11.8,29.9,41.7,20.7,14.6,7.3,4.7,3.2,21.2,23.7,99.7,2.4
Toronto Raptors,82.0,33.0,49.0,48.3,38.2,81.8,46.7,5.3,14.9,35.6,19.6,26.4,74.4,12.1,33.2,45.3,22.1,14.4,6.2,4.4,3.9,21.9,22.9,101.4,1.6
Milwaukee Bucks,82.0,30.0,52.0,48.2,37.8,81.4,46.4,5.6,16.5,34.3,19.0,24.7,77.1,11.4,29.4,40.8,23.8,13.0,7.5,4.5,3.5,23.8,21.9,100.2,3.0
Portland Trail Blazers,82.0,27.0,55.0,48.1,37.3,83.4,44.7,5.4,15.6,34.3,17.0,22.6,75.5,14.0,28.2,42.2,23.5,13.4,8.5,5.0,6.6,20.4,20.8,96.9,4.0
Utah Jazz,82.0,26.0,56.0,48.2,33.3,72.7,45.8,5.9,15.8,37.5,24.7,32.4,76.4,10.5,27.2,37.7,19.4,14.4,7.9,5.8,4.6,25.1,26.7,97.3,4.3
Charlotte Bobcats,82.0,18.0,64.0,48.5,36.8,79.4,46.3,5.4,14.9,36.1,21.3,27.8,76.7,11.7,31.5,43.2,21.6,15.8,7.6,5.4,5.4,22.7,23.1,100.2,6.0
New Orleans Hornets,82.0,18.0,64.0,48.6,34.7,76.8,45.2,6.0,16.4,36.7,20.0,25.9,77.5,11.5,30.3,41.9,21.2,14.2,7.7,5.5,3.8,21.1,23.0,95.5,7.1
Atlanta Hawks,82.0,13.0,69.0,48.4,37.1,77.9,47.6,5.7,15.0,37.9,22.5,29.2,77.0,11.0,30.3,41.3,22.0,14.8,8.7,5.9,4.2,21.7,24.5,102.5,9.7
