TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Miami Heat,40.0,32.0,8.0,4.4,2.6,6.9,36.8,0.6,2.1,29.4,1.7,2.3,73.6,0.9,2.5,3.3,1.3,1.4,0.6,0.5,0.8,2.7,1.6,7.4,-3.3
Chicago Bulls,49.0,29.0,20.0,3.8,2.3,6.1,38.4,0.5,1.7,29.6,2.0,2.7,72.2,1.1,2.4,3.5,1.2,1.1,0.4,0.6,0.3,2.3,1.9,7.1,-1.0
Denver Nuggets,47.0,29.0,18.0,4.5,3.0,7.3,41.3,0.7,2.3,32.1,2.5,3.3,75.5,1.0,2.7,3.7,1.8,1.4,0.6,0.9,0.3,2.8,2.4,9.3,-1.3
San Antonio Spurs,43.0,28.0,15.0,4.2,2.6,6.9,37.9,0.6,2.1,28.1,2.0,2.5,80.4,1.0,3.0,4.0,1.5,1.1,0.6,0.4,0.6,2.3,2.0,7.8,-1.0
Memphis Grizzlies,45.0,27.0,18.0,3.8,1.9,5.6,34.4,0.4,1.8,24.4,2.2,2.9,75.8,0.8,2.1,2.9,1.1,0.9,0.6,0.5,0.5,2.3,2.1,6.5,-1.1
Brooklyn Nets,40.0,26.0,14.0,4.3,2.9,7.1,40.8,0.5,1.8,27.8,2.2,3.3,66.9,1.4,2.8,4.2,1.3,1.1,0.7,0.5,0.5,2.8,2.6,8.5,-0.1
Los Angeles Lakers,45.0,25.0,20.0,3.6,2.4,6.4,38.2,0.4,1.8,22.9,1.7,2.2,77.6,0.8,2.4,3.2,1.3,1.0,0.3,0.2,0.4,2.3,1.7,7.0,-0.6
Milwaukee Bucks,44.0,25.0,19.0,4.0,3.0,7.1,41.7,0.4,1.5,28.4,1.9,2.5,78.0,1.3,2.6,3.9,1.3,1.2,0.7,0.2,0.8,2.2,1.7,8.3,-0.5
Golden State Warriors,40.0,24.0,16.0,4.1,2.7,6.7,39.9,0.7,2.3,30.0,2.1,3.1,68.3,1.1,2.9,4.0,1.5,1.3,0.5,0.4,0.3,2.7,2.3,8.1,-0.9
Dallas Mavericks,47.0,23.0,24.0,4.5,2.9,7.1,40.2,0.7,2.0,33.7,3.0,3.9,75.5,1.1,3.0,4.1,1.4,1.1,0.8,0.4,0.5,2.6,2.7,9.4,0.2
Houston Rockets,44.0,23.0,21.0,3.5,2.0,5.8,35.3,0.6,2.0,31.4,2.5,3.2,77.3,1.0,2.2,3.3,1.2,0.8,0.5,0.6,0.5,1.8,2.1,7.2,-0.2
Indiana Pacers,43.0,23.0,20.0,3.9,2.4,6.6,36.9,0.3,1.2,26.9,1.7,2.4,71.4,1.0,2.4,3.4,1.3,1.0,0.6,0.4,0.8,2.2,1.7,6.9,-0.9
Utah Jazz,43.0,23.0,20.0,4.1,2.5,6.2,40.8,0.6,1.9,31.3,2.6,3.3,79.6,0.9,2.5,3.4,1.3,1.0,0.6,0.4,0.6,2.4,2.2,8.2,-0.3
Atlanta Hawks,40.0,22.0,18.0,4.0,2.5,6.9,35.7,0.8,2.0,38.0,2.0,2.5,79.8,1.2,2.5,3.7,1.4,1.5,0.8,0.4,0.4,2.5,2.0,7.7,-0.6
New York Knicks,39.0,22.0,17.0,3.5,1.8,5.1,36.0,0.4,1.6,25.0,2.1,2.6,81.4,0.7,2.2,2.9,0.8,1.1,0.6,0.3,0.5,2.0,1.8,6.2,-0.6
Portland Trail Blazers,46.0,22.0,24.0,3.9,2.8,6.2,45.6,0.5,1.6,28.8,2.3,2.8,83.1,0.8,2.4,3.2,1.7,1.1,0.5,0.3,0.4,2.1,2.3,8.5,-0.3
Oklahoma City Thunder,37.0,21.0,16.0,3.9,2.5,6.5,38.3,0.6,1.8,35.4,2.3,2.9,80.2,0.9,2.4,3.3,1.5,0.9,0.7,0.3,0.7,2.6,2.1,7.9,-1.2
