TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Miami Heat,53.0,33.0,20.0,4.1,2.4,6.2,39.2,0.4,1.4,28.9,2.1,2.8,76.4,0.9,2.8,3.7,1.2,1.2,0.6,0.5,0.3,2.7,2.1,7.4,-0.8
Los Angeles Lakers,47.0,31.0,16.0,3.9,2.4,6.0,40.3,0.4,1.3,33.9,2.6,3.4,77.5,0.8,2.5,3.3,1.2,0.9,0.4,0.4,0.5,3.3,2.6,7.9,-1.3
Milwaukee Bucks,49.0,30.0,19.0,3.2,2.2,5.4,40.2,0.5,1.5,34.2,2.1,3.1,69.5,1.0,1.7,2.7,1.4,0.7,0.5,0.2,0.3,2.4,2.1,7.0,-0.6
Denver Nuggets,49.0,29.0,20.0,3.8,2.2,6.4,34.9,0.5,1.7,27.1,2.7,3.7,72.7,0.9,2.4,3.4,1.4,0.7,0.6,0.3,0.6,2.4,2.4,7.6,0.0
Phoenix Suns,46.0,29.0,17.0,3.9,2.3,6.3,35.7,0.2,1.3,16.9,2.6,3.3,78.4,1.1,2.5,3.6,1.1,1.2,0.5,0.4,0.5,2.9,2.4,7.3,-1.3
Utah Jazz,45.0,28.0,17.0,3.4,1.9,5.0,37.9,0.3,1.2,22.2,2.9,3.6,80.2,0.8,1.6,2.4,0.8,0.7,0.5,0.2,0.3,2.9,2.2,6.9,-1.9
Sacramento Kings,46.0,27.0,19.0,5.5,3.0,8.1,36.6,0.5,1.8,29.8,3.2,4.6,70.0,1.2,4.0,5.2,1.5,1.7,0.7,0.7,0.5,3.4,3.2,9.7,-0.7
Philadelphia 76ers,40.0,26.0,14.0,4.5,2.7,6.9,39.4,0.6,1.6,38.7,2.2,2.8,77.9,1.2,3.0,4.2,1.7,1.1,0.6,0.5,0.6,3.3,2.5,8.2,-1.4
Indiana Pacers,46.0,25.0,21.0,4.7,2.8,7.4,37.2,0.3,1.3,25.8,2.7,3.6,75.6,1.1,3.2,4.2,1.4,1.0,0.8,0.6,0.8,2.8,2.7,8.6,-0.4
Houston Rockets,46.0,24.0,22.0,3.8,2.2,5.6,38.6,0.2,1.0,22.2,2.4,3.6,67.7,0.8,2.3,3.1,1.1,1.0,0.5,0.6,0.4,2.3,2.3,7.0,-1.3
Orlando Magic,49.0,24.0,25.0,4.2,2.4,6.2,39.3,0.3,1.5,23.6,3.5,4.7,74.9,1.3,3.0,4.3,1.6,1.2,0.6,0.4,0.5,2.5,3.1,8.8,1.1
Seattle SuperSonics,47.0,24.0,23.0,3.8,2.5,6.5,38.9,0.6,1.9,31.5,2.3,2.8,80.5,1.0,2.5,3.6,1.6,1.1,0.6,0.7,0.5,2.1,2.1,7.9,0.6
Minnesota Timberwolves,43.0,23.0,20.0,4.2,2.7,6.4,41.8,0.4,1.2,30.8,3.3,4.2,77.9,1.1,2.3,3.4,1.8,1.0,0.6,0.3,0.7,2.3,3.1,9.0,0.4
New York Knicks,40.0,23.0,17.0,4.6,2.1,6.8,31.1,0.4,2.0,18.5,2.7,3.7,71.1,1.2,3.3,4.5,1.2,1.5,0.7,0.5,0.4,2.2,2.6,7.3,-0.4
Portland Trail Blazers,44.0,23.0,21.0,3.4,1.9,4.7,41.5,0.3,1.1,30.0,2.3,3.2,73.6,0.8,1.8,2.6,1.3,0.8,0.6,0.2,0.3,2.0,2.2,6.5,-0.8
