TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Golden State Warriors,31.0,23.0,8.0,74.2,3.1,8.3,2.7,6.2,43.5,0.6,1.9,30.0,2.3,2.7,85.7,1.1,2.0,3.0,1.5,0.6,0.7,0.2,0.2,1.3,1.9,2.0
Atlanta Hawks,41.0,29.0,12.0,70.7,3.0,7.7,2.3,4.8,48.2,0.7,1.6,40.3,2.4,3.1,76.0,0.5,2.0,2.4,1.6,0.8,0.6,0.3,0.3,1.5,2.2,2.1
Memphis Grizzlies,44.0,30.0,14.0,68.2,4.4,10.0,3.2,7.1,45.5,0.6,1.3,47.3,2.9,3.5,83.2,1.1,3.0,4.1,1.8,1.2,0.7,0.5,0.5,2.2,2.5,1.5
Chicago Bulls,47.0,31.0,16.0,66.0,3.8,8.5,2.7,6.5,41.1,0.6,2.0,31.2,2.6,3.1,82.8,1.0,2.7,3.7,1.5,1.2,0.4,0.5,0.4,2.0,2.5,0.9
Dallas Mavericks,40.0,26.0,14.0,65.0,4.1,10.2,3.5,7.2,47.8,0.7,2.1,31.0,2.6,3.3,78.2,1.1,2.5,3.5,1.8,1.0,0.9,0.3,0.4,2.4,2.5,1.9
Los Angeles Clippers,38.0,24.0,14.0,63.2,3.4,7.6,2.1,5.4,38.2,0.4,1.7,23.4,3.1,4.2,74.7,0.8,2.8,3.6,1.1,0.9,0.5,0.6,0.2,2.1,2.4,0.7
Cleveland Cavaliers,33.0,20.0,13.0,60.6,3.7,8.6,2.6,6.5,40.8,0.8,2.3,35.5,2.5,3.1,81.4,1.3,1.8,3.2,1.2,0.9,0.3,0.3,0.3,2.1,2.5,1.2
Houston Rockets,42.0,25.0,17.0,59.5,3.7,7.8,2.1,5.1,40.5,0.8,2.2,37.6,2.9,3.7,76.9,0.7,2.4,3.1,1.0,1.3,0.5,0.3,0.3,2.4,2.6,-0.2
Miami Heat,40.0,23.0,17.0,57.5,3.4,7.4,2.3,5.7,40.3,0.6,2.1,30.1,2.2,2.7,80.6,0.7,2.3,3.0,1.2,0.9,0.3,0.4,0.3,1.6,1.9,1.2
Brooklyn Nets,42.0,24.0,18.0,57.1,4.1,7.8,2.5,6.5,37.9,0.5,2.0,26.8,2.4,3.0,78.9,1.0,2.8,3.7,1.3,1.1,0.4,0.5,0.3,2.3,2.2,-0.4
Portland Trail Blazers,44.0,24.0,20.0,54.5,3.7,8.8,2.7,6.5,41.8,0.8,2.6,31.6,2.6,3.1,82.6,1.0,2.7,3.7,1.3,0.5,0.6,0.3,0.3,2.0,2.1,0.7
New Orleans Pelicans,44.0,23.0,21.0,52.3,3.7,8.0,2.6,6.3,41.7,0.5,1.5,36.9,2.2,2.8,79.3,1.0,2.5,3.5,1.5,0.9,0.4,0.6,0.7,1.8,2.0,0.1
Toronto Raptors,43.0,22.0,21.0,51.2,4.3,9.0,3.0,7.3,40.8,0.7,2.3,28.9,2.4,3.0,79.7,1.2,2.7,3.9,1.3,0.9,0.5,0.3,0.5,2.4,2.4,-0.6
San Antonio Spurs,38.0,19.0,19.0,50.0,4.5,9.2,2.8,7.1,39.9,0.7,2.1,33.3,2.9,4.2,68.8,1.1,3.1,4.2,1.9,1.3,0.4,0.5,0.4,2.2,2.5,0.2
Washington Wizards,42.0,21.0,21.0,50.0,4.8,8.9,3.0,7.6,39.0,0.5,1.9,23.8,2.6,3.6,70.6,1.0,3.1,4.2,1.4,1.4,0.6,0.4,0.6,2.4,2.6,-1.2
Indiana Pacers,48.0,23.0,25.0,47.9,4.1,8.4,2.6,6.7,38.5,0.6,2.0,28.9,2.6,3.3,80.1,0.8,3.0,3.9,1.5,0.9,0.5,0.5,0.3,2.3,2.4,0.1
Phoenix Suns,47.0,22.0,25.0,46.8,4.4,9.4,2.9,6.9,42.1,0.6,2.0,27.7,3.0,3.7,80.7,1.1,3.2,4.3,1.1,1.5,0.8,0.4,0.3,3.0,2.9,-0.4
Milwaukee Bucks,43.0,20.0,23.0,46.5,4.5,8.6,2.8,7.9,36.1,0.6,2.0,28.2,2.3,3.0,77.1,1.3,3.0,4.4,1.3,1.1,0.4,0.5,0.5,2.4,2.4,-0.5
Oklahoma City Thunder,42.0,19.0,23.0,45.2,3.9,8.0,2.9,7.5,38.4,0.7,2.5,26.4,1.6,2.3,70.1,1.0,3.0,4.0,1.2,0.9,0.5,0.6,0.4,2.5,1.8,0.0
Boston Celtics,45.0,20.0,25.0,44.4,3.9,8.8,2.8,7.2,39.5,0.8,2.5,33.3,2.3,3.0,77.6,1.1,2.5,3.6,1.8,1.1,0.5,0.3,0.7,2.6,2.2,0.0
Sacramento Kings,41.0,18.0,23.0,43.9,3.5,7.0,2.0,5.1,39.5,0.3,1.2,22.0,2.6,3.0,87.8,0.8,2.3,3.0,1.0,1.1,0.4,0.3,0.4,2.2,2.2,-1.1
Orlando Magic,50.0,21.0,29.0,42.0,3.4,7.1,2.5,5.5,45.4,0.3,1.2,27.4,1.8,2.5,74.8,0.6,2.3,2.9,1.1,0.8,0.5,0.4,0.4,1.9,1.8,-0.4
Charlotte Hornets,41.0,17.0,24.0,41.5,4.4,8.0,2.5,7.1,35.5,0.3,1.6,21.2,2.6,3.5,74.8,1.0,3.1,4.1,1.1,1.0,0.4,0.5,0.5,2.4,2.3,-1.0
Utah Jazz,41.0,17.0,24.0,41.5,3.4,7.3,2.0,5.7,34.9,0.2,1.4,17.2,3.1,4.1,75.3,1.2,2.6,3.9,0.9,1.1,0.5,0.4,0.5,1.9,2.4,-0.1
Detroit Pistons,40.0,15.0,25.0,37.5,3.7,7.5,2.7,7.0,38.1,0.7,2.6,25.5,1.5,2.7,55.6,1.1,2.2,3.4,1.4,0.7,0.7,0.4,0.6,2.7,2.1,-1.0
Denver Nuggets,38.0,14.0,24.0,36.8,4.2,9.1,3.2,7.6,41.4,0.8,2.6,29.3,2.0,2.6,77.3,1.4,2.3,3.7,1.7,1.1,0.3,0.6,0.4,2.3,1.9,-0.9
New York Knicks,40.0,14.0,26.0,35.0,4.2,7.9,2.7,7.0,37.7,0.5,1.8,28.8,2.0,2.6,77.9,1.4,2.7,4.1,1.2,1.3,0.5,0.4,0.5,2.8,2.0,-1.1
