TEAM,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%
New York Knicks,72.0,72.0,100.0,37.9,86.2,44.0,46.5,-2.6
Utah Jazz,72.0,72.0,100.0,40.9,91.4,44.7,46.5,-1.8
Golden State Warriors,72.0,72.0,100.0,40.2,89.0,45.2,46.5,-1.3
Philadelphia 76ers,72.0,72.0,100.0,39.4,86.9,45.3,46.4,-1.1
Milwaukee Bucks,72.0,72.0,100.0,42.4,92.9,45.6,46.4,-0.8
Miami Heat,72.0,72.0,100.0,39.1,85.2,45.9,46.5,-0.6
Brooklyn Nets,72.0,72.0,100.0,41.9,91.3,45.9,46.4,-0.5
Toronto Raptors,72.0,72.0,100.0,39.0,84.7,46.1,46.6,-0.5
Los Angeles Lakers,72.0,72.0,100.0,39.8,86.4,46.0,46.5,-0.5
Dallas Mavericks,72.0,72.0,100.0,40.1,87.1,46.0,46.5,-0.5
Memphis Grizzlies,72.0,72.0,100.0,41.0,88.7,46.2,46.5,-0.3
Atlanta Hawks,72.0,72.0,100.0,41.3,89.1,46.3,46.5,-0.2
Boston Celtics,72.0,72.0,100.0,39.9,86.0,46.4,46.5,0.0
LA Clippers,72.0,72.0,100.0,40.1,86.4,46.4,46.4,0.0
Phoenix Suns,72.0,72.0,100.0,40.5,86.8,46.7,46.4,0.2
Charlotte Hornets,72.0,72.0,100.0,41.3,88.1,46.8,46.5,0.3
Orlando Magic,72.0,72.0,100.0,42.2,89.7,47.1,46.6,0.4
New Orleans Pelicans,72.0,72.0,100.0,41.9,89.3,46.9,46.5,0.4
Indiana Pacers,72.0,72.0,100.0,42.7,91.3,46.8,46.4,0.4
Denver Nuggets,72.0,72.0,100.0,40.0,85.4,46.9,46.5,0.4
Washington Wizards,72.0,72.0,100.0,43.1,91.6,47.1,46.4,0.6
Oklahoma City Thunder,72.0,72.0,100.0,43.4,91.7,47.3,46.6,0.7
San Antonio Spurs,72.0,72.0,100.0,42.4,89.8,47.2,46.6,0.7
Portland Trail Blazers,72.0,72.0,100.0,41.8,88.3,47.3,46.6,0.7
Chicago Bulls,72.0,72.0,100.0,41.4,87.7,47.3,46.4,0.8
Detroit Pistons,72.0,72.0,100.0,41.4,86.9,47.6,46.5,1.1
Houston Rockets,72.0,72.0,100.0,42.7,89.0,48.0,46.6,1.3
Minnesota Timberwolves,72.0,72.0,100.0,43.0,89.2,48.2,46.6,1.6
Cleveland Cavaliers,72.0,72.0,100.0,42.0,86.7,48.4,46.5,1.9
Sacramento Kings,72.0,72.0,100.0,43.6,89.4,48.8,46.5,2.3
