TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Phoenix Suns,82.0,64.0,18.0,48.1,39.2,88.3,44.4,11.6,34.2,34.0,17.3,22.7,76.1,10.5,33.9,44.5,22.9,14.7,7.5,4.0,4.4,18.9,19.9,107.3,-7.5
Memphis Grizzlies,82.0,56.0,26.0,48.2,40.3,88.6,45.5,12.0,34.5,34.9,17.3,22.4,77.1,10.0,33.0,43.0,25.0,15.1,7.2,6.0,6.5,19.8,19.8,109.9,-5.7
Golden State Warriors,82.0,53.0,29.0,48.1,37.9,86.6,43.8,12.2,36.0,33.9,17.4,22.9,75.9,9.7,33.0,42.6,22.9,14.5,7.9,3.9,4.5,18.0,21.0,105.5,-5.5
Miami Heat,82.0,53.0,29.0,48.4,37.5,84.0,44.7,13.0,38.3,33.9,17.5,22.5,77.9,9.5,32.1,41.7,23.3,15.0,7.4,4.0,3.2,20.6,20.5,105.6,-4.5
Dallas Mavericks,82.0,52.0,30.0,48.2,39.0,85.4,45.7,10.9,32.1,34.0,15.8,20.6,76.7,9.5,34.1,43.6,23.5,13.1,7.0,3.7,4.0,20.1,19.7,104.7,-3.3
Boston Celtics,82.0,51.0,31.0,48.5,38.3,88.1,43.4,11.8,34.9,33.9,16.1,20.6,78.3,10.5,33.3,43.7,21.6,13.8,7.5,4.6,5.8,19.4,18.5,104.5,-7.3
Milwaukee Bucks,82.0,51.0,31.0,48.2,41.4,90.6,45.6,14.5,40.6,35.6,15.0,19.9,75.1,9.9,34.2,44.1,25.9,13.0,7.4,4.4,4.0,19.7,18.2,112.1,-3.4
Philadelphia 76ers,82.0,51.0,31.0,48.3,39.7,86.5,45.8,11.4,32.8,34.6,16.6,21.6,76.9,10.2,34.0,44.2,23.6,13.3,6.6,4.6,5.3,19.4,19.4,107.3,-2.6
Utah Jazz,82.0,49.0,33.0,48.1,40.4,89.2,45.3,12.1,34.6,35.0,14.6,19.3,75.8,9.9,31.7,41.6,23.4,12.0,7.8,4.3,4.9,20.3,18.9,107.6,-6.0
Denver Nuggets,82.0,48.0,34.0,48.3,41.1,87.4,47.0,11.8,34.2,34.6,16.5,21.7,75.7,9.7,32.7,42.4,25.4,12.8,7.9,4.8,3.7,19.9,20.0,110.4,-2.3
