TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
Utah Jazz,72.0,52.0,20.0,3471.0,116.5,107.5,9.0,57.3,1.66,17.3,28.4,75.7,52.9,14.2,56.3,59.7,99.37,54.2,7193.0
Phoenix Suns,72.0,51.0,21.0,3496.0,116.3,110.4,5.9,62.2,2.15,19.6,24.8,74.1,50.0,12.6,56.4,59.7,98.0,53.4,7137.0
Philadelphia 76ers,72.0,49.0,23.0,3486.0,112.5,107.0,5.5,57.2,1.64,17.2,27.7,73.7,51.1,14.3,54.1,57.9,100.12,53.6,7272.0
Brooklyn Nets,72.0,48.0,24.0,3481.0,117.3,113.1,4.2,62.1,1.98,19.3,25.2,72.6,50.3,13.4,57.5,61.0,100.27,53.2,7280.0
Denver Nuggets,72.0,47.0,25.0,3496.0,116.3,111.5,4.8,62.1,1.99,19.3,29.2,75.1,52.2,13.6,55.7,58.8,97.74,52.5,7123.0
LA Clippers,72.0,47.0,25.0,3456.0,116.7,110.6,6.1,58.4,1.85,18.1,27.0,75.4,51.8,13.5,56.4,59.9,97.63,53.0,7036.0
Milwaukee Bucks,72.0,46.0,26.0,3466.0,116.5,110.7,5.8,56.9,1.84,18.0,26.9,75.5,51.9,13.4,56.6,59.3,102.85,53.3,7423.0
Dallas Mavericks,72.0,42.0,30.0,3461.0,114.6,112.3,2.3,55.7,1.9,17.2,25.3,73.4,49.6,12.3,55.0,58.2,97.94,51.0,7062.0
Los Angeles Lakers,72.0,42.0,30.0,3491.0,109.8,106.8,2.9,60.7,1.62,18.0,26.9,74.8,51.1,15.2,53.6,56.9,98.85,51.7,7184.0
Portland Trail Blazers,72.0,42.0,30.0,3461.0,117.1,115.3,1.8,51.5,1.92,15.9,27.3,73.1,49.5,11.2,54.0,57.7,98.97,49.3,7137.0
Atlanta Hawks,72.0,41.0,31.0,3481.0,114.3,112.1,2.2,59.1,1.82,17.6,28.4,74.2,51.6,13.3,53.9,58.1,98.68,51.1,7160.0
New York Knicks,72.0,41.0,31.0,3486.0,110.2,107.8,2.4,54.3,1.65,16.3,26.4,73.8,50.5,13.3,52.4,55.9,96.32,50.2,6994.0
Miami Heat,72.0,40.0,32.0,3476.0,110.6,110.7,-0.1,67.1,1.87,19.5,24.0,73.3,49.1,14.4,54.6,58.1,97.09,50.9,7036.0
Golden State Warriors,72.0,39.0,33.0,3461.0,110.5,109.4,1.1,67.0,1.84,19.6,22.2,72.7,48.0,14.6,55.1,58.3,102.81,51.0,7412.0
Memphis Grizzlies,72.0,38.0,34.0,3481.0,111.7,110.5,1.2,62.8,2.03,18.9,28.5,73.6,50.7,13.1,52.8,56.0,100.77,51.1,7302.0
Boston Celtics,72.0,36.0,36.0,3476.0,113.1,111.8,1.2,56.6,1.67,17.1,28.9,73.7,51.0,14.1,54.3,57.4,98.94,50.1,7172.0
Indiana Pacers,72.0,34.0,38.0,3491.0,111.9,111.9,0.1,63.3,2.02,19.2,24.7,70.1,47.6,13.1,54.2,57.5,102.05,50.2,7419.0
Washington Wizards,72.0,34.0,38.0,3481.0,110.7,112.3,-1.6,59.0,1.77,17.8,25.0,73.6,49.4,13.7,53.1,56.9,104.67,49.6,7585.0
Charlotte Hornets,72.0,33.0,39.0,3471.0,110.1,112.0,-1.9,67.2,1.81,19.2,27.6,72.2,49.6,14.9,53.2,56.4,99.0,48.9,7159.0
San Antonio Spurs,72.0,33.0,39.0,3496.0,110.5,112.0,-1.5,58.4,2.14,17.9,24.3,73.3,48.5,11.3,51.7,55.4,99.45,49.3,7236.0
Chicago Bulls,72.0,31.0,41.0,3476.0,110.4,111.5,-1.1,63.5,1.77,19.2,26.7,76.7,51.9,15.1,54.7,57.5,99.58,49.9,7220.0
New Orleans Pelicans,72.0,31.0,41.0,3486.0,113.0,113.3,-0.3,61.2,1.78,18.3,30.2,75.5,52.7,14.4,53.7,57.0,100.54,50.8,7303.0
Sacramento Kings,72.0,31.0,41.0,3461.0,112.7,116.5,-3.8,59.9,1.91,18.4,25.3,71.3,48.2,13.3,54.9,57.8,100.71,48.1,7266.0
Toronto Raptors,72.0,27.0,45.0,3461.0,111.6,112.0,-0.4,60.7,1.82,17.7,25.6,71.6,47.9,13.3,52.9,56.7,99.57,48.6,7177.0
Minnesota Timberwolves,72.0,23.0,49.0,3481.0,109.3,114.5,-5.3,63.0,1.8,18.0,27.1,71.7,48.4,13.9,52.0,55.5,101.96,46.9,7389.0
Cleveland Cavaliers,72.0,22.0,50.0,3486.0,105.2,113.5,-8.3,61.8,1.54,17.5,28.0,72.9,49.9,15.7,50.8,54.3,97.96,46.0,7107.0
Oklahoma City Thunder,72.0,22.0,50.0,3471.0,102.8,113.4,-10.6,56.8,1.37,16.1,25.4,74.2,49.4,15.8,50.9,53.9,101.61,44.2,7353.0
Orlando Magic,72.0,21.0,51.0,3466.0,104.6,113.9,-9.3,57.0,1.7,16.3,25.2,74.4,48.8,12.9,49.0,52.7,99.17,45.0,7158.0
Detroit Pistons,72.0,20.0,52.0,3486.0,107.6,112.2,-4.5,62.6,1.62,17.8,26.7,72.5,49.3,15.1,51.9,55.6,98.19,47.3,7132.0
Houston Rockets,72.0,17.0,55.0,3461.0,107.0,114.4,-7.4,60.1,1.6,17.2,24.0,72.3,47.4,14.5,52.1,55.3,101.69,45.1,7320.0
