TEAM,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%
Milwaukee Bucks,82.0,82.0,100.0,40.5,93.5,43.3,45.7,-2.3
Miami Heat,82.0,82.0,100.0,38.3,86.8,44.1,45.8,-1.7
Golden State Warriors,82.0,82.0,100.0,40.4,91.1,44.4,45.9,-1.5
Memphis Grizzlies,82.0,82.0,100.0,37.6,83.3,45.1,46.1,-1.0
Boston Celtics,82.0,82.0,100.0,39.5,88.1,44.8,45.7,-0.9
Los Angeles Lakers,82.0,82.0,100.0,41.9,92.8,45.2,46.0,-0.9
Utah Jazz,80.0,80.0,100.0,40.0,88.8,45.1,45.9,-0.9
Toronto Raptors,82.0,82.0,100.0,40.3,89.7,44.9,45.7,-0.8
Indiana Pacers,82.0,82.0,100.0,38.7,86.1,45.0,45.7,-0.7
Portland Trail Blazers,82.0,82.0,100.0,41.1,90.0,45.7,46.0,-0.4
LA Clippers,82.0,82.0,100.0,41.7,91.3,45.7,46.0,-0.3
Brooklyn Nets,82.0,82.0,100.0,42.2,92.5,45.6,45.8,-0.2
Dallas Mavericks,82.0,82.0,100.0,40.9,89.2,45.9,46.1,-0.2
Denver Nuggets,82.0,82.0,100.0,39.6,86.4,45.8,46.0,-0.2
Orlando Magic,80.0,80.0,100.0,40.1,87.8,45.7,45.8,-0.1
Oklahoma City Thunder,81.0,81.0,100.0,40.8,88.8,46.0,46.0,-0.1
Philadelphia 76ers,79.0,79.0,100.0,41.7,91.4,45.6,45.7,-0.1
San Antonio Spurs,82.0,82.0,100.0,41.5,89.7,46.3,45.9,0.4
Houston Rockets,81.0,81.0,100.0,40.4,86.7,46.6,46.1,0.5
Sacramento Kings,82.0,82.0,100.0,42.3,90.6,46.6,46.0,0.6
Minnesota Timberwolves,82.0,82.0,100.0,42.1,90.1,46.7,46.1,0.7
New Orleans Pelicans,82.0,82.0,100.0,43.3,92.8,46.6,45.9,0.7
New York Knicks,81.0,81.0,100.0,41.9,89.6,46.7,45.9,0.8
Detroit Pistons,82.0,82.0,100.0,39.9,85.0,46.9,45.9,1.1
Charlotte Hornets,81.0,81.0,100.0,41.9,89.1,47.0,45.8,1.2
Atlanta Hawks,82.0,82.0,100.0,42.8,90.5,47.3,45.9,1.4
Chicago Bulls,80.0,80.0,100.0,42.3,89.3,47.4,45.8,1.6
Phoenix Suns,82.0,82.0,100.0,42.5,88.2,48.2,46.1,2.1
Washington Wizards,81.0,81.0,100.0,43.5,90.6,48.0,45.7,2.2
Cleveland Cavaliers,82.0,82.0,100.0,43.2,87.2,49.5,45.8,3.7
