TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Miami Heat,82.0,66.0,16.0,48.5,35.6,80.9,44.0,7.6,21.7,35.0,16.2,21.2,76.6,11.2,28.9,40.1,20.2,15.6,7.9,3.2,5.4,20.4,18.7,95.0,-7.9
Oklahoma City Thunder,82.0,60.0,22.0,48.4,36.2,85.0,42.5,7.4,21.5,34.6,16.7,21.6,77.4,12.0,28.7,40.7,20.5,14.8,8.2,3.9,7.6,20.7,20.2,96.5,-9.2
San Antonio Spurs,82.0,58.0,24.0,48.5,37.5,84.9,44.2,6.3,17.9,35.3,15.2,20.0,76.0,11.1,31.4,42.5,21.4,14.9,8.2,4.9,5.4,19.1,17.4,96.6,-6.4
Denver Nuggets,82.0,57.0,25.0,48.5,38.1,85.7,44.4,8.4,23.1,36.3,16.6,22.7,73.1,12.4,29.2,41.6,23.6,15.9,8.0,6.8,6.5,21.6,20.5,101.1,-5.1
Los Angeles Clippers,82.0,56.0,26.0,48.1,34.6,78.0,44.3,7.6,20.5,37.3,17.9,23.9,74.9,10.9,28.2,39.1,22.1,16.1,7.4,4.1,5.6,20.9,20.9,94.6,-6.5
Memphis Grizzlies,82.0,56.0,26.0,48.3,33.5,77.0,43.5,6.1,18.2,33.8,16.1,21.5,74.8,10.3,28.8,39.1,19.5,15.5,7.3,5.5,5.3,20.0,20.2,89.3,-4.1
New York Knicks,82.0,54.0,28.0,48.1,35.6,77.6,45.8,7.8,21.8,35.7,16.8,22.2,75.7,10.0,31.6,41.6,19.3,15.1,6.4,4.0,3.6,19.2,20.1,95.7,-4.2
Brooklyn Nets,82.0,49.0,33.0,48.4,37.4,80.7,46.4,6.3,17.3,36.6,14.0,19.2,73.1,10.7,28.5,39.2,21.4,13.4,7.5,4.8,4.8,21.4,18.3,95.1,-1.8
Indiana Pacers,81.0,49.0,32.0,48.4,34.5,82.2,42.0,5.4,16.6,32.7,16.2,21.3,76.0,11.2,29.6,40.9,19.2,13.5,7.5,5.7,6.3,21.9,20.0,90.7,-4.0
Golden State Warriors,82.0,47.0,35.0,48.3,37.2,84.8,43.9,8.0,23.1,34.7,17.9,23.9,74.8,11.1,31.7,42.7,23.5,13.5,8.2,4.9,4.2,19.2,21.4,100.3,-0.9
