general_traditional_Team,general_traditional_GP,general_traditional_W,general_traditional_L,general_traditional_WIN%,general_traditional_Min,general_traditional_PTS,general_traditional_FGM,general_traditional_FGA,general_traditional_FG%,general_traditional_3PM,general_traditional_3PA,general_traditional_3P%,general_traditional_FTM,general_traditional_FTA,general_traditional_FT%,general_traditional_OREB,general_traditional_DREB,general_traditional_REB,general_traditional_AST,general_traditional_TOV,general_traditional_STL,general_traditional_BLK,general_traditional_BLKA,general_traditional_PF,general_traditional_PFD,general_traditional_+/-,general_advanced_TEAM,general_advanced_GP,general_advanced_W,general_advanced_L,general_advanced_MIN,general_advanced_OffRtg,general_advanced_DefRtg,general_advanced_NetRtg,general_advanced_AST%,general_advanced_AST/TO,general_advanced_AST,general_advanced_OREB%,general_advanced_DREB%,general_advanced_REB%,general_advanced_TOV%,general_advanced_eFG%,general_advanced_TS%,general_advanced_PACE,general_advanced_PIE,general_advanced_POSS,general_defense_TEAM,general_defense_GP,general_defense_W,general_defense_L,general_defense_MIN,general_defense_DEF RTG,general_defense_DREB,general_defense_DREB%,general_defense_STL,general_defense_BLK,general_defense_OPP PTS,general_defense_OPP PTS.1,general_defense_OPP PTS.2,general_defense_OPP PTS.3,general_opponent_TEAM,general_opponent_Games Played,general_opponent_Wins,general_opponent_Losses,general_opponent_Minutes Played,general_opponent_Opponent's Field Goals Made,general_opponent_Opponent's Field Goals Attempted,general_opponent_Opponent's Field Goal Percentage,general_opponent_Opponent's 3 Point Field Goals Made,general_opponent_Opponent's 3 Point Field Goals Attempted,general_opponent_Opponent's 3 Point Field Goal Percentage,general_opponent_Opponent's Free Throws Made,general_opponent_Opponent's Free Throws Attempted,general_opponent_Opponent's Free Throw Percentage,general_opponent_Opponent's Offensive Rebounds,general_opponent_Opponent's Defensive Rebounds,general_opponent_Opponent's Rebounds,general_opponent_Opponent's Assists,general_opponent_Opponent's Turnovers,general_opponent_Opponent's Steals,general_opponent_Opponent's Blocks,general_opponent_Opponent's Blocked Field Goal Attempts,general_opponent_Opponent's Personal Fouls,general_opponent_Opponent's Personal Fouls Drawn,general_opponent_Opponent's Points,general_opponent_Plus-Minus,clutch-traditional_TEAM,clutch-traditional_Games Played,clutch-traditional_Wins,clutch-traditional_Losses,clutch-traditional_Win Percentage,clutch-traditional_Minutes Played,clutch-traditional_Points,clutch-traditional_Field Goals Made,clutch-traditional_Field Goals Attempted,clutch-traditional_Field Goal Percentage,clutch-traditional_3 Point Field Goals Made,clutch-traditional_3 Point Field Goals Attempted,clutch-traditional_3 Point Field Goal Percentage,clutch-traditional_Free Throws Made,clutch-traditional_Free Throws Attempted,clutch-traditional_Free Throw Percentage,clutch-traditional_Offensive Rebounds,clutch-traditional_Defensive Rebounds,clutch-traditional_Rebounds,clutch-traditional_Assists,clutch-traditional_Turnovers,clutch-traditional_Steals,clutch-traditional_Blocks,clutch-traditional_Blocks Against,clutch-traditional_Personal Fouls,clutch-traditional_Personal Fouls Drawn,clutch-traditional_Plus-Minus,clutch-advanced_TEAM,clutch-advanced_Games Played,clutch-advanced_Wins,clutch-advanced_Losses,clutch-advanced_Minutes Played,clutch-advanced_Offensive Rating,clutch-advanced_Defensive Rating,clutch-advanced_Net Rating,clutch-advanced_Assist Percentage,clutch-advanced_Assist to Turnover Ratio,clutch-advanced_Assist Ratio,clutch-advanced_Offensive Rebounding Percentage,clutch-advanced_Defensive Rebounding Percentage,clutch-advanced_Rebounding Percentage,clutch-advanced_Turnover Ratio,clutch-advanced_Effective Field Goal Percentage,clutch-advanced_True Shooting Percentage,clutch-advanced_Pace,clutch-advanced_Player Impact Estimate,clutch-opponent_TEAM,clutch-opponent_Games Played,clutch-opponent_Wins,clutch-opponent_Losses,clutch-opponent_Minutes Played,clutch-opponent_Opponent's Field Goals Made,clutch-opponent_Opponent's Field Goals Attempted,clutch-opponent_Opponent's Field Goal Percentage,clutch-opponent_Opponent's 3 Point Field Goals Made,clutch-opponent_Opponent's 3 Point Field Goals Attempted,clutch-opponent_Opponent's 3 Point Field Goal Percentage,clutch-opponent_Opponent's Free Throws Made,clutch-opponent_Opponent's Free Throws Attempted,clutch-opponent_Opponent's Free Throw Percentage,clutch-opponent_Opponent's Offensive Rebounds,clutch-opponent_Opponent's Defensive Rebounds,clutch-opponent_Opponent's Rebounds,clutch-opponent_Opponent's Assists,clutch-opponent_Opponent's Turnovers,clutch-opponent_Opponent's Steals,clutch-opponent_Opponent's Blocks,clutch-opponent_Opponent's Blocked Field Goal Attempts,clutch-opponent_Opponent's Personal Fouls,clutch-opponent_Opponent's Personal Fouls Drawn,clutch-opponent_Opponent's Points,clutch-opponent_Plus-Minus
Utah Jazz,72.0,52.0,20.0,0.722,48.2,116.4,41.3,88.1,46.8,16.7,43.0,38.9,17.2,21.5,79.9,10.6,37.6,48.3,23.7,14.2,6.6,5.2,3.9,18.5,19.0,9.3,Utah Jazz,72.0,52.0,20.0,3471.0,116.5,107.5,9.0,57.3,1.66,17.3,28.4,75.7,52.9,14.2,56.3,59.7,99.37,54.2,7193.0,Utah Jazz,72.0,52.0,20.0,48.2,107.5,37.6,75.7,6.6,5.2,17.0,12.4,12.1,49.1,Utah Jazz,72.0,52.0,20.0,48.2,40.9,91.4,44.7,10.9,31.8,34.1,14.5,18.9,76.8,9.8,32.8,42.6,22.3,11.5,7.7,3.9,5.2,19.0,18.5,107.2,-9.3,Utah Jazz,30.0,17.0,13.0,56.7,3.0,7.9,2.5,5.7,44.4,1.0,3.0,33.3,1.9,2.3,82.4,0.7,2.0,2.8,1.3,0.7,0.5,0.2,0.2,1.6,1.8,1.2,Utah Jazz,30.0,17.0,13.0,90.0,117.8,107.4,10.4,51.3,1.86,14.2,33.3,66.3,49.2,10.4,53.2,59.2,103.49,57.9,Utah Jazz,30.0,17.0,13.0,3.0,2.2,5.0,43.0,0.7,2.0,33.3,1.7,2.2,78.8,0.8,2.0,2.8,1.0,0.8,0.3,0.2,0.2,1.8,1.6,6.7,-1.2
Phoenix Suns,72.0,51.0,21.0,0.708,48.6,115.3,43.3,88.3,49.0,13.1,34.6,37.8,15.6,18.7,83.4,8.8,34.2,42.9,26.9,12.5,7.2,4.3,3.6,19.1,18.0,5.8,Phoenix Suns,72.0,51.0,21.0,3496.0,116.3,110.4,5.9,62.2,2.15,19.6,24.8,74.1,50.0,12.6,56.4,59.7,98.0,53.4,7137.0,Phoenix Suns,72.0,51.0,21.0,48.6,110.4,34.2,74.1,7.2,4.3,14.8,12.4,12.0,47.4,Phoenix Suns,72.0,51.0,21.0,48.6,40.5,86.8,46.7,11.6,32.8,35.4,16.8,21.7,77.8,9.4,33.3,42.7,22.9,13.6,6.9,3.6,4.3,18.0,19.1,109.5,-5.8,Phoenix Suns,37.0,25.0,12.0,67.6,4.3,10.3,3.3,7.9,42.0,1.0,3.2,31.7,2.6,3.3,79.3,1.3,2.6,3.9,1.5,0.8,0.6,0.4,0.2,2.4,2.4,0.8,Phoenix Suns,37.0,25.0,12.0,160.0,111.8,110.7,1.0,46.3,1.97,12.5,32.4,69.5,49.1,8.5,48.5,54.9,98.61,50.3,Phoenix Suns,37.0,25.0,12.0,4.3,3.0,6.8,43.7,0.9,2.7,33.3,2.6,3.3,81.0,0.8,3.3,4.1,1.5,1.0,0.4,0.2,0.4,2.4,2.4,9.5,-0.8
Philadelphia 76ers,72.0,49.0,23.0,0.681,48.4,113.6,41.4,86.9,47.6,11.3,30.1,37.4,19.6,25.5,76.7,10.0,35.0,45.1,23.7,14.4,9.1,6.2,4.7,20.2,21.0,5.6,Philadelphia 76ers,72.0,49.0,23.0,3486.0,112.5,107.0,5.5,57.2,1.64,17.2,27.7,73.7,51.1,14.3,54.1,57.9,100.12,53.6,7272.0,Philadelphia 76ers,72.0,49.0,23.0,48.4,107.0,35.0,73.7,9.1,6.2,17.2,11.6,14.3,46.0,Philadelphia 76ers,72.0,49.0,23.0,48.4,39.4,86.9,45.3,11.9,33.0,36.0,17.4,22.8,76.4,9.8,33.2,42.9,23.5,15.6,7.2,4.7,6.2,21.0,20.2,108.1,-5.6,Philadelphia 76ers,34.0,25.0,9.0,73.5,4.0,9.4,2.8,6.2,44.3,0.8,2.3,33.8,3.1,3.9,79.5,1.1,2.8,3.9,1.4,1.5,0.7,0.8,0.3,2.0,2.8,1.3,Philadelphia 76ers,34.0,25.0,9.0,136.0,108.5,97.5,11.0,51.1,0.92,12.3,38.5,65.6,53.4,17.7,50.5,59.1,101.78,63.8,Philadelphia 76ers,34.0,25.0,9.0,4.0,2.7,6.9,39.1,0.8,2.4,31.3,2.0,2.6,74.4,1.2,2.2,3.4,1.2,1.3,0.9,0.3,0.8,2.8,2.0,8.1,-1.3
Brooklyn Nets,72.0,48.0,24.0,0.667,48.3,118.6,43.1,87.3,49.4,14.2,36.1,39.2,18.1,22.5,80.4,8.9,35.5,44.4,26.8,13.5,6.7,5.3,4.6,19.0,18.9,4.5,Brooklyn Nets,72.0,48.0,24.0,3481.0,117.3,113.1,4.2,62.1,1.98,19.3,25.2,72.6,50.3,13.4,57.5,61.0,100.27,53.2,7280.0,Brooklyn Nets,72.0,48.0,24.0,48.3,113.1,35.5,72.6,6.7,5.3,16.1,15.3,12.1,47.8,Brooklyn Nets,72.0,48.0,24.0,48.3,41.9,91.3,45.9,13.2,36.2,36.5,17.1,22.0,77.5,10.5,32.6,43.1,24.0,12.6,7.6,4.6,5.3,18.9,19.0,114.1,-4.5,Brooklyn Nets,40.0,27.0,13.0,67.5,3.6,9.5,2.9,6.1,46.9,0.9,2.4,35.8,3.0,3.5,85.5,0.7,2.6,3.3,1.4,1.0,0.5,0.2,0.2,2.1,2.4,1.1,Brooklyn Nets,40.0,27.0,13.0,144.0,115.5,106.0,9.5,49.1,1.47,13.3,25.4,70.6,48.8,11.6,53.9,62.6,107.85,57.3,Brooklyn Nets,40.0,27.0,13.0,3.6,2.9,6.2,46.2,0.8,2.8,27.3,1.9,2.9,66.4,0.8,2.6,3.4,1.4,1.0,0.6,0.2,0.2,2.4,2.1,8.4,-1.1
Denver Nuggets,72.0,47.0,25.0,0.653,48.6,115.1,43.3,89.2,48.5,12.9,34.2,37.7,15.7,19.5,80.3,10.5,33.9,44.4,26.8,13.5,8.1,4.5,4.5,19.1,19.2,4.9,Denver Nuggets,72.0,47.0,25.0,3496.0,116.3,111.5,4.8,62.1,1.99,19.3,29.2,75.1,52.2,13.6,55.7,58.8,97.74,52.5,7123.0,Denver Nuggets,72.0,47.0,25.0,48.6,111.5,33.9,75.1,8.1,4.5,15.6,11.3,13.4,45.2,Denver Nuggets,72.0,47.0,25.0,48.6,40.0,85.4,46.9,13.0,35.7,36.3,17.1,22.1,77.3,9.1,32.1,41.2,25.9,14.1,7.5,4.5,4.5,19.2,19.1,110.1,-4.9,Denver Nuggets,31.0,18.0,13.0,58.1,4.7,11.4,3.9,7.8,50.2,1.0,2.5,39.7,2.5,3.0,83.9,1.0,2.9,3.9,2.0,1.1,0.7,0.5,0.5,2.2,2.6,0.9,Denver Nuggets,31.0,18.0,13.0,145.0,116.1,108.3,7.8,51.6,1.8,15.7,26.9,68.3,48.5,11.5,56.6,62.2,100.11,56.6,Denver Nuggets,31.0,18.0,13.0,4.7,3.5,8.0,44.5,0.8,2.9,26.4,2.6,3.1,83.5,1.2,2.8,4.0,1.5,1.3,0.8,0.5,0.5,2.6,2.2,10.5,-0.9
LA Clippers,72.0,47.0,25.0,0.653,48.0,114.0,41.8,86.7,48.2,14.3,34.7,41.1,16.2,19.3,83.9,9.4,34.7,44.2,24.4,13.2,7.1,4.1,4.2,19.2,18.1,6.2,LA Clippers,72.0,47.0,25.0,3456.0,116.7,110.6,6.1,58.4,1.85,18.1,27.0,75.4,51.8,13.5,56.4,59.9,97.63,53.0,7036.0,LA Clippers,72.0,47.0,25.0,48.0,110.6,34.7,75.4,7.1,4.1,15.4,11.8,11.9,47.2,LA Clippers,72.0,47.0,25.0,48.0,40.1,86.4,46.4,11.6,32.5,35.6,16.1,20.7,77.7,9.2,32.0,41.2,22.9,12.8,7.1,4.2,4.1,18.1,19.2,107.8,-6.2,LA Clippers,34.0,16.0,18.0,47.1,2.5,6.2,1.8,4.3,42.5,0.7,2.1,34.7,1.8,2.1,87.1,0.6,1.8,2.4,0.9,0.6,0.3,0.2,0.1,2.1,1.3,-0.6,LA Clippers,34.0,16.0,18.0,86.0,112.3,117.8,-5.5,50.0,1.55,12.7,32.6,62.9,49.2,10.7,51.0,59.4,107.69,45.6,LA Clippers,34.0,16.0,18.0,2.5,1.9,4.7,41.3,0.5,1.9,27.7,2.4,3.0,81.2,0.8,1.6,2.3,0.9,0.5,0.4,0.1,0.2,1.3,2.1,6.8,0.6
Milwaukee Bucks,72.0,46.0,26.0,0.639,48.1,120.1,44.7,91.8,48.7,14.4,37.1,38.9,16.2,21.4,76.0,10.3,37.8,48.1,25.5,13.8,8.1,4.6,4.8,17.3,18.3,5.9,Milwaukee Bucks,72.0,46.0,26.0,3466.0,116.5,110.7,5.8,56.9,1.84,18.0,26.9,75.5,51.9,13.4,56.6,59.3,102.85,53.3,7423.0,Milwaukee Bucks,72.0,46.0,26.0,48.1,110.7,37.8,75.5,8.1,4.6,15.9,13.0,10.7,43.1,Milwaukee Bucks,72.0,46.0,26.0,48.1,42.4,92.9,45.6,14.8,38.6,38.4,14.6,18.8,78.0,9.6,33.8,43.4,25.1,13.2,7.0,4.8,4.6,18.3,17.3,114.2,-5.9,Milwaukee Bucks,28.0,13.0,15.0,46.4,3.5,8.2,2.7,6.0,45.5,0.9,2.5,36.2,1.9,2.4,79.1,0.6,2.9,3.5,1.3,1.1,0.5,0.5,0.4,1.4,1.8,-0.1,Milwaukee Bucks,28.0,13.0,15.0,98.0,107.0,105.4,1.6,47.4,1.13,13.1,23.0,72.6,49.8,14.9,53.0,58.5,106.52,52.0,Milwaukee Bucks,28.0,13.0,15.0,3.5,2.9,6.9,42.7,1.3,3.5,35.7,1.3,1.8,68.6,0.8,2.5,3.2,1.6,0.8,0.7,0.4,0.5,1.8,1.4,8.4,0.1
Dallas Mavericks,72.0,42.0,30.0,0.583,48.1,112.4,41.1,87.3,47.0,13.8,38.1,36.2,16.5,21.2,77.8,9.1,34.2,43.3,22.9,12.1,6.3,4.3,3.7,19.4,20.1,2.3,Dallas Mavericks,72.0,42.0,30.0,3461.0,114.6,112.3,2.3,55.7,1.9,17.2,25.3,73.4,49.6,12.3,55.0,58.2,97.94,51.0,7062.0,Dallas Mavericks,72.0,42.0,30.0,48.1,112.3,34.2,73.4,6.3,4.3,14.6,13.1,12.4,45.2,Dallas Mavericks,72.0,42.0,30.0,48.1,40.1,87.1,46.0,12.8,35.2,36.5,17.2,22.5,76.4,9.8,34.2,43.9,22.7,12.6,7.3,3.7,4.3,20.1,19.4,110.2,-2.3,Dallas Mavericks,33.0,18.0,15.0,54.5,3.1,7.5,2.4,5.3,45.1,0.8,2.3,36.4,1.8,2.2,82.2,0.6,1.9,2.5,1.2,0.6,0.2,0.2,0.2,1.6,1.8,-0.5,Dallas Mavericks,33.0,18.0,15.0,101.0,114.4,120.7,-6.3,50.6,2.11,14.2,27.5,67.0,47.6,8.8,53.1,59.4,102.49,47.9,Dallas Mavericks,33.0,18.0,15.0,3.1,2.6,5.7,45.5,0.8,2.2,35.1,2.0,2.4,84.6,0.8,2.1,2.9,1.1,0.5,0.4,0.2,0.2,1.8,1.6,7.9,0.5
Los Angeles Lakers,72.0,42.0,30.0,0.583,48.5,109.5,40.6,86.1,47.2,11.1,31.2,35.4,17.2,23.3,73.9,9.7,34.6,44.2,24.7,15.2,7.8,5.4,4.5,19.1,21.3,2.8,Los Angeles Lakers,72.0,42.0,30.0,3491.0,109.8,106.8,2.9,60.7,1.62,18.0,26.9,74.8,51.1,15.2,53.6,56.9,98.85,51.7,7184.0,Los Angeles Lakers,72.0,42.0,30.0,48.5,106.8,34.6,74.8,7.8,5.4,16.6,11.3,12.2,48.2,Los Angeles Lakers,72.0,42.0,30.0,48.5,39.8,86.4,46.0,11.4,32.2,35.2,15.9,20.5,77.6,8.8,33.2,42.0,24.7,15.2,8.2,4.5,5.4,21.3,19.1,106.8,-2.8,Los Angeles Lakers,35.0,21.0,14.0,60.0,4.0,9.3,3.3,7.5,44.4,1.1,2.9,39.0,1.5,2.0,76.1,1.1,2.6,3.7,1.8,0.9,0.5,0.5,0.3,1.6,2.0,1.6,Los Angeles Lakers,35.0,21.0,14.0,140.0,112.1,100.4,11.7,53.4,1.88,15.4,33.8,74.8,52.4,11.4,51.9,55.6,95.56,57.3,Los Angeles Lakers,35.0,21.0,14.0,4.0,2.6,6.1,42.5,0.7,2.1,34.7,1.7,2.1,83.3,0.5,2.8,3.3,1.4,1.0,0.5,0.3,0.5,2.0,1.6,7.7,-1.6
Portland Trail Blazers,72.0,42.0,30.0,0.583,48.1,116.1,41.3,91.1,45.3,15.7,40.8,38.5,17.8,21.6,82.3,10.6,33.9,44.5,21.3,11.1,6.9,5.0,4.6,18.9,19.1,1.8,Portland Trail Blazers,72.0,42.0,30.0,3461.0,117.1,115.3,1.8,51.5,1.92,15.9,27.3,73.1,49.5,11.2,54.0,57.7,98.97,49.3,7137.0,Portland Trail Blazers,72.0,42.0,30.0,48.1,115.3,33.9,73.1,6.9,5.0,14.1,13.8,13.7,47.3,Portland Trail Blazers,72.0,42.0,30.0,48.1,41.8,88.3,47.3,12.9,34.6,37.2,17.9,22.8,78.7,9.9,35.5,45.4,24.9,12.4,6.1,4.6,5.0,19.1,18.9,114.3,-1.8,Portland Trail Blazers,37.0,24.0,13.0,64.9,3.7,10.8,3.6,7.6,47.2,1.3,3.6,35.8,2.3,2.7,84.2,1.1,2.6,3.6,1.8,0.6,0.5,0.4,0.4,1.9,1.9,3.0,Portland Trail Blazers,37.0,24.0,13.0,137.0,126.7,99.3,27.4,48.9,2.83,15.2,33.8,73.8,52.7,7.3,55.7,61.1,105.77,63.6,Portland Trail Blazers,37.0,24.0,13.0,3.7,2.5,6.0,40.8,0.6,2.3,24.7,2.3,2.8,82.4,0.8,2.6,3.3,1.2,1.0,0.2,0.4,0.4,1.9,1.9,7.8,-3.0
