TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Toronto Raptors,51.0,32.0,19.0,3.3,1.9,5.0,37.4,0.5,1.6,30.1,2.7,3.4,77.7,0.6,2.2,2.8,0.9,0.8,0.4,0.5,0.3,2.3,2.4,6.9,-1.1
Golden State Warriors,34.0,30.0,4.0,4.2,2.4,7.4,32.3,0.3,1.8,17.7,2.3,3.1,74.5,1.0,2.4,3.4,1.3,1.1,0.6,0.4,0.5,2.8,2.2,7.4,-3.2
Indiana Pacers,53.0,30.0,23.0,4.0,2.8,6.5,43.2,0.6,2.2,28.0,2.4,3.1,76.7,1.0,2.8,3.8,1.4,1.3,0.5,0.5,0.5,2.5,2.2,8.6,0.0
Houston Rockets,49.0,28.0,21.0,4.0,2.6,6.5,39.1,0.5,2.1,25.0,2.5,3.1,78.6,0.8,2.8,3.6,1.4,1.1,0.5,0.3,0.4,2.9,2.1,8.1,-0.8
Chicago Bulls,46.0,27.0,19.0,4.6,3.3,8.5,38.8,0.6,2.2,28.3,2.4,3.6,67.9,1.5,3.0,4.6,1.7,0.8,0.7,0.4,0.8,2.5,2.5,9.7,0.5
Memphis Grizzlies,44.0,26.0,18.0,3.9,2.4,5.9,40.2,0.4,2.1,19.4,2.4,3.0,81.7,0.8,2.6,3.4,1.3,1.3,0.5,0.6,0.4,2.4,2.0,7.6,-1.3
Boston Celtics,46.0,25.0,21.0,3.4,2.5,6.0,41.2,0.5,2.1,25.8,3.0,3.7,80.1,0.8,2.5,3.3,1.4,0.9,0.5,0.4,0.4,2.0,2.5,8.4,-0.3
Dallas Mavericks,49.0,25.0,24.0,4.6,3.2,7.8,40.6,0.8,2.6,30.7,2.1,3.0,70.7,1.1,3.3,4.5,1.7,1.2,0.4,0.4,0.4,2.4,2.1,9.3,-1.2
Denver Nuggets,52.0,25.0,27.0,3.7,2.5,6.3,39.1,0.5,1.8,25.0,2.2,3.0,74.0,0.8,2.8,3.6,1.4,0.8,0.4,0.6,0.3,2.3,2.2,7.6,0.4
Detroit Pistons,42.0,25.0,17.0,4.1,2.7,7.0,38.7,0.5,2.0,24.4,2.1,2.9,75.0,0.9,2.8,3.7,1.3,1.1,0.5,0.5,0.3,3.2,2.2,8.0,-1.3
