TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
Chicago Bulls,66.0,50.0,16.0,3188.0,106.3,97.5,8.8,61.9,1.65,17.7,36.1,70.3,53.6,15.4,49.0,52.3,89.98,56.1,5982.0
San Antonio Spurs,66.0,50.0,16.0,3188.0,110.0,102.3,7.7,58.5,1.71,17.8,28.2,72.0,50.7,14.4,52.8,56.2,93.67,54.6,6220.0
Oklahoma City Thunder,66.0,47.0,19.0,3198.0,108.4,102.1,6.3,49.7,1.13,14.6,30.4,68.7,50.9,17.2,51.6,56.7,94.11,54.2,6273.0
Miami Heat,66.0,46.0,20.0,3208.0,105.6,99.2,6.4,53.8,1.31,15.9,29.9,69.3,50.4,16.3,50.5,54.9,92.07,55.3,6154.0
Indiana Pacers,66.0,42.0,24.0,3198.0,105.5,102.1,3.3,52.2,1.33,14.7,33.3,68.9,51.1,15.1,47.4,52.6,91.68,52.1,6115.0
Los Angeles Lakers,66.0,41.0,25.0,3213.0,104.5,103.2,1.3,61.1,1.49,17.3,32.7,71.9,53.2,16.2,49.1,53.4,91.72,52.4,6145.0
Memphis Grizzlies,66.0,41.0,25.0,3188.0,102.8,100.6,2.2,53.2,1.35,15.4,33.5,68.8,50.8,15.7,47.3,51.5,91.82,51.4,6099.0
Atlanta Hawks,66.0,40.0,26.0,3233.0,104.2,100.4,3.8,61.0,1.61,17.6,27.9,70.3,49.3,15.1,50.0,53.5,90.88,52.6,6117.0
Los Angeles Clippers,66.0,40.0,26.0,3193.0,107.5,104.8,2.7,56.8,1.58,16.6,33.1,69.2,50.7,14.7,50.2,53.3,89.98,51.7,5989.0
Boston Celtics,66.0,39.0,27.0,3188.0,100.1,97.5,2.6,66.5,1.59,18.8,24.5,68.6,47.8,16.2,49.6,53.5,91.11,53.5,6055.0
Denver Nuggets,66.0,38.0,28.0,3208.0,108.3,105.1,3.2,61.5,1.56,17.9,31.6,70.5,51.5,16.0,51.6,55.6,95.03,52.7,6346.0
Orlando Magic,66.0,37.0,29.0,3193.0,104.0,103.4,0.6,58.1,1.34,16.1,30.6,72.0,51.0,16.5,50.6,53.3,89.75,49.3,5978.0
Dallas Mavericks,66.0,36.0,30.0,3213.0,102.1,100.9,1.1,57.5,1.49,16.5,26.8,71.4,49.3,14.9,48.9,52.7,92.61,51.0,6195.0
New York Knicks,66.0,36.0,30.0,3188.0,103.5,100.2,3.2,56.2,1.26,15.6,30.9,70.2,50.3,16.9,49.2,53.3,93.91,52.0,6242.0
Utah Jazz,66.0,36.0,30.0,3233.0,105.5,104.9,0.5,57.0,1.54,16.6,34.0,70.3,51.9,15.0,48.1,52.5,92.53,50.9,6236.0
Philadelphia 76ers,66.0,35.0,31.0,3183.0,102.7,98.2,4.6,58.8,1.97,17.5,27.7,71.2,49.5,12.3,48.0,51.1,90.68,53.2,6016.0
Houston Rockets,66.0,34.0,32.0,3213.0,104.2,104.0,0.2,56.4,1.47,16.4,30.9,69.2,49.9,15.4,49.2,52.9,92.82,49.7,6215.0
Phoenix Suns,66.0,33.0,33.0,3168.0,105.2,105.2,-0.1,59.6,1.6,17.4,29.4,68.7,49.3,15.0,49.9,53.6,93.61,50.2,6173.0
Milwaukee Bucks,66.0,31.0,35.0,3173.0,104.5,104.1,0.4,62.0,1.67,17.6,31.4,67.5,49.0,14.8,48.1,52.1,94.68,50.3,6256.0
Portland Trail Blazers,66.0,28.0,38.0,3193.0,104.4,105.3,-0.9,56.2,1.44,16.1,30.3,69.1,49.3,15.2,48.8,53.1,92.24,49.4,6143.0
Minnesota Timberwolves,66.0,26.0,40.0,3188.0,103.1,105.3,-2.2,54.8,1.29,15.1,31.1,69.3,50.2,16.0,47.7,52.4,94.44,48.3,6268.0
Detroit Pistons,66.0,25.0,41.0,3193.0,100.0,105.0,-5.0,53.8,1.19,15.1,32.2,68.9,50.0,17.2,46.8,51.0,90.31,44.8,6000.0
Golden State Warriors,66.0,23.0,43.0,3183.0,103.9,107.3,-3.4,59.1,1.61,17.4,25.6,65.8,46.0,14.7,50.5,53.9,93.78,47.2,6212.0
Toronto Raptors,66.0,23.0,43.0,3193.0,99.6,103.6,-3.9,60.9,1.38,16.8,29.4,70.8,50.3,16.7,47.5,51.8,90.19,47.8,6008.0
New Jersey Nets,66.0,22.0,44.0,3178.0,101.8,108.1,-6.3,58.0,1.32,15.8,31.4,67.7,48.9,16.5,47.3,51.6,91.26,44.8,6036.0
Sacramento Kings,66.0,22.0,44.0,3183.0,102.9,108.7,-5.8,51.0,1.34,14.7,32.1,67.0,48.7,15.0,47.2,51.0,95.56,45.1,6333.0
Cleveland Cavaliers,66.0,21.0,45.0,3193.0,100.0,107.6,-7.6,57.9,1.29,15.4,32.3,68.3,49.6,16.6,46.3,50.5,92.34,43.9,6140.0
New Orleans Hornets,66.0,21.0,45.0,3188.0,99.9,103.9,-4.0,59.5,1.34,16.8,31.0,69.6,50.6,17.3,47.6,51.7,89.27,48.2,5924.0
Washington Wizards,66.0,20.0,46.0,3173.0,100.0,104.9,-5.0,52.3,1.25,15.1,30.8,67.8,48.9,16.3,47.2,50.8,93.59,46.0,6182.0
Charlotte Bobcats,66.0,7.0,59.0,3178.0,94.4,109.4,-15.0,60.5,1.39,16.0,28.5,67.8,47.4,15.7,43.9,48.3,91.86,41.1,6080.0
