TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
San Antonio Spurs,82.0,58.0,24.0,48.4,96.6,33.1,70.3,6.9,7.0,14.8,12.0,12.3,34.0
Los Angeles Lakers,82.0,56.0,26.0,48.5,103.6,31.5,69.1,6.9,6.0,16.0,13.5,12.8,37.9
Philadelphia 76ers,82.0,56.0,26.0,48.4,97.3,31.7,70.4,8.4,5.0,16.2,12.6,13.5,36.6
Sacramento Kings,82.0,55.0,27.0,49.0,98.5,33.0,67.9,9.7,5.3,16.1,13.5,13.9,39.4
Dallas Mavericks,82.0,53.0,29.0,48.3,101.2,31.4,67.8,7.5,6.0,15.4,14.2,13.3,40.9
Utah Jazz,82.0,53.0,29.0,48.2,100.9,29.1,70.1,8.1,5.6,15.9,12.5,10.8,32.1
Milwaukee Bucks,82.0,52.0,30.0,48.2,102.6,30.5,68.3,8.2,4.7,14.9,14.5,12.2,36.9
Phoenix Suns,82.0,51.0,31.0,48.3,96.7,30.8,70.2,9.5,5.2,16.1,12.6,13.1,36.3
Miami Heat,82.0,50.0,32.0,48.5,97.1,29.7,70.0,7.7,3.7,14.4,12.2,10.0,35.8
Portland Trail Blazers,82.0,50.0,32.0,48.2,100.5,30.3,70.0,8.2,5.1,15.7,12.6,11.2,36.4
New York Knicks,82.0,48.0,34.0,48.5,97.0,30.8,70.7,6.6,4.2,15.4,10.7,7.3,30.2
Minnesota Timberwolves,82.0,47.0,35.0,48.4,102.4,30.1,68.2,8.3,5.6,15.5,13.3,12.6,41.0
Toronto Raptors,82.0,47.0,35.0,48.7,102.0,30.8,70.0,7.3,6.3,14.3,13.6,17.0,39.6
Charlotte Hornets,82.0,46.0,36.0,48.5,97.6,31.8,71.0,8.1,5.5,15.6,12.9,10.5,35.4
Houston Rockets,82.0,45.0,37.0,48.4,102.8,30.8,69.1,7.2,4.4,16.1,14.1,11.7,38.2
Seattle SuperSonics,82.0,44.0,38.0,48.3,104.2,29.5,66.8,8.0,5.0,17.0,13.9,14.4,39.6
Orlando Magic,82.0,43.0,39.0,48.7,101.1,29.9,66.2,8.2,5.9,16.1,14.5,13.3,37.0
Indiana Pacers,82.0,41.0,41.0,48.7,100.5,31.6,68.5,6.9,5.9,15.5,13.3,12.8,34.2
Denver Nuggets,82.0,40.0,42.0,48.2,104.9,31.5,69.0,6.7,6.6,15.2,13.9,15.0,41.9
Boston Celtics,82.0,36.0,46.0,48.4,102.3,28.9,69.0,9.4,4.1,17.0,13.0,13.4,35.9
Detroit Pistons,82.0,32.0,50.0,48.4,100.3,32.0,69.1,7.5,5.5,16.4,13.4,13.6,35.4
Los Angeles Clippers,82.0,31.0,51.0,48.9,103.2,31.2,68.2,6.0,6.3,16.7,13.6,10.8,41.6
Cleveland Cavaliers,82.0,30.0,52.0,48.4,103.5,29.8,67.8,7.8,5.3,18.5,13.8,14.6,36.6
New Jersey Nets,82.0,26.0,56.0,48.1,103.8,28.5,67.3,7.9,5.0,16.2,14.1,13.8,37.2
Atlanta Hawks,82.0,25.0,57.0,48.1,102.4,30.4,69.1,7.7,4.7,18.6,13.0,13.1,36.8
Vancouver Grizzlies,82.0,23.0,59.0,48.2,104.2,29.6,67.5,7.1,4.4,18.0,14.6,14.4,42.4
Washington Wizards,82.0,19.0,63.0,48.0,106.2,28.9,68.4,7.7,4.7,19.8,13.3,14.5,42.0
Golden State Warriors,82.0,17.0,65.0,48.2,105.5,29.1,68.0,9.0,5.0,18.2,13.7,15.2,44.9
Chicago Bulls,82.0,15.0,67.0,48.4,105.9,27.6,67.3,8.2,4.6,17.9,13.5,11.6,40.0
