TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Miami Heat,40.0,32.0,8.0,176.0,118.3,89.4,28.9,62.4,2.2,17.6,37.0,71.7,55.3,11.1,54.7,60.3,94.43,75.6
Chicago Bulls,49.0,29.0,20.0,184.0,104.7,96.9,7.8,58.6,1.88,14.0,41.4,63.2,51.8,10.6,42.3,50.0,96.15,59.8
Denver Nuggets,47.0,29.0,18.0,211.0,112.8,100.9,11.8,45.5,1.55,13.0,36.2,67.6,51.9,11.2,50.3,55.7,98.94,56.8
San Antonio Spurs,43.0,28.0,15.0,180.0,101.1,97.4,3.7,59.2,1.83,15.3,27.6,66.7,47.3,11.1,46.8,52.5,96.49,56.6
Memphis Grizzlies,45.0,27.0,18.0,172.0,100.0,92.5,7.5,47.1,0.88,10.7,41.5,71.2,56.1,16.4,41.1,50.7,92.25,59.4
Brooklyn Nets,40.0,26.0,14.0,174.0,98.6,100.0,-1.4,42.3,0.79,9.3,32.2,62.2,47.8,14.9,41.9,52.7,94.96,50.0
Los Angeles Lakers,45.0,25.0,20.0,160.0,105.2,92.1,13.1,58.7,1.74,14.5,23.9,69.4,49.1,10.7,49.8,56.4,100.24,62.5
Milwaukee Bucks,44.0,25.0,19.0,177.0,102.1,102.2,-0.1,50.4,1.36,13.3,36.3,61.4,48.7,13.2,46.9,51.6,100.05,53.5
Golden State Warriors,40.0,24.0,16.0,163.0,103.8,96.7,7.0,58.8,1.5,13.4,27.4,69.6,49.4,11.6,44.2,54.9,100.15,58.8
Dallas Mavericks,47.0,23.0,24.0,209.0,101.4,103.0,-1.6,53.6,1.21,13.6,28.2,69.5,49.9,14.5,47.6,54.9,98.07,50.0
Houston Rockets,44.0,23.0,21.0,152.0,105.2,102.9,2.3,44.8,0.98,10.8,30.3,61.7,47.2,14.3,46.5,55.0,96.87,49.9
Indiana Pacers,43.0,23.0,20.0,167.0,100.3,90.3,10.0,52.9,1.1,12.1,40.4,68.4,54.8,14.9,42.8,50.5,95.73,60.6
Utah Jazz,43.0,23.0,20.0,175.0,107.3,103.8,3.5,55.5,1.61,14.5,33.1,68.6,50.9,12.0,47.6,55.1,93.9,53.8
Atlanta Hawks,40.0,22.0,18.0,159.0,101.8,90.3,11.6,64.5,1.19,15.5,33.3,66.5,51.3,17.8,48.6,54.5,100.06,60.1
New York Knicks,39.0,22.0,17.0,138.0,100.4,90.0,10.4,41.7,1.0,9.9,35.8,71.2,53.0,13.2,43.0,50.5,93.36,56.6
Portland Trail Blazers,46.0,22.0,24.0,179.0,110.7,108.0,2.7,56.7,1.53,14.4,38.3,65.1,50.8,12.9,49.8,55.6,97.23,46.2
Oklahoma City Thunder,37.0,21.0,16.0,145.0,109.1,100.0,9.1,41.1,0.9,9.6,31.0,71.1,52.2,13.4,44.7,57.6,98.89,58.4
Boston Celtics,40.0,20.0,20.0,221.0,94.4,96.8,-2.3,66.7,1.8,15.7,28.0,65.8,46.7,11.6,41.6,48.5,93.95,49.1
Cleveland Cavaliers,49.0,20.0,29.0,191.0,104.2,111.0,-6.8,38.7,1.0,10.7,32.3,68.7,50.9,13.6,48.1,55.2,103.18,41.5
Philadelphia 76ers,42.0,19.0,23.0,129.0,98.1,101.6,-3.5,53.5,1.61,15.4,27.5,65.0,47.1,12.8,47.5,51.0,96.13,47.1
Toronto Raptors,48.0,19.0,29.0,211.0,89.5,115.3,-25.8,55.0,1.47,12.1,27.9,64.4,44.6,10.8,36.7,44.7,95.87,30.6
Phoenix Suns,45.0,18.0,27.0,156.0,96.1,101.9,-5.8,47.2,1.09,12.0,37.0,69.0,52.7,14.8,43.6,49.6,96.39,46.6
Los Angeles Clippers,32.0,17.0,15.0,128.0,117.2,116.5,0.7,50.0,1.21,13.3,35.4,73.0,54.0,14.5,52.3,60.8,98.42,50.8
Sacramento Kings,38.0,17.0,21.0,147.0,100.7,104.8,-4.1,59.6,1.33,13.8,24.8,62.9,44.0,13.5,46.2,53.7,99.82,42.8
Charlotte Bobcats,40.0,16.0,24.0,160.0,100.3,102.2,-1.9,51.5,1.16,12.0,35.0,66.9,49.7,13.9,42.1,50.6,95.58,46.1
Minnesota Timberwolves,41.0,16.0,25.0,136.0,98.2,103.8,-5.6,61.2,1.58,13.6,35.0,67.4,49.5,11.9,39.2,47.5,99.48,44.7
Washington Wizards,53.0,16.0,37.0,204.0,83.8,102.1,-18.3,60.0,0.9,12.0,32.3,69.1,50.2,17.7,36.8,43.4,96.09,32.6
New Orleans Hornets,43.0,15.0,28.0,156.0,96.3,119.2,-22.9,56.4,1.39,14.1,32.0,66.9,48.3,13.7,43.4,48.5,95.85,29.9
Detroit Pistons,38.0,13.0,25.0,149.0,100.3,106.2,-5.9,56.3,1.17,13.5,37.8,67.1,51.9,15.9,45.2,50.5,95.86,40.7
Orlando Magic,43.0,12.0,31.0,162.0,94.2,111.8,-17.7,63.7,1.41,14.8,27.2,64.1,45.7,14.1,41.7,48.6,99.65,34.6
