TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
Sacramento Kings,82.0,61.0,21.0,48.2,99.7,33.0,69.0,9.0,4.6,14.4,14.5,12.8,41.5
Los Angeles Lakers,82.0,58.0,24.0,48.2,100.4,31.8,68.6,7.6,5.8,13.7,14.6,10.7,37.0
San Antonio Spurs,82.0,58.0,24.0,48.4,98.5,31.3,68.5,7.6,6.5,15.1,13.9,12.5,37.3
Dallas Mavericks,82.0,57.0,25.0,48.5,106.0,31.3,68.3,7.1,4.8,14.2,15.1,13.6,43.5
New Jersey Nets,82.0,52.0,30.0,48.4,98.1,30.7,68.3,8.7,6.0,14.6,13.0,10.8,35.3
Detroit Pistons,82.0,50.0,32.0,48.0,100.9,28.9,67.6,7.9,6.9,16.0,13.2,11.2,36.0
Minnesota Timberwolves,82.0,50.0,32.0,48.3,104.1,31.2,70.3,6.4,5.2,15.4,13.8,11.7,38.0
Boston Celtics,82.0,49.0,33.0,48.4,99.9,31.3,69.5,9.7,3.6,14.9,13.6,12.6,30.9
Portland Trail Blazers,82.0,49.0,33.0,48.4,102.6,29.8,70.3,8.6,4.5,15.3,12.6,12.6,36.8
Seattle SuperSonics,82.0,45.0,37.0,48.4,104.1,28.5,65.6,8.5,4.4,15.3,14.7,13.1,38.5
Charlotte Hornets,82.0,44.0,38.0,48.2,101.8,30.5,68.9,8.0,5.6,14.7,14.3,12.3,36.4
Orlando Magic,82.0,44.0,38.0,48.4,104.1,29.7,66.5,8.1,4.7,14.6,14.9,14.7,42.0
Utah Jazz,82.0,44.0,38.0,48.4,102.9,28.6,68.3,9.1,6.4,17.2,12.8,11.9,35.0
Philadelphia 76ers,82.0,43.0,39.0,48.1,98.7,30.9,70.2,8.6,4.4,15.4,11.9,13.4,33.3
Indiana Pacers,82.0,42.0,40.0,48.5,102.4,31.3,68.6,8.0,5.3,15.5,14.7,13.8,39.1
Toronto Raptors,82.0,42.0,40.0,48.2,101.7,28.5,67.1,8.4,5.6,15.3,13.5,16.2,35.4
Milwaukee Bucks,82.0,41.0,41.0,48.5,105.6,31.2,67.9,7.3,4.7,15.9,13.9,12.0,37.0
Los Angeles Clippers,82.0,39.0,43.0,48.3,104.7,30.2,67.3,6.2,6.6,15.8,15.3,10.0,42.0
Washington Wizards,82.0,37.0,45.0,48.1,104.5,29.2,68.5,7.0,4.3,15.1,13.3,12.6,36.0
Miami Heat,82.0,36.0,46.0,48.6,99.0,31.0,71.0,6.7,5.5,16.3,12.0,11.4,33.4
Phoenix Suns,82.0,36.0,46.0,48.4,102.6,29.6,67.2,8.1,4.9,16.1,14.5,11.7,38.2
Atlanta Hawks,82.0,33.0,49.0,48.2,104.8,29.8,68.9,8.1,4.3,17.8,13.8,16.7,40.7
New York Knicks,82.0,30.0,52.0,48.3,104.6,30.0,68.4,6.8,3.5,17.0,13.5,11.1,38.0
Cleveland Cavaliers,82.0,29.0,53.0,48.4,107.0,30.3,69.0,7.0,5.7,16.6,13.4,13.0,39.7
Houston Rockets,82.0,28.0,54.0,48.7,106.9,29.4,67.5,6.5,5.4,16.1,14.4,12.7,41.5
Denver Nuggets,82.0,27.0,55.0,48.3,106.6,28.2,66.8,7.5,5.6,16.9,14.6,15.3,41.1
Memphis Grizzlies,82.0,23.0,59.0,48.2,104.7,29.4,66.3,7.9,6.0,17.9,14.1,14.3,43.6
Chicago Bulls,82.0,21.0,61.0,48.3,106.2,28.8,68.5,7.7,4.4,16.3,13.3,11.5,37.6
Golden State Warriors,82.0,21.0,61.0,48.2,107.1,30.4,66.9,7.9,6.4,18.6,14.6,14.3,46.0
