TEAM,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%
Boston Celtics,82.0,82.0,100.0,38.3,88.1,43.4,46.0,-2.6
Golden State Warriors,82.0,82.0,100.0,37.9,86.6,43.8,46.1,-2.3
Phoenix Suns,82.0,82.0,100.0,39.2,88.3,44.4,45.9,-1.5
New York Knicks,82.0,82.0,100.0,38.5,86.0,44.7,46.1,-1.4
Miami Heat,82.0,82.0,100.0,37.5,84.0,44.7,46.0,-1.3
LA Clippers,82.0,82.0,100.0,40.8,90.6,45.0,46.1,-1.1
Cleveland Cavaliers,82.0,82.0,100.0,39.5,87.2,45.2,46.0,-0.8
Brooklyn Nets,82.0,82.0,100.0,40.7,90.2,45.2,45.9,-0.7
Utah Jazz,82.0,82.0,100.0,40.4,89.3,45.3,46.0,-0.7
Memphis Grizzlies,82.0,82.0,100.0,40.3,88.6,45.5,46.1,-0.6
Oklahoma City Thunder,82.0,82.0,100.0,41.4,90.5,45.8,46.2,-0.4
Milwaukee Bucks,82.0,82.0,100.0,41.4,90.6,45.6,46.0,-0.4
Dallas Mavericks,82.0,82.0,100.0,39.0,85.4,45.7,46.0,-0.4
Orlando Magic,82.0,82.0,100.0,40.8,88.9,45.9,46.1,-0.3
Philadelphia 76ers,82.0,82.0,100.0,39.7,86.5,45.8,45.9,-0.1
Minnesota Timberwolves,82.0,82.0,100.0,40.2,87.3,46.0,46.1,0.0
Toronto Raptors,82.0,82.0,100.0,39.0,84.4,46.2,46.2,0.1
San Antonio Spurs,82.0,82.0,100.0,42.5,91.2,46.6,46.1,0.5
Charlotte Hornets,81.0,81.0,100.0,41.9,90.1,46.5,46.0,0.5
Washington Wizards,82.0,82.0,100.0,41.3,88.8,46.4,45.9,0.5
New Orleans Pelicans,82.0,82.0,100.0,40.3,85.5,47.1,46.1,1.0
Los Angeles Lakers,82.0,82.0,100.0,42.6,90.5,47.0,46.0,1.0
Denver Nuggets,82.0,82.0,100.0,41.1,87.4,47.0,45.9,1.0
Detroit Pistons,82.0,82.0,100.0,40.6,86.0,47.3,46.2,1.1
Atlanta Hawks,82.0,82.0,100.0,41.9,89.0,47.1,46.0,1.1
Chicago Bulls,82.0,82.0,100.0,41.4,87.4,47.4,45.9,1.5
Portland Trail Blazers,82.0,82.0,100.0,41.1,85.9,47.9,46.2,1.7
Sacramento Kings,81.0,81.0,100.0,43.4,90.6,48.0,46.1,1.9
Houston Rockets,82.0,82.0,100.0,43.4,89.9,48.3,46.1,2.2
Indiana Pacers,82.0,82.0,100.0,42.5,87.9,48.3,46.0,2.3
