TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Sacramento Kings,31.0,23.0,8.0,74.2,3.7,8.7,2.5,5.8,42.8,0.3,0.9,32.1,3.4,4.7,72.1,0.8,2.7,3.5,1.4,0.7,0.6,0.4,0.4,1.9,0.0,2.0
Dallas Mavericks,39.0,25.0,14.0,64.1,4.3,10.4,3.3,7.2,45.0,1.0,2.4,40.9,2.9,3.4,85.1,1.1,3.1,4.2,1.4,1.0,0.3,0.4,0.3,2.5,0.0,1.4
Detroit Pistons,50.0,30.0,20.0,60.0,3.6,7.6,2.1,5.5,37.8,0.5,1.8,29.3,2.9,3.7,77.4,0.9,2.1,3.0,1.2,1.1,0.6,0.5,0.3,2.1,0.0,0.8
Portland Trail Blazers,45.0,27.0,18.0,60.0,3.7,8.9,2.6,6.2,42.4,0.9,2.2,39.0,2.8,3.8,73.4,1.3,2.0,3.2,1.4,0.8,0.5,0.5,0.4,2.2,0.0,1.1
Los Angeles Lakers,39.0,23.0,16.0,59.0,3.9,8.6,2.4,5.7,42.0,0.7,1.8,41.4,3.0,4.4,69.0,1.0,2.5,3.5,1.4,0.9,0.7,0.4,0.6,2.5,0.1,0.8
Boston Celtics,51.0,30.0,21.0,58.8,4.2,9.7,2.9,7.2,40.2,0.8,2.3,34.7,3.2,4.0,78.6,1.2,2.7,3.9,1.5,0.9,0.9,0.4,0.6,2.4,0.0,1.9
San Antonio Spurs,44.0,25.0,19.0,56.8,4.1,7.8,2.1,5.9,35.9,0.4,1.5,28.1,3.2,4.3,74.2,0.8,2.7,3.5,1.1,1.0,0.4,0.6,0.5,2.3,0.0,-0.5
Milwaukee Bucks,46.0,26.0,20.0,56.5,4.4,10.1,2.9,6.8,42.5,0.8,2.3,34.9,3.4,4.1,83.6,0.9,2.8,3.7,1.7,1.0,0.7,0.4,0.4,2.9,0.0,1.0
Toronto Raptors,48.0,27.0,21.0,56.3,4.2,7.7,2.4,6.6,36.8,0.3,1.4,24.2,2.5,3.4,72.0,1.2,2.7,3.9,1.4,1.0,0.6,0.5,0.3,2.4,0.0,0.2
New Jersey Nets,41.0,23.0,18.0,56.1,4.3,8.7,2.9,7.5,38.2,0.5,1.8,26.0,2.5,3.4,73.2,1.6,2.9,4.5,1.5,1.1,0.6,0.8,0.6,2.8,0.0,0.1
