TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Boston Celtics,51.0,30.0,21.0,241.0,100.0,97.3,2.7,55.3,1.46,13.2,28.2,69.3,49.2,11.8,43.6,52.6,96.97,53.3
Dallas Mavericks,43.0,30.0,13.0,132.0,113.9,98.6,15.3,39.4,1.68,10.0,29.7,69.2,50.8,7.4,46.1,57.8,104.98,65.5
Sacramento Kings,50.0,30.0,20.0,211.0,109.1,106.3,2.8,65.7,2.09,16.0,32.9,66.8,50.2,10.5,46.6,54.9,99.51,51.6
Chicago Bulls,47.0,29.0,18.0,197.0,98.8,91.3,7.5,56.7,0.96,12.5,32.8,71.1,53.4,17.0,45.0,53.4,99.98,59.6
Minnesota Timberwolves,55.0,29.0,26.0,175.0,112.4,102.1,10.3,61.9,2.52,16.1,32.1,66.3,49.6,8.7,49.3,57.7,95.27,59.8
Philadelphia 76ers,49.0,29.0,20.0,202.0,98.1,99.3,-1.1,50.4,1.19,11.3,32.8,70.5,51.0,12.5,40.2,50.2,100.86,50.3
Washington Wizards,51.0,29.0,22.0,201.0,112.7,111.5,1.2,42.6,1.35,10.6,32.1,63.7,47.1,10.1,46.7,56.7,100.88,52.1
Seattle SuperSonics,43.0,28.0,15.0,160.0,123.2,107.5,15.6,51.3,2.54,13.7,37.2,69.6,53.5,7.3,52.1,60.4,94.88,61.9
Phoenix Suns,39.0,27.0,12.0,130.0,112.2,102.9,9.3,60.4,1.71,15.7,28.7,70.7,51.1,12.2,51.4,58.8,101.43,59.0
Indiana Pacers,52.0,26.0,26.0,217.0,106.8,96.1,10.7,54.1,1.45,13.5,34.4,69.1,51.9,12.4,46.3,54.4,96.72,58.5
Memphis Grizzlies,48.0,26.0,22.0,158.0,104.8,95.9,8.9,54.3,1.39,13.7,31.7,66.9,49.4,13.0,49.2,54.8,95.92,54.7
Orlando Magic,49.0,26.0,23.0,172.0,98.3,106.5,-8.1,37.1,0.84,8.0,30.1,63.4,46.7,11.9,39.1,51.6,102.16,44.6
Detroit Pistons,40.0,25.0,15.0,188.0,103.3,93.1,10.2,52.6,1.39,12.3,35.5,68.2,51.1,12.1,41.7,50.2,93.06,57.2
Miami Heat,42.0,25.0,17.0,201.0,111.7,99.2,12.5,50.0,1.53,13.9,34.9,71.0,53.2,12.2,52.1,56.6,97.27,59.7
Houston Rockets,43.0,24.0,19.0,173.0,98.9,106.0,-7.2,58.4,1.27,14.0,28.6,64.7,46.8,14.7,45.5,51.8,97.56,43.4
Los Angeles Clippers,50.0,23.0,27.0,249.0,101.0,109.2,-8.2,68.6,1.6,16.0,34.9,73.7,53.8,13.7,44.5,52.8,93.66,48.0
Los Angeles Lakers,49.0,23.0,26.0,189.0,106.4,104.6,1.8,47.7,1.11,10.5,33.2,68.3,50.5,12.5,43.3,52.7,97.29,46.1
New Jersey Nets,39.0,23.0,16.0,163.0,102.0,97.5,4.5,63.5,1.61,14.1,33.0,62.0,47.9,11.7,44.8,53.1,98.03,60.9
Denver Nuggets,39.0,22.0,17.0,147.0,110.2,99.0,11.2,60.7,2.03,15.7,32.9,64.5,49.7,10.6,47.3,55.1,98.97,61.1
Golden State Warriors,49.0,22.0,27.0,193.0,102.0,95.9,6.0,54.2,1.67,14.0,31.6,71.5,51.3,11.3,45.7,50.9,99.74,55.4
Milwaukee Bucks,47.0,20.0,27.0,185.0,106.3,109.5,-3.2,51.7,1.24,12.0,35.2,65.9,51.4,12.9,42.3,53.8,102.29,45.7
Toronto Raptors,46.0,19.0,27.0,184.0,111.4,107.2,4.1,52.0,1.35,13.6,30.8,61.1,46.5,13.3,51.1,58.9,94.73,55.2
Cleveland Cavaliers,38.0,17.0,21.0,142.0,100.4,105.7,-5.3,58.2,1.43,13.9,37.0,68.3,52.4,13.4,43.9,51.0,94.78,47.3
New York Knicks,47.0,16.0,31.0,199.0,100.3,116.3,-16.0,49.6,1.58,12.3,28.9,64.2,44.9,10.2,42.4,49.5,98.51,34.2
Portland Trail Blazers,48.0,16.0,32.0,180.0,95.9,108.5,-12.6,62.1,1.07,13.4,38.8,65.3,51.3,17.5,41.3,48.7,94.6,32.6
San Antonio Spurs,32.0,16.0,16.0,146.0,110.8,115.0,-4.2,47.9,1.24,11.7,38.9,61.8,50.2,12.5,46.9,56.0,97.24,49.2
New Orleans Hornets,48.0,15.0,33.0,213.0,92.2,109.1,-16.8,61.7,1.29,12.6,34.5,60.7,46.4,13.3,37.4,45.5,95.0,30.1
Utah Jazz,41.0,14.0,27.0,160.0,104.0,115.8,-11.8,59.4,1.1,13.6,31.0,62.4,47.4,16.1,45.2,56.1,99.55,40.5
Charlotte Bobcats,47.0,12.0,35.0,203.0,95.4,111.7,-16.3,58.1,1.22,13.7,33.0,64.7,48.5,14.9,43.0,50.1,95.38,36.6
Atlanta Hawks,38.0,9.0,29.0,171.0,101.2,114.4,-13.2,45.7,0.87,11.1,33.8,71.0,52.5,16.5,45.6,53.9,97.28,35.8
