TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
Milwaukee Bucks,82.0,60.0,22.0,48.2,104.9,40.4,75.7,7.5,5.9,14.6,12.1,11.0,42.2
Toronto Raptors,82.0,58.0,24.0,48.5,106.8,35.6,72.6,8.3,5.3,15.9,12.9,13.5,47.5
Golden State Warriors,82.0,57.0,25.0,48.3,108.6,36.5,72.7,7.6,6.4,17.4,13.8,15.1,47.1
Denver Nuggets,82.0,54.0,28.0,48.1,108.1,34.5,74.4,7.7,4.4,15.0,12.1,12.2,48.9
Houston Rockets,82.0,53.0,29.0,48.4,110.1,31.9,70.0,8.5,4.9,16.3,13.7,13.8,51.8
Portland Trail Blazers,82.0,53.0,29.0,48.4,109.5,36.2,73.9,6.7,5.0,15.3,13.7,14.1,47.8
Philadelphia 76ers,82.0,51.0,31.0,48.3,109.0,36.9,74.1,7.4,5.3,17.3,12.3,14.7,51.2
Utah Jazz,82.0,50.0,32.0,48.2,105.3,36.4,75.9,8.1,5.9,16.9,11.2,11.4,47.7
Boston Celtics,82.0,49.0,33.0,48.2,107.0,34.7,72.8,8.6,5.3,14.8,13.5,13.2,45.9
Oklahoma City Thunder,82.0,49.0,33.0,48.4,106.5,35.5,73.8,9.3,5.2,16.0,12.5,12.3,48.4
Indiana Pacers,82.0,48.0,34.0,48.1,106.0,33.7,72.2,8.7,4.9,14.9,13.3,14.0,44.8
LA Clippers,82.0,48.0,34.0,48.4,110.4,35.8,72.2,6.8,4.7,17.7,13.8,14.8,51.1
San Antonio Spurs,82.0,48.0,34.0,48.3,110.6,35.5,74.4,6.1,4.7,15.0,12.6,14.1,46.6
Brooklyn Nets,82.0,42.0,40.0,48.7,109.0,35.6,72.0,6.6,4.1,17.3,14.4,11.8,51.2
Orlando Magic,82.0,42.0,40.0,48.2,107.6,35.4,75.4,6.6,5.4,14.7,10.9,12.7,47.2
Detroit Pistons,82.0,41.0,41.0,48.4,108.7,33.6,74.5,6.9,4.0,16.0,11.3,11.9,49.9
Charlotte Hornets,82.0,39.0,43.0,48.4,112.0,33.9,73.1,7.2,4.9,13.7,13.4,13.3,49.0
Miami Heat,82.0,39.0,43.0,48.1,107.1,35.1,73.1,7.6,5.5,17.1,13.7,12.5,42.3
Sacramento Kings,82.0,39.0,43.0,48.1,110.8,34.4,71.3,8.3,4.4,16.4,14.4,14.2,51.2
Los Angeles Lakers,82.0,37.0,45.0,48.2,108.9,36.4,72.5,7.5,5.4,18.5,14.0,15.9,50.3
Minnesota Timberwolves,82.0,36.0,46.0,48.4,112.2,33.5,70.9,8.3,5.0,15.1,14.8,13.6,48.9
Dallas Mavericks,82.0,33.0,49.0,48.2,110.1,35.2,73.4,6.5,4.3,15.6,13.0,16.7,47.7
Memphis Grizzlies,82.0,33.0,49.0,48.5,108.0,33.0,72.4,8.3,5.5,16.6,11.6,16.3,42.7
New Orleans Pelicans,82.0,33.0,49.0,48.2,112.0,36.2,72.9,7.4,5.4,18.0,13.7,15.7,51.6
Washington Wizards,82.0,32.0,50.0,48.6,112.9,32.7,70.6,8.3,4.6,17.0,14.1,14.0,52.1
Atlanta Hawks,82.0,29.0,53.0,48.4,113.1,34.5,71.8,8.2,5.1,21.1,14.6,16.5,49.3
Chicago Bulls,82.0,22.0,60.0,48.5,112.8,34.1,72.7,7.4,4.3,16.6,13.4,13.0,49.1
Cleveland Cavaliers,82.0,19.0,63.0,48.2,116.8,31.9,73.2,6.5,2.4,16.8,12.7,14.0,50.0
Phoenix Suns,82.0,19.0,63.0,48.5,114.2,31.3,68.3,9.0,5.1,19.5,15.5,15.8,53.0
New York Knicks,82.0,17.0,65.0,48.2,112.9,34.3,71.7,6.8,5.1,16.4,14.1,11.7,50.6
