TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Indiana Pacers,44.0,31.0,13.0,181.0,105.8,88.0,17.8,60.5,1.68,14.1,26.7,66.5,46.3,10.9,47.2,55.7,94.09,66.9
Los Angeles Lakers,41.0,31.0,10.0,183.0,110.6,88.6,22.0,55.4,1.97,13.3,31.4,66.3,48.8,9.0,45.7,54.1,97.97,68.2
Portland Trail Blazers,50.0,28.0,22.0,230.0,100.7,103.3,-2.6,55.0,1.19,13.9,39.1,69.1,54.0,16.1,45.1,51.7,89.25,50.5
Memphis Grizzlies,48.0,27.0,21.0,186.0,110.1,96.6,13.4,48.8,1.79,12.2,33.9,65.3,50.0,9.0,47.0,55.5,98.38,61.2
Minnesota Timberwolves,42.0,27.0,15.0,171.0,110.5,100.3,10.2,53.8,2.29,13.1,35.1,69.1,51.5,7.7,45.4,54.3,97.17,60.9
Sacramento Kings,43.0,26.0,17.0,179.0,106.0,98.9,7.1,60.0,2.06,13.7,25.3,63.8,44.9,8.7,42.7,53.3,98.39,56.0
Detroit Pistons,45.0,25.0,20.0,189.0,104.2,96.2,8.0,46.7,1.1,11.0,40.2,71.4,55.0,13.6,42.0,51.4,95.21,54.5
New Orleans Hornets,48.0,25.0,23.0,203.0,94.9,94.1,0.8,59.5,1.07,13.5,34.6,68.1,51.1,17.0,44.0,49.9,92.49,48.4
Milwaukee Bucks,53.0,24.0,29.0,195.0,95.5,99.1,-3.5,57.0,1.17,12.4,28.8,74.5,50.7,13.8,39.8,50.3,104.98,46.5
New York Knicks,41.0,24.0,17.0,196.0,104.7,95.6,9.1,49.6,1.13,12.1,31.4,66.2,50.4,13.9,45.4,55.6,96.63,61.8
Utah Jazz,41.0,24.0,17.0,151.0,106.7,99.3,7.4,44.7,0.98,10.1,43.4,66.7,54.6,13.8,43.2,53.9,96.37,61.5
Boston Celtics,48.0,23.0,25.0,168.0,100.0,102.5,-2.5,64.8,1.17,14.0,31.7,62.0,47.1,15.9,45.2,53.9,103.66,50.7
Cleveland Cavaliers,48.0,23.0,25.0,189.0,97.0,101.1,-4.1,52.7,1.07,12.0,34.5,66.8,51.2,14.8,40.3,49.3,94.02,48.1
Miami Heat,42.0,23.0,19.0,165.0,100.0,90.6,9.4,56.1,1.34,12.7,31.8,67.8,49.9,12.5,43.0,51.6,95.45,55.6
Toronto Raptors,48.0,23.0,25.0,236.0,94.6,99.4,-4.8,49.3,1.17,12.0,33.2,62.9,47.6,13.6,40.8,47.6,92.59,44.1
Dallas Mavericks,40.0,22.0,18.0,148.0,98.4,112.1,-13.7,59.8,1.42,14.0,36.5,68.6,51.3,13.8,41.3,48.5,100.41,39.9
San Antonio Spurs,39.0,21.0,18.0,143.0,98.6,100.0,-1.4,50.6,1.13,11.6,27.6,67.1,47.3,13.2,43.4,50.7,96.11,48.1
Houston Rockets,44.0,20.0,24.0,207.0,106.9,107.3,-0.3,57.0,1.05,14.6,36.3,61.6,50.7,18.4,51.4,59.4,98.08,52.8
Phoenix Suns,48.0,20.0,28.0,175.0,96.6,109.2,-12.5,48.5,1.07,10.3,33.3,59.8,46.1,12.7,39.7,48.9,99.82,36.4
Denver Nuggets,40.0,19.0,21.0,144.0,101.9,91.2,10.7,60.2,1.37,12.8,41.1,70.1,54.7,13.1,39.1,49.1,103.11,60.1
Philadelphia 76ers,43.0,19.0,24.0,168.0,87.0,90.9,-3.9,55.7,0.84,11.4,27.2,66.3,48.5,17.1,39.5,49.3,98.78,45.9
Seattle SuperSonics,42.0,19.0,23.0,162.0,114.1,113.3,0.8,60.7,1.9,16.1,32.5,64.3,48.9,11.4,53.0,59.5,99.56,53.1
Golden State Warriors,44.0,18.0,26.0,185.0,95.9,109.4,-13.6,48.6,1.42,11.0,34.3,69.5,49.4,10.5,39.3,45.1,94.98,34.4
Atlanta Hawks,47.0,17.0,30.0,212.0,94.6,107.9,-13.4,54.5,0.92,12.8,31.8,67.7,50.1,18.4,43.7,50.7,97.97,36.2
Los Angeles Clippers,42.0,16.0,26.0,154.0,98.7,107.2,-8.5,55.6,1.12,13.0,39.4,67.9,53.5,15.9,42.1,50.1,99.64,41.9
Chicago Bulls,43.0,15.0,28.0,184.0,87.1,100.8,-13.7,65.7,1.12,13.9,26.5,69.0,48.4,16.2,39.7,47.1,94.56,38.7
New Jersey Nets,33.0,15.0,18.0,130.0,96.1,94.0,2.1,64.6,1.21,14.0,29.1,68.8,49.6,15.1,42.8,52.7,103.63,55.5
Orlando Magic,42.0,15.0,27.0,158.0,96.9,100.9,-4.0,55.3,1.24,12.2,33.9,71.0,52.7,12.9,42.0,51.0,99.81,46.4
Washington Wizards,39.0,14.0,25.0,157.0,96.9,111.7,-14.9,43.8,0.79,10.1,32.0,60.2,46.2,16.5,42.7,51.1,99.79,33.6
