TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Dallas Mavericks,44.0,32.0,12.0,183.0,108.5,100.6,7.9,42.5,1.65,10.4,35.1,67.9,51.4,8.2,44.3,53.7,94.2,63.0
Cleveland Cavaliers,52.0,30.0,22.0,190.0,116.4,108.9,7.5,51.5,1.79,13.5,30.6,69.6,51.4,9.8,52.5,60.2,100.01,56.3
Chicago Bulls,53.0,29.0,24.0,218.0,110.6,98.7,11.9,50.9,1.89,13.5,30.6,71.5,51.4,9.3,48.4,56.4,101.9,61.3
San Antonio Spurs,39.0,29.0,10.0,151.0,104.0,92.6,11.3,46.9,1.12,11.0,30.3,70.2,52.3,12.5,46.0,55.4,101.57,65.3
Detroit Pistons,39.0,28.0,11.0,162.0,115.1,103.7,11.4,52.1,2.14,13.9,40.3,66.2,51.8,9.1,48.0,53.9,91.0,59.8
Milwaukee Bucks,54.0,28.0,26.0,202.0,105.9,97.5,8.4,54.0,1.83,13.9,30.6,71.4,51.8,10.1,46.7,53.8,96.61,57.3
New Jersey Nets,45.0,28.0,17.0,142.0,113.2,104.0,9.2,60.9,2.33,13.2,40.4,69.9,54.2,7.9,41.8,53.6,101.35,60.2
New Orleans/Oklahoma City Hornets,47.0,26.0,21.0,159.0,114.8,105.2,9.6,47.5,1.74,11.7,36.3,62.7,50.0,9.1,43.0,54.4,91.54,58.9
Utah Jazz,41.0,25.0,16.0,166.0,108.0,106.6,1.4,67.3,1.42,14.6,39.9,65.6,53.9,14.3,46.1,56.1,96.5,54.7
Memphis Grizzlies,44.0,24.0,20.0,185.0,108.1,97.7,10.4,54.7,1.45,13.0,32.1,69.7,50.7,11.9,46.2,55.0,93.51,55.7
Philadelphia 76ers,46.0,24.0,22.0,191.0,91.8,98.5,-6.7,49.6,1.14,10.7,24.3,67.1,45.9,11.8,39.2,48.3,102.78,47.4
Los Angeles Clippers,40.0,23.0,17.0,148.0,117.6,96.3,21.3,59.5,2.44,17.0,26.4,65.7,49.4,9.3,53.5,60.9,95.22,65.3
Seattle SuperSonics,44.0,23.0,21.0,175.0,113.8,115.0,-1.2,51.5,1.17,14.3,39.8,56.5,48.2,16.9,52.8,59.2,97.22,48.6
Denver Nuggets,41.0,22.0,19.0,191.0,107.3,106.8,0.5,57.3,1.22,13.5,34.7,60.4,48.3,14.9,45.0,54.9,94.18,51.3
Miami Heat,42.0,22.0,20.0,149.0,116.7,109.5,7.2,50.9,1.8,13.7,37.4,69.6,53.0,10.4,49.8,56.7,95.7,52.6
Phoenix Suns,43.0,22.0,21.0,182.0,109.9,107.4,2.5,54.4,1.95,15.3,31.8,68.5,50.3,10.5,49.3,55.7,93.87,54.7
Washington Wizards,48.0,22.0,26.0,184.0,101.8,107.8,-6.0,37.5,0.94,8.9,30.6,64.9,46.7,12.1,42.8,52.4,102.18,45.3
Atlanta Hawks,52.0,21.0,31.0,233.0,101.5,113.8,-12.2,52.8,1.24,13.8,32.5,62.9,48.1,15.0,48.1,53.2,94.42,40.6
Golden State Warriors,51.0,21.0,30.0,188.0,100.8,115.5,-14.7,48.4,1.42,11.7,33.5,62.3,46.1,11.0,44.3,50.1,100.36,33.5
Minnesota Timberwolves,54.0,21.0,33.0,202.0,100.2,110.7,-10.5,51.8,1.4,13.4,32.1,64.5,47.8,12.7,44.3,51.1,98.14,43.5
Sacramento Kings,40.0,21.0,19.0,158.0,100.0,96.6,3.4,58.4,1.24,12.1,34.5,68.3,51.5,13.0,39.9,50.5,98.53,52.2
Boston Celtics,55.0,20.0,35.0,237.0,99.2,105.1,-5.9,45.1,0.98,10.5,29.8,71.1,49.7,13.6,42.0,51.6,101.26,43.0
Indiana Pacers,47.0,19.0,28.0,153.0,95.3,103.2,-7.9,47.8,0.9,10.5,34.9,68.9,50.6,15.3,41.0,49.5,99.16,44.0
Houston Rockets,45.0,18.0,27.0,183.0,99.2,101.9,-2.8,55.0,1.13,13.3,25.5,66.0,47.6,14.9,46.7,55.4,94.67,45.8
Los Angeles Lakers,41.0,18.0,23.0,179.0,110.7,111.9,-1.2,47.5,1.54,12.4,36.7,60.8,48.7,10.7,47.1,55.1,94.05,48.4
Orlando Magic,43.0,18.0,25.0,191.0,105.2,107.1,-1.9,46.2,1.28,12.0,37.8,67.7,52.4,13.0,45.1,51.5,92.93,41.2
Toronto Raptors,49.0,18.0,31.0,226.0,103.6,115.1,-11.5,51.0,1.28,12.5,32.9,63.2,47.0,12.9,45.5,52.7,96.28,38.4
Charlotte Bobcats,45.0,17.0,28.0,183.0,106.0,104.2,1.8,53.4,1.94,14.5,37.4,63.0,50.4,10.3,45.5,51.2,93.25,52.2
Portland Trail Blazers,39.0,17.0,22.0,159.0,92.7,107.6,-14.8,47.5,1.07,11.1,33.9,67.8,50.7,13.6,41.3,48.3,100.04,33.9
New York Knicks,41.0,16.0,25.0,179.0,103.6,113.0,-9.4,37.2,0.89,9.6,36.3,70.8,52.5,14.0,45.3,52.7,104.58,38.6
