TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
Detroit Pistons,82.0,64.0,18.0,48.4,101.7,28.6,68.0,7.1,6.0,13.5,12.6,11.4,40.1
San Antonio Spurs,82.0,63.0,19.0,48.3,98.7,31.1,70.8,6.6,5.7,13.1,11.8,11.0,39.1
Dallas Mavericks,82.0,60.0,22.0,48.5,103.2,29.6,69.0,7.2,6.0,14.0,12.8,12.3,35.9
Phoenix Suns,82.0,54.0,28.0,48.7,104.7,32.3,69.0,6.7,5.0,14.9,14.6,11.2,41.4
Miami Heat,82.0,52.0,30.0,48.2,103.4,32.6,72.6,6.4,5.4,16.4,11.9,12.4,35.3
Cleveland Cavaliers,82.0,50.0,32.0,48.4,104.4,30.6,71.7,6.9,4.8,15.6,11.9,10.8,37.2
Memphis Grizzlies,82.0,49.0,33.0,48.4,100.4,29.0,69.0,7.3,5.4,14.8,12.6,12.3,36.3
New Jersey Nets,82.0,49.0,33.0,48.2,100.9,31.0,73.0,6.8,3.4,14.7,10.7,11.3,34.4
Los Angeles Clippers,82.0,47.0,35.0,48.3,102.2,33.0,71.9,6.5,6.1,15.7,12.5,9.8,39.0
Los Angeles Lakers,82.0,45.0,37.0,48.4,104.2,30.3,70.1,7.7,4.3,14.0,13.2,10.1,39.1
Denver Nuggets,82.0,44.0,38.0,48.6,104.1,30.3,68.2,8.5,5.6,16.7,14.2,14.2,41.1
Sacramento Kings,82.0,44.0,38.0,48.4,103.5,30.2,69.4,7.4,3.6,16.5,12.8,12.1,39.9
Washington Wizards,82.0,42.0,40.0,48.4,105.8,28.6,67.9,8.0,4.1,15.9,13.1,12.5,40.4
Chicago Bulls,82.0,41.0,41.0,48.5,102.7,31.7,70.3,6.2,4.2,16.3,13.1,10.6,32.2
Indiana Pacers,82.0,41.0,41.0,48.1,101.0,31.2,69.9,7.3,5.0,16.2,13.1,11.1,37.9
Utah Jazz,82.0,41.0,41.0,48.5,105.1,29.0,70.2,6.4,6.0,17.6,12.5,12.6,34.6
Milwaukee Bucks,82.0,40.0,42.0,48.4,105.9,29.9,71.3,7.3,3.3,16.7,12.2,12.1,39.7
New Orleans/Oklahoma City Hornets,82.0,38.0,44.0,48.3,105.1,29.0,70.9,7.5,3.8,14.3,12.4,12.0,36.3
Philadelphia 76ers,82.0,38.0,44.0,48.5,106.5,29.6,67.6,7.9,4.9,15.9,14.0,13.4,41.4
Orlando Magic,82.0,36.0,46.0,48.5,106.6,29.3,69.1,6.5,4.4,17.1,13.1,12.3,36.8
Seattle SuperSonics,82.0,35.0,47.0,48.4,112.7,27.2,65.9,7.6,3.7,17.6,15.3,13.3,42.8
Golden State Warriors,82.0,34.0,48.0,48.4,104.9,30.3,68.6,7.4,4.3,16.1,13.7,13.3,40.8
Houston Rockets,82.0,34.0,48.0,48.4,102.1,31.3,70.5,7.2,3.9,15.2,11.6,10.2,30.0
Boston Celtics,82.0,33.0,49.0,48.5,105.6,29.7,69.4,7.0,5.1,18.9,13.2,10.9,39.7
Minnesota Timberwolves,82.0,33.0,49.0,48.4,103.5,29.5,67.3,6.8,5.7,15.5,14.5,10.2,39.6
Toronto Raptors,82.0,27.0,55.0,48.7,111.2,27.9,69.7,6.5,3.3,15.0,12.9,12.4,43.0
Atlanta Hawks,82.0,26.0,56.0,48.5,110.1,27.2,66.7,7.2,4.8,18.1,15.2,12.0,44.4
Charlotte Bobcats,82.0,26.0,56.0,48.5,105.6,27.7,67.8,10.0,4.3,15.5,13.6,11.4,43.4
New York Knicks,82.0,23.0,59.0,48.6,109.3,28.8,69.7,6.8,3.3,20.0,12.9,11.7,37.0
Portland Trail Blazers,82.0,21.0,61.0,48.1,110.3,26.9,65.7,6.5,5.3,17.3,14.0,12.4,38.9
