TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Chicago Bulls,82.0,82.0,100.0,39.4,83.7,47.1,51.9,72.8,31.5,60.9,51.7,27.2,7.9,22.8,34.8
Golden State Warriors,82.0,82.0,100.0,38.9,83.3,46.7,51.3,72.2,31.1,60.1,51.7,27.8,7.8,23.2,33.7
Sacramento Kings,81.0,81.0,100.0,40.6,83.3,48.7,54.8,66.6,30.4,55.5,54.8,33.4,10.2,27.8,36.6
Oklahoma City Thunder,82.0,82.0,100.0,38.4,81.8,47.0,52.0,71.3,30.3,58.3,51.9,28.7,8.1,23.5,34.7
Los Angeles Lakers,82.0,82.0,100.0,40.5,81.5,49.7,54.9,69.9,32.0,57.0,56.1,30.1,8.5,24.5,34.8
Dallas Mavericks,82.0,82.0,100.0,38.3,81.2,47.2,52.7,67.5,29.2,54.8,53.3,32.5,9.1,26.4,34.4
Brooklyn Nets,82.0,82.0,100.0,40.8,81.1,50.3,56.1,68.5,31.3,55.6,56.4,31.5,9.4,25.6,37.0
Boston Celtics,81.0,81.0,100.0,37.6,80.9,46.5,51.3,71.2,29.8,57.6,51.7,28.8,7.8,23.3,33.7
Detroit Pistons,82.0,82.0,100.0,38.8,80.5,48.2,52.7,74.6,31.5,60.1,52.5,25.4,7.3,20.4,35.6
Minnesota Timberwolves,82.0,82.0,100.0,39.9,80.2,49.7,55.4,68.4,30.8,54.9,56.2,31.6,9.1,25.3,35.7
Indiana Pacers,82.0,82.0,100.0,37.4,80.1,46.7,51.8,69.2,29.1,55.5,52.5,30.8,8.3,24.6,33.6
Atlanta Hawks,82.0,82.0,100.0,37.1,80.1,46.4,51.5,69.8,28.9,55.9,51.6,30.2,8.3,24.2,34.2
New York Knicks,82.0,82.0,100.0,38.0,80.1,47.4,52.2,72.1,30.3,57.8,52.5,27.9,7.6,22.3,34.2
Portland Trail Blazers,82.0,82.0,100.0,38.3,80.0,47.9,53.2,71.4,29.8,57.1,52.1,28.6,8.5,22.9,37.4
Phoenix Suns,82.0,82.0,100.0,39.1,80.0,48.9,54.8,69.1,29.7,55.2,53.8,30.9,9.4,24.7,38.0
Houston Rockets,82.0,82.0,100.0,39.0,79.8,48.9,55.0,66.5,29.3,53.1,55.2,33.5,9.7,26.7,36.3
Washington Wizards,82.0,82.0,100.0,38.7,79.8,48.4,54.1,69.7,29.7,55.6,53.3,30.3,9.0,24.2,37.2
New Orleans Pelicans,82.0,82.0,100.0,39.2,79.7,49.2,55.0,69.0,30.1,55.0,54.7,31.0,9.2,24.7,37.2
Charlotte Hornets,82.0,82.0,100.0,37.8,79.7,47.4,53.0,68.3,28.9,54.4,53.1,31.7,8.8,25.2,35.1
Philadelphia 76ers,82.0,82.0,100.0,39.7,79.4,50.0,54.9,72.9,31.9,57.9,55.1,27.1,7.8,21.5,36.1
Denver Nuggets,82.0,82.0,100.0,38.8,79.4,48.9,54.7,69.0,29.6,54.8,54.1,31.0,9.2,24.6,37.4
LA Clippers,82.0,82.0,100.0,36.8,79.1,46.5,51.5,70.8,28.9,56.0,51.6,29.2,7.9,23.1,34.0
Orlando Magic,81.0,81.0,100.0,38.4,78.4,49.0,54.7,68.6,29.5,53.8,54.9,31.4,8.9,24.6,36.3
Cleveland Cavaliers,82.0,82.0,100.0,36.8,78.2,47.0,52.1,71.0,28.9,55.6,52.0,29.0,7.9,22.7,34.8
Miami Heat,82.0,82.0,100.0,37.2,77.8,47.9,52.6,72.9,29.9,56.7,52.7,27.1,7.4,21.1,35.0
Milwaukee Bucks,82.0,82.0,100.0,37.8,77.3,48.8,54.9,66.0,28.4,51.0,55.7,34.0,9.3,26.3,35.5
Toronto Raptors,81.0,81.0,100.0,36.4,76.5,47.6,53.3,69.7,27.6,53.3,51.8,30.3,8.7,23.2,37.7
San Antonio Spurs,82.0,82.0,100.0,35.7,75.9,47.0,51.4,74.0,29.1,56.1,51.8,26.0,6.6,19.8,33.4
Utah Jazz,82.0,82.0,100.0,35.6,74.7,47.7,53.0,70.6,27.7,52.7,52.5,29.4,7.9,21.9,36.1
Memphis Grizzlies,82.0,82.0,100.0,35.9,74.5,48.2,54.8,64.4,26.2,47.9,54.7,35.6,9.7,26.5,36.6
