TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Chicago Bulls,44.0,31.0,13.0,70.5,4.1,9.5,3.0,6.8,44.4,0.5,1.3,34.5,3.0,3.9,77.5,1.3,3.0,4.3,1.5,1.1,0.7,0.4,0.6,2.2,2.8,1.6
San Antonio Spurs,38.0,26.0,12.0,68.4,3.8,8.2,2.5,5.8,42.5,0.6,1.7,33.8,2.6,3.2,82.6,0.8,2.9,3.7,1.2,1.1,0.5,0.4,0.4,1.7,2.2,1.0
Dallas Mavericks,50.0,34.0,16.0,68.0,3.1,7.9,2.3,4.8,48.1,0.5,1.3,40.0,2.8,3.3,84.2,0.8,2.5,3.3,1.3,1.0,0.3,0.3,0.2,1.7,2.3,2.3
Oklahoma City Thunder,51.0,34.0,17.0,66.7,4.8,11.0,3.3,7.9,41.3,0.5,1.6,31.0,3.9,4.9,80.3,1.3,3.7,5.0,1.4,0.9,0.6,0.8,0.3,2.7,3.3,1.6
New Orleans Hornets,47.0,29.0,18.0,61.7,4.4,9.2,2.9,7.1,41.3,0.4,1.7,24.4,2.9,3.8,76.7,1.3,3.0,4.3,1.4,0.9,0.8,0.6,0.5,2.6,2.7,1.1
Los Angeles Lakers,38.0,23.0,15.0,60.5,4.1,9.3,3.2,7.5,42.6,0.7,2.1,31.6,2.3,3.0,77.2,1.4,2.4,3.8,1.4,1.0,0.7,0.2,0.5,2.1,2.3,1.1
Portland Trail Blazers,47.0,28.0,19.0,59.6,3.9,8.5,2.6,6.4,40.6,0.5,1.7,29.6,2.8,3.6,78.4,1.2,2.4,3.7,1.4,0.8,0.9,0.3,0.4,1.8,2.5,1.3
Boston Celtics,48.0,28.0,20.0,58.3,3.9,8.1,2.5,6.2,41.2,0.5,1.7,31.3,2.5,3.2,76.6,0.9,2.6,3.5,1.7,1.0,0.8,0.4,0.3,2.0,2.3,0.4
Utah Jazz,42.0,24.0,18.0,57.1,4.6,10.3,3.4,7.3,47.2,0.5,1.5,34.4,2.9,3.7,79.9,1.1,2.9,4.0,2.0,1.2,0.7,0.5,0.3,3.0,2.8,0.1
Charlotte Bobcats,48.0,26.0,22.0,54.2,3.6,8.1,2.6,5.7,46.0,0.4,1.5,24.3,2.5,3.4,75.2,0.9,2.4,3.3,1.6,0.9,0.5,0.6,0.4,2.1,2.2,0.7
Atlanta Hawks,41.0,22.0,19.0,53.7,2.9,7.0,2.2,5.1,43.3,0.5,1.6,30.8,2.1,2.5,81.7,0.8,1.7,2.5,1.3,0.6,0.3,0.2,0.3,2.0,1.8,0.9
