TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Dallas Mavericks,82.0,67.0,15.0,48.2,34.0,76.1,44.7,4.6,13.1,34.9,20.2,27.0,74.6,10.2,27.9,38.1,17.9,14.5,6.9,3.8,5.0,22.1,22.4,92.8,-7.2
Phoenix Suns,82.0,61.0,21.0,48.5,39.5,86.4,45.7,6.1,16.9,36.3,17.8,23.2,76.7,12.3,30.5,42.8,18.9,15.1,6.9,3.7,4.8,21.5,20.2,102.9,-7.3
San Antonio Spurs,82.0,58.0,24.0,48.2,34.9,78.8,44.3,4.5,13.4,33.4,15.9,21.4,74.0,10.1,29.0,39.1,17.3,14.3,7.1,4.1,5.1,21.2,19.4,90.1,-8.4
Detroit Pistons,82.0,53.0,29.0,48.5,34.4,77.3,44.5,5.0,14.7,33.9,18.1,24.5,74.0,11.9,29.3,41.2,20.1,14.7,6.4,3.5,5.8,20.3,20.4,91.8,-4.2
Houston Rockets,82.0,52.0,30.0,48.4,34.1,79.3,42.9,5.8,16.4,35.1,18.3,24.4,74.9,9.8,31.1,40.8,19.4,14.2,7.0,4.3,4.1,19.9,20.9,92.1,-4.9
Utah Jazz,82.0,51.0,31.0,48.3,34.4,75.5,45.5,6.2,17.4,35.5,23.7,30.9,76.7,9.9,27.1,37.0,18.9,15.0,7.6,5.3,4.1,24.5,25.2,98.6,-2.9
Cleveland Cavaliers,82.0,50.0,32.0,48.5,34.6,77.3,44.8,4.9,15.0,32.9,18.8,25.6,73.4,9.8,30.0,39.9,20.1,15.3,6.6,4.3,4.3,22.0,21.7,92.9,-3.8
Chicago Bulls,82.0,49.0,33.0,48.2,34.1,78.2,43.5,5.9,16.9,34.9,19.7,27.1,73.0,10.9,30.0,40.9,20.4,17.4,7.5,5.3,5.4,23.2,23.3,93.8,-5.0
Toronto Raptors,82.0,47.0,35.0,48.2,37.2,80.4,46.3,6.5,18.2,35.7,17.6,23.3,75.4,10.3,32.2,42.5,21.2,15.1,6.0,3.9,3.9,21.8,20.4,98.5,-1.0
Denver Nuggets,82.0,45.0,37.0,48.2,39.7,86.4,46.0,6.8,19.1,35.3,17.5,23.7,73.9,12.3,30.0,42.3,24.5,16.4,8.3,5.2,5.3,23.7,21.4,103.7,-1.6
Miami Heat,82.0,44.0,38.0,48.4,35.3,79.5,44.4,6.5,18.2,35.5,18.5,24.9,74.2,11.2,30.1,41.3,20.2,14.5,6.9,3.8,5.4,21.8,21.3,95.5,0.9
Golden State Warriors,82.0,42.0,40.0,48.2,38.7,83.8,46.2,7.4,20.3,36.6,22.1,29.5,75.0,13.1,33.3,46.4,24.7,18.6,8.3,4.9,5.7,22.3,23.6,106.9,0.3
Los Angeles Lakers,82.0,42.0,40.0,48.9,37.8,81.9,46.1,6.4,17.8,35.8,21.5,28.3,76.0,11.6,30.6,42.2,21.9,14.7,7.9,5.0,5.1,23.4,23.0,103.4,0.1
New Jersey Nets,82.0,41.0,41.0,48.5,35.5,79.0,45.0,6.3,17.7,35.7,21.0,27.6,76.2,10.6,30.8,41.4,22.0,14.5,7.1,4.5,3.3,23.0,22.8,98.3,0.8
Washington Wizards,82.0,41.0,41.0,48.4,38.6,81.7,47.3,7.3,19.3,37.7,20.3,26.2,77.7,11.9,31.1,43.0,23.7,15.7,6.3,4.6,4.6,23.5,22.2,104.9,0.5
