TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Cleveland Cavaliers,45.0,30.0,15.0,154.0,116.6,101.3,15.3,41.6,1.68,11.7,33.3,76.4,54.5,9.2,52.0,58.1,101.1,60.1
New Orleans Pelicans,50.0,30.0,20.0,226.0,109.5,101.1,8.4,55.3,2.08,16.4,26.9,70.8,50.4,10.5,52.7,57.1,98.83,60.5
Boston Celtics,46.0,29.0,17.0,180.0,109.6,108.3,1.3,58.5,1.79,17.0,24.4,65.2,46.2,12.5,55.6,59.6,102.27,52.1
Miami Heat,53.0,29.0,24.0,229.0,110.8,101.3,9.6,54.3,1.36,15.2,31.6,66.2,51.1,15.0,54.3,59.8,96.89,58.1
Indiana Pacers,44.0,26.0,18.0,155.0,109.8,93.3,16.5,31.9,0.88,8.5,39.1,67.7,53.3,12.5,48.0,55.7,103.18,60.9
Milwaukee Bucks,47.0,26.0,21.0,179.0,103.3,101.0,2.3,49.2,1.3,13.1,25.3,68.4,48.9,12.8,50.0,57.6,103.55,56.0
Philadelphia 76ers,45.0,26.0,19.0,148.0,111.2,97.3,13.9,73.2,1.49,17.7,30.6,69.6,52.3,16.2,56.6,62.6,108.48,67.7
Houston Rockets,35.0,25.0,10.0,107.0,124.9,97.7,27.1,42.7,1.84,11.8,32.2,72.7,52.0,8.3,53.6,60.9,100.72,66.2
Portland Trail Blazers,45.0,25.0,20.0,177.0,102.9,100.5,2.4,38.4,1.04,10.1,26.7,67.7,47.3,12.2,47.3,53.8,101.82,51.5
Toronto Raptors,44.0,25.0,19.0,161.0,104.1,104.3,-0.2,41.5,1.02,10.5,29.5,71.0,49.4,13.0,47.3,55.5,106.7,52.2
Oklahoma City Thunder,46.0,24.0,22.0,188.0,105.1,107.3,-2.2,41.3,1.4,10.9,40.0,72.6,54.6,10.7,46.4,50.5,101.02,43.6
Denver Nuggets,43.0,22.0,21.0,181.0,101.6,101.6,0.0,57.6,1.05,13.6,35.8,74.2,55.7,17.2,47.8,56.7,99.84,53.4
Minnesota Timberwolves,42.0,22.0,20.0,178.0,108.1,116.3,-8.2,47.6,1.31,12.3,36.5,68.6,52.1,12.5,47.6,54.9,94.12,46.5
Sacramento Kings,42.0,22.0,20.0,153.0,107.2,101.5,5.6,47.1,1.81,13.0,32.8,70.3,50.4,9.7,48.4,53.5,100.89,53.1
Chicago Bulls,41.0,21.0,20.0,180.0,101.3,102.6,-1.3,54.3,1.33,13.9,25.3,71.6,49.6,13.6,46.5,53.1,102.55,47.3
LA Clippers,41.0,21.0,20.0,130.0,110.6,117.7,-7.1,44.0,1.43,11.2,30.1,65.9,46.8,10.2,48.2,56.0,104.08,42.4
Washington Wizards,45.0,21.0,24.0,186.0,97.8,105.2,-7.4,60.6,1.88,14.0,29.8,70.6,48.7,10.0,42.3,49.6,105.18,46.2
Los Angeles Lakers,42.0,20.0,22.0,184.0,101.6,106.4,-4.8,57.0,1.66,14.3,26.2,68.9,47.7,11.5,48.4,53.0,101.26,44.5
San Antonio Spurs,37.0,20.0,17.0,139.0,103.9,103.1,0.8,48.0,1.15,11.8,29.7,69.2,49.1,13.2,47.4,55.7,104.5,51.9
Brooklyn Nets,50.0,19.0,31.0,197.0,98.8,106.9,-8.1,50.0,1.0,11.6,36.9,69.9,52.4,15.6,44.2,50.8,104.21,41.0
Detroit Pistons,41.0,19.0,22.0,148.0,101.3,108.9,-7.5,46.6,1.17,12.1,35.4,66.7,50.6,13.8,45.1,51.2,97.65,40.9
Golden State Warriors,29.0,19.0,10.0,110.0,111.7,102.9,8.8,65.5,1.73,17.6,21.2,66.7,47.2,13.4,56.1,62.7,106.06,59.0
Atlanta Hawks,44.0,17.0,27.0,151.0,106.6,114.6,-8.0,55.9,1.72,14.1,29.0,66.5,46.9,10.8,46.9,54.1,107.57,41.8
Charlotte Hornets,41.0,16.0,25.0,153.0,99.1,98.2,0.9,45.5,1.39,10.7,28.3,79.9,51.3,9.9,41.8,49.3,105.83,48.7
Phoenix Suns,38.0,16.0,22.0,112.0,96.7,105.8,-9.0,55.7,0.95,12.0,35.2,65.4,51.0,16.7,43.6,52.1,108.02,43.5
Utah Jazz,29.0,16.0,13.0,108.0,107.8,99.6,8.2,53.0,1.42,13.8,28.2,66.4,47.7,12.8,49.0,56.6,106.39,55.8
Orlando Magic,41.0,14.0,27.0,127.0,102.7,107.8,-5.1,53.0,1.0,13.2,29.3,69.5,50.8,17.3,49.2,56.1,101.2,44.6
Dallas Mavericks,50.0,12.0,38.0,171.0,89.3,117.2,-27.9,43.9,0.87,10.7,23.4,65.8,42.8,15.3,43.6,48.7,102.96,26.3
Memphis Grizzlies,41.0,12.0,29.0,149.0,90.9,97.2,-6.3,53.8,1.27,10.8,29.9,71.9,48.9,11.1,36.9,45.8,98.9,42.0
New York Knicks,35.0,12.0,23.0,141.0,96.2,107.4,-11.1,54.2,1.63,13.3,30.8,65.6,48.3,10.9,43.1,48.9,100.93,42.3
