TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Milwaukee Bucks,72.0,72.0,100.0,39.0,93.8,41.6,49.0,58.0,25.0,54.4,45.9,42.0,14.0,39.3,35.5
Brooklyn Nets,72.0,72.0,100.0,41.4,92.7,44.6,51.2,62.5,29.2,57.9,50.4,37.5,12.2,34.8,35.0
New Orleans Pelicans,71.0,71.0,100.0,42.6,91.3,46.6,53.3,63.2,30.5,57.7,52.9,36.8,12.1,33.6,36.0
Houston Rockets,72.0,72.0,100.0,42.2,91.3,46.2,52.9,61.6,30.0,56.3,53.2,38.4,12.2,35.0,34.9
Dallas Mavericks,73.0,73.0,100.0,41.8,91.2,45.8,52.5,62.1,29.7,56.6,52.4,37.9,12.2,34.6,35.1
Portland Trail Blazers,73.0,73.0,100.0,41.6,91.1,45.7,53.1,61.4,28.2,55.9,50.4,38.6,13.5,35.2,38.2
Atlanta Hawks,67.0,67.0,100.0,43.3,90.5,47.8,54.4,63.8,31.4,57.8,54.3,36.2,11.9,32.7,36.4
Minnesota Timberwolves,64.0,64.0,100.0,43.1,90.3,47.7,54.1,64.7,31.5,58.4,54.0,35.3,11.6,31.9,36.2
Memphis Grizzlies,73.0,73.0,100.0,40.6,90.2,45.0,52.1,60.8,27.7,54.9,50.4,39.2,12.9,35.4,36.5
LA Clippers,72.0,72.0,100.0,39.4,89.9,43.9,50.7,60.4,27.1,54.4,49.9,39.6,12.3,35.6,34.5
San Antonio Spurs,70.0,70.0,100.0,42.2,89.8,47.0,54.3,61.0,29.0,54.8,53.0,39.0,13.2,35.0,37.6
Oklahoma City Thunder,72.0,72.0,100.0,40.8,89.5,45.5,51.8,62.9,29.4,56.3,52.3,37.1,11.3,33.3,34.0
Cleveland Cavaliers,65.0,65.0,100.0,43.8,89.1,49.1,56.0,63.0,31.4,56.1,55.9,37.0,12.4,33.0,37.5
Utah Jazz,72.0,72.0,100.0,40.6,88.9,45.7,51.8,65.1,29.6,57.9,51.2,34.9,11.0,31.0,35.3
Indiana Pacers,73.0,73.0,100.0,39.4,88.2,44.6,51.1,61.9,27.9,54.6,51.1,38.1,11.5,33.6,34.1
Toronto Raptors,71.0,71.0,100.0,37.7,88.1,42.8,50.2,55.8,24.5,49.2,49.9,44.2,13.2,38.9,33.8
Golden State Warriors,65.0,65.0,100.0,42.0,88.0,47.8,55.4,60.6,28.6,53.3,53.5,39.4,13.5,34.7,38.9
Washington Wizards,72.0,72.0,100.0,42.9,87.8,48.9,56.0,62.3,30.5,54.7,55.7,37.7,12.4,33.1,37.6
Charlotte Hornets,64.0,64.0,100.0,41.6,87.2,47.7,54.8,59.9,29.2,52.2,55.9,40.1,12.4,35.0,35.4
Detroit Pistons,65.0,65.0,100.0,41.8,87.0,48.0,54.1,66.3,31.2,57.7,54.1,33.7,10.6,29.3,36.1
Los Angeles Lakers,71.0,71.0,100.0,39.0,86.9,44.8,51.5,61.6,27.3,53.5,51.1,38.4,11.7,33.4,34.9
Boston Celtics,72.0,72.0,100.0,38.4,86.9,44.1,50.9,60.0,26.5,52.2,50.9,40.0,11.8,34.8,34.0
Orlando Magic,73.0,73.0,100.0,40.4,86.9,46.5,53.5,61.3,28.2,53.3,52.8,38.7,12.2,33.6,36.4
Phoenix Suns,72.0,72.0,100.0,41.0,86.7,47.3,54.0,63.1,29.4,54.7,53.6,36.9,11.7,32.0,36.4
Miami Heat,72.0,72.0,100.0,38.6,86.5,44.7,52.2,56.5,25.7,48.9,52.6,43.5,12.9,37.6,34.5
Denver Nuggets,73.0,73.0,100.0,40.0,86.3,46.3,53.3,60.8,27.8,52.4,53.1,39.2,12.1,33.9,35.8
New York Knicks,66.0,66.0,100.0,39.8,86.0,46.3,54.1,59.4,26.6,51.1,51.9,40.6,13.3,34.9,38.1
Philadelphia 76ers,73.0,73.0,100.0,39.7,85.7,46.3,52.3,65.7,29.3,56.3,52.0,34.3,10.4,29.4,35.3
Sacramento Kings,71.0,71.0,100.0,40.1,85.3,47.1,54.3,59.4,27.9,50.7,54.9,40.6,12.3,34.6,35.6
Chicago Bulls,65.0,65.0,100.0,39.3,81.9,48.0,54.8,61.4,28.1,50.3,56.0,38.6,11.2,31.6,35.3
