TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Cleveland Cavaliers,49.0,34.0,15.0,167.0,120.0,95.4,24.6,46.9,2.26,13.2,34.1,71.6,53.0,7.7,53.9,59.3,97.53,68.4
Dallas Mavericks,46.0,33.0,13.0,185.0,117.9,98.6,19.3,55.6,2.67,16.3,27.3,65.0,47.6,8.1,52.3,59.4,93.8,64.7
Boston Celtics,48.0,30.0,18.0,172.0,102.6,98.7,3.9,58.0,1.48,14.3,30.4,65.7,48.4,12.8,46.9,54.5,92.15,61.2
New Orleans Hornets,54.0,29.0,25.0,197.0,111.4,101.8,9.6,52.1,1.79,14.3,30.4,64.2,47.7,10.6,48.9,56.5,95.88,56.5
Portland Trail Blazers,45.0,27.0,18.0,181.0,103.6,101.2,2.4,45.0,1.29,10.6,32.6,68.5,50.1,10.5,42.8,52.1,93.86,54.1
Memphis Grizzlies,45.0,26.0,19.0,199.0,99.5,102.8,-3.3,43.1,0.97,10.5,38.3,61.8,50.1,14.7,40.9,48.4,94.84,47.5
Charlotte Bobcats,48.0,24.0,24.0,212.0,102.5,100.7,1.8,44.5,1.12,10.7,36.5,64.3,49.9,12.8,43.1,50.7,91.56,48.7
Houston Rockets,47.0,24.0,23.0,196.0,107.7,100.8,7.0,50.0,1.13,11.6,41.1,65.4,53.5,14.1,43.4,52.8,94.09,53.5
Milwaukee Bucks,45.0,24.0,21.0,228.0,104.1,98.5,5.6,45.4,1.21,11.4,30.2,64.5,47.6,12.3,45.4,52.4,98.25,53.1
Toronto Raptors,42.0,24.0,18.0,155.0,116.3,103.8,12.5,61.2,2.63,14.7,31.7,64.9,48.6,7.5,46.4,57.2,98.16,59.7
Chicago Bulls,43.0,23.0,20.0,178.0,101.4,101.7,-0.4,48.1,1.39,13.1,34.1,71.7,53.3,12.5,47.8,52.8,96.53,53.8
Phoenix Suns,41.0,23.0,18.0,147.0,123.0,114.4,8.5,53.4,1.88,15.3,32.6,59.5,47.2,10.8,55.9,63.4,99.29,56.3
Atlanta Hawks,38.0,22.0,16.0,165.0,108.8,108.9,-0.1,41.6,1.52,10.9,40.8,68.5,54.3,9.7,43.6,51.8,88.81,52.4
Los Angeles Lakers,33.0,22.0,11.0,149.0,104.0,98.6,5.4,32.4,0.94,8.5,35.5,66.4,49.8,11.6,43.7,50.8,94.87,50.1
Oklahoma City Thunder,45.0,21.0,24.0,187.0,92.9,101.4,-8.5,42.5,0.79,9.3,35.8,68.4,51.9,15.1,38.8,48.7,95.59,45.5
Denver Nuggets,37.0,20.0,17.0,155.0,118.9,111.0,7.9,41.3,1.32,11.1,41.7,68.2,55.0,11.3,49.0,57.4,94.51,52.2
Detroit Pistons,47.0,20.0,27.0,165.0,98.8,104.1,-5.3,48.5,1.88,10.6,33.0,66.3,47.9,7.5,38.5,47.7,98.64,40.1
Los Angeles Clippers,35.0,19.0,16.0,111.0,109.0,95.8,13.2,60.5,1.18,15.0,39.6,64.8,53.4,17.5,50.6,58.2,94.91,65.7
Miami Heat,38.0,19.0,19.0,179.0,105.4,106.1,-0.7,51.3,1.42,12.9,38.5,67.5,53.5,12.3,46.0,53.1,95.17,53.1
New York Knicks,44.0,19.0,25.0,189.0,103.5,101.3,2.2,45.5,1.28,12.4,28.0,67.9,47.6,12.6,47.1,52.7,95.94,49.1
San Antonio Spurs,41.0,19.0,22.0,140.0,100.0,113.3,-13.3,50.0,1.26,11.1,36.8,69.4,51.9,11.6,40.8,50.9,97.9,40.7
Orlando Magic,34.0,18.0,16.0,113.0,112.4,102.7,9.7,40.8,1.38,9.9,33.1,68.0,50.6,9.3,46.3,54.8,95.02,57.2
Utah Jazz,32.0,18.0,14.0,119.0,107.9,113.6,-5.8,64.3,1.69,16.4,33.9,56.1,45.6,13.3,48.7,55.9,97.17,49.9
Washington Wizards,46.0,18.0,28.0,188.0,96.8,105.7,-8.9,43.0,0.85,10.5,36.4,66.2,52.1,16.1,43.3,50.2,97.24,42.7
Sacramento Kings,49.0,16.0,33.0,189.0,100.0,117.0,-17.0,50.0,1.41,12.5,36.8,63.3,49.5,12.2,43.7,49.0,93.82,38.0
Philadelphia 76ers,45.0,14.0,31.0,181.0,96.5,112.2,-15.7,49.1,1.08,11.8,36.6,64.0,50.4,14.4,43.9,49.3,92.94,35.2
Indiana Pacers,35.0,13.0,22.0,106.0,87.8,102.7,-14.9,49.1,0.9,10.8,25.5,68.2,46.8,15.2,39.1,46.5,94.52,29.9
Golden State Warriors,41.0,12.0,29.0,149.0,96.1,116.9,-20.8,42.7,0.9,9.9,29.6,65.7,46.6,13.8,41.9,50.4,102.52,28.2
Minnesota Timberwolves,37.0,12.0,25.0,124.0,105.3,115.2,-9.9,43.2,1.35,11.4,40.0,62.5,50.6,11.4,44.6,51.4,91.63,40.5
New Jersey Nets,28.0,6.0,22.0,108.0,86.7,108.1,-21.3,47.4,1.04,10.2,24.6,61.1,42.4,12.3,37.6,45.6,96.56,30.2
