TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Los Angeles Lakers,47.0,31.0,16.0,66.0,3.9,9.2,2.7,6.1,44.4,0.3,1.4,21.5,3.4,5.0,69.2,0.9,2.6,3.5,1.3,0.9,0.4,0.5,0.4,2.6,0.0,1.3
Philadelphia 76ers,40.0,26.0,14.0,65.0,4.5,9.6,2.8,7.1,39.4,0.4,1.5,23.0,3.6,4.9,74.7,1.3,2.8,4.1,1.5,1.1,0.7,0.6,0.5,2.5,0.0,1.4
Phoenix Suns,46.0,29.0,17.0,63.0,3.9,8.6,2.7,6.2,43.5,0.3,1.2,24.6,3.0,4.1,73.3,0.8,2.7,3.5,1.7,1.1,0.7,0.5,0.4,2.4,0.0,1.3
Miami Heat,53.0,33.0,20.0,62.3,4.1,8.2,2.4,6.2,38.4,0.6,2.0,28.0,2.8,3.8,74.5,1.0,2.6,3.6,1.3,1.0,0.7,0.3,0.5,2.1,0.0,0.8
Utah Jazz,45.0,28.0,17.0,62.2,3.4,8.9,2.5,5.0,50.4,0.4,1.1,34.7,3.4,4.3,79.8,0.9,2.3,3.2,1.8,0.9,0.3,0.3,0.2,2.2,0.0,1.9
Milwaukee Bucks,49.0,30.0,19.0,61.2,3.2,7.6,2.3,5.0,46.9,0.4,1.2,36.2,2.5,3.3,75.8,1.0,2.2,3.2,1.1,0.9,0.4,0.3,0.2,2.1,0.0,0.6
Denver Nuggets,49.0,29.0,20.0,59.2,3.8,7.7,2.3,5.8,40.1,0.5,1.7,30.5,2.5,3.4,73.7,0.9,2.8,3.8,1.3,0.9,0.3,0.6,0.3,2.4,0.0,0.0
Sacramento Kings,46.0,27.0,19.0,58.7,5.5,10.4,3.1,8.6,36.2,0.4,1.7,24.4,3.7,4.8,77.8,1.2,3.7,5.0,1.5,1.3,0.9,0.5,0.7,3.2,0.0,0.7
New York Knicks,40.0,23.0,17.0,57.5,4.6,7.7,2.6,7.1,36.2,0.5,1.9,27.0,2.1,2.8,74.8,1.0,3.1,4.1,1.2,1.3,0.8,0.4,0.5,2.6,0.0,0.4
Indiana Pacers,46.0,25.0,21.0,54.3,4.7,9.0,2.8,7.5,37.3,0.5,1.9,26.4,2.8,3.7,76.2,1.2,3.1,4.3,1.8,1.3,0.6,0.8,0.6,2.7,0.0,0.4
Dallas Mavericks,35.0,19.0,16.0,54.3,3.7,8.3,2.4,6.3,38.4,0.7,1.8,39.7,2.8,3.5,80.5,0.9,2.4,3.4,1.1,0.7,0.5,0.4,0.4,2.7,0.0,0.1
Minnesota Timberwolves,43.0,23.0,20.0,53.5,4.2,8.6,2.6,5.9,44.4,0.6,1.0,58.5,2.8,3.5,79.6,0.8,2.3,3.0,1.8,1.3,0.3,0.7,0.3,3.1,0.0,-0.4
Portland Trail Blazers,44.0,23.0,21.0,52.3,3.4,7.4,2.4,5.0,46.8,0.4,1.3,33.9,2.2,2.9,76.4,0.8,2.1,2.9,1.4,1.0,0.4,0.3,0.2,2.2,0.0,0.8
Toronto Raptors,44.0,23.0,21.0,52.3,4.1,7.7,2.5,6.6,37.7,0.4,1.3,27.6,2.4,3.0,78.9,1.1,3.0,4.1,1.4,0.8,0.7,0.4,0.4,2.6,0.0,0.1
Houston Rockets,46.0,24.0,22.0,52.2,3.8,8.3,2.5,6.2,40.1,0.6,1.5,37.7,2.8,3.7,76.2,1.2,2.5,3.7,1.2,0.9,0.5,0.4,0.6,2.3,0.0,1.3
