TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Miami Heat,53.0,33.0,20.0,215.0,99.3,93.3,6.0,55.9,1.31,12.5,30.0,71.0,50.0,12.4,42.9,51.7,95.72,55.3
Los Angeles Lakers,47.0,31.0,16.0,185.0,106.9,100.3,6.7,48.4,1.55,11.7,33.9,70.3,51.7,9.9,46.9,55.2,100.92,58.9
Milwaukee Bucks,49.0,30.0,19.0,157.0,111.7,107.2,4.6,45.6,1.16,12.0,37.4,62.3,51.2,13.6,51.2,59.1,99.53,57.9
Denver Nuggets,49.0,29.0,20.0,188.0,103.6,97.9,5.7,56.1,1.42,13.3,31.6,68.6,51.6,12.4,44.5,52.6,95.11,53.6
Phoenix Suns,46.0,29.0,17.0,181.0,102.3,89.9,12.4,62.6,1.51,15.0,29.5,68.5,50.3,13.1,45.9,54.3,101.26,65.0
Utah Jazz,45.0,28.0,17.0,154.0,123.1,102.0,21.2,71.1,2.03,17.7,42.3,73.4,59.4,12.3,54.2,64.2,98.08,72.7
Sacramento Kings,46.0,27.0,19.0,254.0,95.6,88.4,7.1,49.0,1.21,10.9,30.4,70.5,49.7,11.6,38.6,48.5,94.49,55.4
Philadelphia 76ers,40.0,26.0,14.0,178.0,105.5,97.3,8.2,52.7,1.37,12.2,33.7,69.7,50.7,11.8,41.9,51.8,94.26,55.6
Indiana Pacers,46.0,25.0,21.0,218.0,95.6,96.3,-0.7,62.8,1.31,13.8,34.6,68.1,51.1,14.4,40.6,48.9,92.66,51.5
Houston Rockets,46.0,24.0,22.0,174.0,104.4,93.0,11.3,47.4,1.29,11.2,34.9,69.4,51.9,11.5,44.7,53.4,97.89,60.6
Orlando Magic,49.0,24.0,25.0,206.0,96.2,104.9,-8.7,58.5,1.64,13.2,30.8,61.9,46.1,10.7,40.2,47.6,93.18,38.3
Seattle SuperSonics,47.0,24.0,23.0,178.0,98.9,101.9,-3.1,56.9,1.35,13.6,35.6,60.4,47.8,14.0,42.1,48.4,96.88,44.6
Minnesota Timberwolves,43.0,23.0,20.0,181.0,105.7,108.1,-2.4,69.6,1.42,16.7,28.5,61.5,46.2,15.8,49.2,57.9,93.53,45.6
New York Knicks,40.0,23.0,17.0,184.0,87.7,82.7,5.0,47.1,0.92,10.7,27.5,65.9,47.4,14.9,39.7,46.4,91.45,54.1
Portland Trail Blazers,44.0,23.0,21.0,150.0,109.5,101.8,7.7,57.7,1.43,15.2,32.8,71.5,53.1,14.2,51.1,58.3,92.93,55.0
Toronto Raptors,44.0,23.0,21.0,182.0,97.7,92.8,4.9,57.8,1.91,13.5,34.2,74.0,54.5,9.5,40.5,48.8,93.3,57.2
Boston Celtics,49.0,22.0,27.0,205.0,97.3,100.5,-3.1,61.8,1.11,12.8,26.2,67.1,46.9,14.8,43.4,53.1,97.42,47.6
Charlotte Hornets,45.0,22.0,23.0,190.0,94.5,98.9,-4.4,60.2,1.51,12.8,33.7,73.4,52.5,11.3,40.4,49.4,91.22,50.6
Cleveland Cavaliers,43.0,20.0,23.0,173.0,96.1,91.2,4.9,54.1,1.2,11.7,36.8,66.1,51.5,13.2,38.3,47.6,94.63,52.0
Dallas Mavericks,35.0,19.0,16.0,129.0,104.3,105.5,-1.2,45.2,1.52,10.7,26.7,63.7,44.5,8.9,44.1,53.5,103.4,48.1
Atlanta Hawks,47.0,18.0,29.0,158.0,91.0,106.8,-15.8,56.5,1.0,11.5,35.3,67.6,51.6,15.4,37.6,47.2,93.91,38.6
Los Angeles Clippers,42.0,17.0,25.0,213.0,99.8,111.0,-11.2,50.4,0.89,11.5,36.6,62.3,49.4,17.1,44.5,52.6,93.35,39.3
Detroit Pistons,43.0,16.0,27.0,161.0,91.9,102.1,-10.2,53.6,0.92,10.5,34.8,66.7,50.3,15.3,38.4,46.9,97.71,38.3
New Jersey Nets,40.0,15.0,25.0,134.0,94.0,106.3,-12.3,50.0,1.17,10.9,33.1,63.6,47.5,12.3,38.7,47.7,102.03,37.9
Vancouver Grizzlies,40.0,14.0,26.0,146.0,102.8,110.8,-8.0,53.0,1.05,11.5,40.8,62.5,51.2,14.8,39.8,51.5,94.08,40.6
Chicago Bulls,47.0,13.0,34.0,180.0,97.1,109.8,-12.8,68.1,1.93,16.4,31.0,66.3,48.0,11.7,42.6,48.9,94.33,37.7
Golden State Warriors,38.0,13.0,25.0,136.0,89.9,108.0,-18.0,69.3,1.06,14.5,29.8,65.7,47.3,18.3,40.2,48.4,98.14,31.0
Washington Wizards,39.0,13.0,26.0,142.0,102.4,103.7,-1.3,56.0,1.34,12.4,31.3,67.9,49.0,12.2,39.2,51.8,98.09,49.7
San Antonio Spurs,30.0,12.0,18.0,136.0,100.7,104.1,-3.4,53.8,1.39,12.1,28.9,68.6,48.6,11.4,44.9,52.3,94.95,50.0
