TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
Boston Celtics,82.0,66.0,16.0,48.2,98.1,31.9,70.7,8.5,4.6,16.2,12.5,9.1,34.1
Detroit Pistons,82.0,59.0,23.0,48.1,101.5,29.5,70.0,7.1,5.8,11.8,11.4,9.6,35.2
Los Angeles Lakers,82.0,57.0,25.0,48.2,104.3,33.2,70.2,8.0,5.3,15.8,14.3,11.9,41.2
New Orleans Hornets,82.0,56.0,26.0,48.3,104.4,30.4,71.7,7.8,3.9,12.5,11.3,11.3,38.2
San Antonio Spurs,82.0,56.0,26.0,48.1,100.7,31.9,73.3,6.4,4.1,14.0,10.5,11.5,35.5
Houston Rockets,82.0,55.0,27.0,48.1,100.5,32.4,71.1,7.3,5.1,14.4,12.7,12.9,35.8
Phoenix Suns,82.0,55.0,27.0,48.2,107.0,32.7,67.4,6.5,6.3,16.1,15.4,12.2,44.8
Utah Jazz,82.0,54.0,28.0,48.1,104.9,29.4,71.0,8.7,4.3,16.2,12.8,13.6,39.7
Orlando Magic,82.0,52.0,30.0,48.2,104.9,32.6,70.9,6.3,4.1,16.1,12.7,12.5,37.4
Dallas Mavericks,82.0,51.0,31.0,48.1,104.7,32.2,71.6,6.0,4.9,13.9,12.9,12.8,39.2
Denver Nuggets,82.0,50.0,32.0,48.4,105.5,32.9,68.6,9.2,6.7,17.0,14.6,14.2,43.0
Golden State Warriors,82.0,48.0,34.0,48.2,108.5,30.4,67.2,9.1,4.6,15.6,15.7,14.3,45.0
Cleveland Cavaliers,82.0,45.0,37.0,48.4,105.4,31.3,71.5,7.1,5.2,15.8,11.3,12.4,37.5
Washington Wizards,82.0,43.0,39.0,48.5,107.9,29.3,69.5,7.7,4.8,15.0,13.1,12.9,37.6
Portland Trail Blazers,82.0,41.0,41.0,48.5,106.8,29.7,68.4,5.5,4.4,14.5,13.5,12.5,40.5
Toronto Raptors,82.0,41.0,41.0,48.4,105.6,30.4,70.9,7.0,4.1,13.6,11.7,10.6,37.6
Philadelphia 76ers,82.0,40.0,42.0,48.2,104.7,28.9,68.8,8.7,4.9,15.0,13.1,10.0,40.9
Sacramento Kings,82.0,38.0,44.0,48.4,108.6,30.0,68.9,7.9,4.1,18.4,13.6,13.1,41.4
Atlanta Hawks,82.0,37.0,45.0,48.4,107.3,29.9,68.2,7.3,5.5,17.2,14.2,13.3,43.5
Indiana Pacers,82.0,36.0,46.0,48.2,106.3,32.1,70.1,7.6,5.0,17.2,13.2,12.0,37.0
New Jersey Nets,82.0,34.0,48.0,48.4,107.7,30.7,70.6,6.4,4.8,16.7,13.4,12.7,37.4
Chicago Bulls,82.0,33.0,49.0,48.3,106.0,30.2,68.7,7.7,5.2,16.4,12.7,12.9,35.6
Charlotte Bobcats,82.0,32.0,50.0,48.5,108.2,29.8,67.4,7.5,4.9,16.8,15.0,13.5,43.9
Milwaukee Bucks,82.0,26.0,56.0,48.4,111.1,28.8,69.4,6.6,4.4,17.2,13.0,14.2,41.6
Los Angeles Clippers,82.0,23.0,59.0,48.3,107.4,30.4,70.3,6.8,4.9,15.7,13.2,10.4,43.5
New York Knicks,82.0,23.0,59.0,48.5,110.4,30.0,69.7,6.4,2.6,17.3,13.5,12.5,41.0
Memphis Grizzlies,82.0,22.0,60.0,48.3,110.2,31.3,70.6,6.1,4.7,18.0,13.0,16.2,45.8
Minnesota Timberwolves,82.0,22.0,60.0,48.1,110.0,29.6,70.3,7.5,3.7,17.8,13.0,14.5,38.9
Seattle SuperSonics,82.0,20.0,62.0,48.4,108.3,32.8,70.0,6.5,4.9,18.3,13.9,14.1,44.2
Miami Heat,82.0,15.0,67.0,48.4,108.8,28.6,68.1,7.2,4.3,17.0,13.9,13.5,38.8
