TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Minnesota Timberwolves,41.0,27.0,14.0,65.9,3.4,8.1,2.6,5.6,46.1,0.4,1.3,32.7,2.5,3.5,73.2,0.9,2.2,3.1,1.5,0.9,0.3,0.2,0.5,2.3,0.0,1.5
Sacramento Kings,40.0,26.0,14.0,65.0,3.9,9.2,3.2,6.9,46.2,0.4,1.3,32.7,2.4,3.3,73.5,1.0,2.5,3.5,1.8,1.1,0.8,0.5,0.3,2.5,0.0,0.6
San Antonio Spurs,45.0,29.0,16.0,64.4,3.8,8.1,2.5,5.5,45.3,0.5,1.5,36.4,2.6,3.6,70.1,0.9,2.4,3.3,1.3,1.1,0.2,0.5,0.4,2.2,0.0,0.5
Dallas Mavericks,38.0,23.0,15.0,60.5,4.1,9.7,3.1,7.0,43.8,0.7,2.1,32.1,2.9,3.6,79.6,1.1,2.8,3.9,1.4,0.7,0.4,0.4,0.3,1.9,0.0,1.2
Los Angeles Lakers,45.0,26.0,19.0,57.8,3.8,9.0,3.0,6.6,45.4,0.7,1.9,35.3,2.4,3.3,72.8,1.2,2.4,3.5,1.6,0.8,0.5,0.7,0.3,2.5,0.0,1.1
Phoenix Suns,52.0,30.0,22.0,57.7,3.7,8.0,2.4,5.7,41.9,0.4,1.3,33.3,2.8,3.5,81.3,1.2,2.6,3.8,0.9,1.0,0.4,0.4,0.4,2.2,0.0,1.4
Portland Trail Blazers,40.0,23.0,17.0,57.5,4.6,9.7,3.0,7.8,38.0,0.6,1.9,29.3,3.2,4.3,74.1,1.4,2.7,4.2,1.6,1.1,0.8,0.3,0.7,2.7,0.0,0.6
Philadelphia 76ers,49.0,28.0,21.0,57.1,4.1,8.9,2.7,6.6,40.9,0.2,0.9,26.7,3.2,4.2,75.0,1.3,2.4,3.7,1.5,1.0,0.7,0.3,0.4,2.5,0.0,0.3
Detroit Pistons,46.0,26.0,20.0,56.5,4.3,8.7,2.4,6.4,38.1,0.7,1.9,37.5,3.1,3.9,79.3,1.1,2.5,3.6,1.2,0.9,0.8,0.5,0.5,2.8,0.0,0.6
Atlanta Hawks,41.0,23.0,18.0,56.1,4.4,8.9,2.7,6.4,42.7,0.6,1.5,38.1,2.9,3.4,83.6,0.9,2.8,3.6,1.5,1.2,0.6,0.6,0.4,2.6,0.0,0.4
Boston Celtics,49.0,27.0,22.0,55.1,4.0,7.3,2.3,6.3,36.2,0.6,2.2,28.2,2.1,2.9,73.4,0.9,2.9,3.8,1.2,1.0,0.4,0.3,0.3,2.1,0.0,0.3
New Orleans Hornets,46.0,25.0,21.0,54.3,4.4,9.0,2.8,7.3,38.1,0.5,1.7,29.5,3.0,3.8,76.8,1.5,2.9,4.4,1.5,1.1,0.5,0.6,0.5,2.8,0.0,0.8
