TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
Golden State Warriors,82.0,73.0,9.0,48.5,102.8,36.2,72.0,8.4,6.1,16.6,13.8,14.5,45.1
San Antonio Spurs,82.0,67.0,15.0,48.1,98.2,34.5,74.6,8.3,5.9,13.5,10.6,12.1,40.1
Cleveland Cavaliers,82.0,57.0,25.0,48.4,103.9,33.9,74.2,6.7,3.9,15.5,11.2,11.2,40.8
Toronto Raptors,82.0,56.0,26.0,48.2,104.8,33.2,73.6,7.8,5.5,14.2,11.6,11.0,40.1
Oklahoma City Thunder,82.0,55.0,27.0,48.4,104.8,35.6,72.0,7.4,5.9,17.6,13.9,13.2,45.2
LA Clippers,82.0,53.0,29.0,48.4,102.7,33.3,69.7,8.6,5.6,14.5,13.8,12.4,41.3
Atlanta Hawks,82.0,48.0,34.0,48.4,100.8,33.8,69.8,9.1,5.9,16.0,13.1,11.9,40.9
Boston Celtics,82.0,48.0,34.0,48.2,102.5,33.3,70.7,9.2,4.2,14.8,14.2,10.8,43.0
Charlotte Hornets,82.0,48.0,34.0,48.4,103.7,35.0,75.4,7.3,5.3,14.1,11.4,12.4,40.0
Miami Heat,82.0,48.0,34.0,48.4,103.7,34.3,72.9,6.7,6.5,15.6,13.0,10.7,42.0
Indiana Pacers,82.0,45.0,37.0,48.5,102.2,33.9,71.4,9.0,4.8,16.3,13.0,12.2,41.6
Detroit Pistons,82.0,44.0,38.0,48.5,104.9,33.9,75.3,7.0,3.7,14.6,10.7,10.4,44.4
Portland Trail Blazers,82.0,44.0,38.0,48.3,106.8,33.9,72.8,6.9,4.6,16.3,12.4,11.1,40.9
Chicago Bulls,82.0,42.0,40.0,48.5,105.5,35.2,71.4,6.0,5.7,16.0,14.3,13.8,44.4
Dallas Mavericks,82.0,42.0,40.0,48.8,105.9,33.9,72.3,6.8,3.7,14.8,13.4,16.0,40.9
Memphis Grizzlies,82.0,42.0,40.0,48.4,107.1,30.5,70.9,8.8,4.3,15.1,11.8,14.6,38.5
Houston Rockets,82.0,41.0,41.0,48.4,107.3,31.7,69.2,10.0,5.2,19.5,14.7,14.4,44.6
Washington Wizards,82.0,41.0,41.0,48.2,105.1,32.8,73.7,8.6,3.9,15.7,11.7,12.7,41.2
Utah Jazz,82.0,40.0,42.0,48.7,103.2,32.5,73.1,7.7,5.2,16.0,11.5,11.7,39.6
Orlando Magic,82.0,35.0,47.0,48.5,106.0,33.0,72.6,8.2,5.1,16.0,11.4,13.2,43.5
Denver Nuggets,82.0,33.0,49.0,48.4,108.2,33.1,73.2,7.4,4.8,16.8,12.1,13.0,43.1
Milwaukee Bucks,82.0,33.0,49.0,48.4,107.8,31.2,68.9,8.2,5.8,17.7,14.1,13.0,44.0
Sacramento Kings,82.0,33.0,49.0,48.3,107.6,33.7,71.7,8.9,4.5,18.6,13.6,15.0,43.6
New York Knicks,82.0,32.0,50.0,48.3,106.7,34.0,71.8,5.7,5.7,15.4,12.7,12.8,43.1
New Orleans Pelicans,82.0,30.0,52.0,48.2,108.4,33.1,74.8,7.7,4.2,14.9,11.3,11.7,43.2
Minnesota Timberwolves,82.0,29.0,53.0,48.5,109.0,31.5,70.2,8.0,4.6,17.8,13.2,13.4,46.1
Phoenix Suns,82.0,23.0,59.0,48.1,107.9,33.3,73.3,7.7,3.8,20.2,12.6,17.3,43.8
Brooklyn Nets,82.0,21.0,61.0,48.2,109.7,31.9,71.6,7.6,4.0,18.3,12.1,14.5,47.9
Los Angeles Lakers,82.0,17.0,65.0,48.1,110.3,32.3,71.2,7.2,4.1,16.5,14.3,17.0,47.8
Philadelphia 76ers,82.0,10.0,72.0,48.3,108.6,31.8,69.3,8.3,6.0,20.0,14.7,16.7,45.6
