TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Milwaukee Bucks,82.0,58.0,24.0,48.4,42.5,93.2,45.6,12.1,34.1,35.4,16.3,21.0,77.6,10.7,33.5,44.2,23.9,11.8,7.0,3.9,4.9,19.0,18.0,113.3,-3.6
Boston Celtics,82.0,57.0,25.0,48.7,41.8,90.2,46.3,11.6,33.7,34.5,16.2,21.1,76.9,9.7,34.3,44.0,23.1,12.7,6.6,3.9,5.2,19.1,18.8,111.4,-6.5
Philadelphia 76ers,82.0,54.0,28.0,48.5,40.4,85.4,47.3,11.6,33.4,34.8,18.5,23.7,78.1,9.5,31.6,41.2,24.2,14.3,6.6,4.6,4.7,19.6,20.4,110.9,-4.3
Denver Nuggets,82.0,53.0,29.0,48.2,41.7,87.4,47.8,11.4,33.1,34.4,17.6,22.7,77.5,10.1,30.7,40.8,25.7,13.5,7.9,4.2,4.5,19.5,18.6,112.5,-3.3
Cleveland Cavaliers,82.0,51.0,31.0,48.5,39.0,83.5,46.8,11.3,30.6,36.8,17.5,22.4,78.2,9.8,31.5,41.2,23.0,15.7,7.0,4.4,4.7,20.4,19.0,106.9,-5.4
Memphis Grizzlies,82.0,51.0,31.0,48.2,40.7,89.8,45.3,13.0,36.6,35.5,18.5,23.5,78.7,11.0,33.4,44.4,26.4,15.1,6.8,5.2,5.8,20.0,20.0,113.0,-3.9
Sacramento Kings,82.0,48.0,34.0,48.4,43.8,88.9,49.2,12.5,33.4,37.3,18.1,23.0,78.7,9.7,32.5,42.2,26.7,14.2,7.3,4.2,3.4,20.9,19.7,118.1,-2.6
New York Knicks,82.0,47.0,35.0,48.7,40.8,88.2,46.2,13.0,36.5,35.7,18.5,23.7,78.2,10.1,31.9,42.0,25.1,12.7,6.0,4.5,4.1,20.7,20.3,113.1,-2.9
Brooklyn Nets,82.0,45.0,37.0,48.1,41.0,88.5,46.3,11.8,32.2,36.7,18.7,24.4,76.7,11.5,33.6,45.1,23.4,13.7,7.0,3.9,6.2,18.5,21.1,112.5,-0.9
Phoenix Suns,82.0,45.0,37.0,48.2,40.0,85.9,46.6,11.4,32.0,35.7,20.1,25.6,78.6,10.2,32.6,42.9,23.4,14.4,7.2,4.0,5.3,19.9,21.2,111.6,-2.1
Golden State Warriors,82.0,44.0,38.0,48.4,42.4,90.5,46.8,12.9,35.5,36.4,19.4,25.2,76.9,10.7,32.6,43.3,25.7,14.3,7.9,4.0,4.0,18.4,21.4,117.1,-1.8
LA Clippers,82.0,44.0,38.0,48.4,41.8,88.3,47.4,12.2,33.4,36.5,17.2,22.3,77.1,10.2,32.9,43.1,25.0,13.0,7.8,4.2,4.4,19.6,19.5,113.1,-0.5
Miami Heat,82.0,44.0,38.0,48.3,40.1,83.2,48.2,13.1,35.8,36.7,16.5,21.1,78.1,8.9,33.0,41.8,25.6,15.7,7.0,3.8,3.0,20.0,18.5,109.8,0.3
Los Angeles Lakers,82.0,43.0,39.0,48.5,44.0,93.9,46.9,12.5,36.5,34.4,16.1,20.8,77.3,11.1,33.8,44.9,25.7,12.6,7.6,5.1,4.6,21.5,17.9,116.6,-0.6
Minnesota Timberwolves,82.0,42.0,40.0,48.4,41.8,88.7,47.1,12.3,33.3,36.9,19.9,26.0,76.6,11.3,33.3,44.7,25.0,15.4,8.2,4.1,5.4,20.2,21.6,115.8,0.0
New Orleans Pelicans,82.0,42.0,40.0,48.4,40.9,86.6,47.2,12.2,36.0,33.9,18.4,23.6,77.9,9.7,32.1,41.8,24.9,15.0,7.3,4.7,4.1,20.4,20.5,112.5,-1.9
Atlanta Hawks,82.0,41.0,41.0,48.4,43.8,90.2,48.6,11.9,33.5,35.6,18.6,23.2,80.3,10.6,33.5,44.1,26.0,14.2,7.5,5.0,4.9,19.7,18.8,118.1,-0.3
Toronto Raptors,82.0,41.0,41.0,48.3,40.4,82.3,49.1,12.2,32.6,37.4,18.4,23.1,79.7,9.2,33.0,42.3,26.2,16.7,6.0,4.6,5.2,19.6,20.0,111.4,-1.5
Chicago Bulls,82.0,40.0,42.0,48.5,40.7,87.1,46.8,13.2,37.1,35.7,17.1,22.0,77.9,9.6,33.7,43.3,26.0,15.0,6.7,4.7,4.5,18.7,18.9,111.8,-1.3
Oklahoma City Thunder,82.0,40.0,42.0,48.4,41.9,88.4,47.4,12.9,36.0,35.8,19.6,25.5,77.1,12.0,34.7,46.6,25.9,16.8,7.0,5.5,4.2,20.4,21.0,116.4,-1.1
Dallas Mavericks,82.0,38.0,44.0,48.6,41.8,86.2,48.5,11.1,31.7,35.2,19.5,25.0,78.1,10.1,34.6,44.7,24.9,13.1,6.4,3.8,3.7,21.8,20.7,114.1,-0.1
Utah Jazz,82.0,37.0,45.0,48.3,43.4,91.6,47.3,12.5,34.5,36.1,18.8,24.3,77.6,11.2,32.2,43.5,25.0,12.6,7.8,4.9,5.2,20.5,20.5,118.0,0.9
Indiana Pacers,82.0,35.0,47.0,48.2,43.3,89.3,48.5,12.4,33.3,37.3,20.5,25.6,80.0,12.1,33.2,45.3,26.4,15.1,7.9,5.3,5.8,20.2,21.2,119.5,3.2
Washington Wizards,82.0,35.0,47.0,48.2,42.5,89.8,47.3,12.0,32.8,36.6,17.5,21.9,79.8,10.8,32.3,43.0,24.8,12.3,7.1,5.0,5.2,19.4,18.8,114.4,1.2
Orlando Magic,82.0,34.0,48.0,48.2,41.3,86.9,47.6,13.0,37.0,35.1,18.3,23.0,79.6,9.5,32.5,42.0,25.9,14.7,7.7,5.1,4.7,20.5,20.1,114.0,2.6
Portland Trail Blazers,82.0,33.0,49.0,48.1,43.0,87.5,49.1,12.5,33.1,37.9,19.0,24.1,78.7,10.5,32.8,43.2,27.0,13.5,7.8,4.3,4.6,20.5,20.0,117.4,4.0
Charlotte Hornets,82.0,27.0,55.0,48.4,43.0,90.1,47.7,12.2,34.3,35.7,19.0,24.0,79.5,10.9,35.3,46.2,25.9,14.4,7.0,5.7,5.2,20.3,20.3,117.2,6.2
Houston Rockets,82.0,22.0,60.0,48.2,42.4,88.1,48.2,14.5,38.8,37.4,19.2,24.2,79.4,10.5,31.0,41.5,26.1,13.2,8.8,6.2,4.6,20.6,20.5,118.6,7.9
San Antonio Spurs,82.0,22.0,60.0,48.4,46.1,91.0,50.7,12.6,32.3,39.1,18.2,23.7,77.0,10.7,34.3,45.0,26.8,13.8,8.1,5.3,3.9,18.5,19.9,123.1,10.0
Detroit Pistons,82.0,17.0,65.0,48.3,43.1,88.1,48.9,12.0,33.3,36.0,20.4,26.2,77.7,11.0,33.7,44.7,25.8,13.5,7.7,5.5,3.8,21.0,22.1,118.5,8.2
