TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
New Orleans Hornets,31.0,21.0,10.0,67.7,4.4,9.6,3.2,7.7,41.8,0.7,2.0,34.4,2.5,3.2,77.8,1.1,2.9,4.0,1.4,0.6,0.7,0.3,0.4,2.0,2.2,0.8
Boston Celtics,37.0,24.0,13.0,64.9,3.9,8.0,2.5,6.3,39.1,0.7,2.1,33.8,2.4,3.1,76.5,1.1,2.6,3.6,1.2,1.0,0.8,0.3,0.3,2.0,2.3,0.1
San Antonio Spurs,39.0,25.0,14.0,64.1,3.8,8.8,2.9,5.8,50.0,0.7,1.8,36.6,2.3,3.2,73.4,0.5,2.5,3.0,1.8,0.7,0.5,0.2,0.2,2.2,2.3,1.4
Cleveland Cavaliers,55.0,35.0,20.0,63.6,4.1,10.2,3.3,7.3,44.5,0.9,2.4,36.6,2.8,3.7,76.6,1.3,2.8,4.1,1.6,0.8,0.6,0.5,0.4,2.3,2.8,2.4
Portland Trail Blazers,43.0,26.0,17.0,60.5,4.2,8.8,3.0,6.6,45.0,0.4,1.2,34.6,2.5,3.2,78.7,1.0,2.4,3.4,1.4,0.9,0.4,0.5,0.5,2.0,2.2,0.1
Los Angeles Lakers,40.0,24.0,16.0,60.0,3.5,8.2,2.5,6.0,42.3,0.5,1.5,29.5,2.7,3.6,75.5,1.2,2.2,3.4,1.3,0.9,0.5,0.5,0.3,2.3,2.3,0.5
Golden State Warriors,44.0,26.0,18.0,59.1,3.7,9.8,3.2,6.8,47.2,0.9,2.7,34.5,2.5,3.2,76.6,1.3,2.6,3.8,1.7,0.8,0.5,0.3,0.3,2.8,2.3,1.0
Phoenix Suns,43.0,25.0,18.0,58.1,3.6,8.6,2.6,5.6,46.0,0.6,1.8,35.5,2.8,3.6,79.7,0.9,2.7,3.6,1.5,1.1,0.5,0.4,0.4,1.8,2.4,1.2
Houston Rockets,35.0,20.0,15.0,57.1,3.4,7.2,2.2,5.7,38.5,0.5,1.7,27.9,2.3,3.2,71.7,1.2,2.3,3.5,1.3,0.9,0.4,0.4,0.4,2.1,2.3,-0.3
Denver Nuggets,37.0,21.0,16.0,56.8,4.8,10.0,3.1,7.6,40.6,0.6,2.1,30.3,3.2,4.1,77.5,1.2,3.3,4.6,1.8,1.3,0.6,0.8,0.6,2.9,2.7,0.2
