TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Oklahoma City Thunder,45.0,30.0,15.0,191.0,121.9,97.5,24.4,37.9,1.18,11.3,31.6,69.9,52.6,12.1,55.6,63.6,101.31,67.3
Denver Nuggets,45.0,29.0,16.0,176.0,115.4,105.4,10.0,58.0,2.16,15.7,35.8,70.1,52.8,10.0,51.5,58.3,98.43,59.4
Utah Jazz,41.0,28.0,13.0,145.0,111.6,101.9,9.7,51.8,1.93,13.6,26.7,72.5,50.0,9.1,49.6,57.0,107.4,57.4
Philadelphia 76ers,44.0,26.0,18.0,135.0,107.7,104.9,2.8,57.4,1.23,13.7,29.7,74.4,51.7,14.7,48.9,58.6,104.88,53.8
Toronto Raptors,37.0,25.0,12.0,131.0,120.3,100.4,20.0,54.9,1.6,14.8,29.3,68.8,50.2,12.1,56.8,64.1,103.5,64.6
Boston Celtics,42.0,23.0,19.0,144.0,112.7,108.3,4.4,60.3,1.67,15.6,35.6,69.9,52.9,13.0,51.1,57.6,106.3,54.5
Indiana Pacers,36.0,22.0,14.0,152.0,106.7,97.0,9.7,48.6,1.15,13.1,32.2,63.0,48.8,15.1,51.4,57.1,96.78,58.9
Portland Trail Blazers,37.0,22.0,15.0,134.0,119.7,112.9,6.8,44.0,2.83,13.6,25.0,60.8,43.7,6.2,55.3,60.4,103.57,54.9
Brooklyn Nets,40.0,20.0,20.0,175.0,112.0,108.9,3.2,47.4,1.35,12.6,39.6,67.5,53.6,12.8,48.4,55.0,100.83,52.8
Los Angeles Lakers,30.0,20.0,10.0,114.0,108.1,101.7,6.4,53.6,2.14,13.6,29.9,72.7,49.2,8.5,48.5,53.8,101.39,55.7
Houston Rockets,32.0,19.0,13.0,112.0,116.6,96.7,19.9,51.2,1.52,13.1,33.3,64.6,50.2,11.5,50.2,59.2,106.81,65.1
LA Clippers,32.0,19.0,13.0,127.0,120.5,112.3,8.3,52.0,1.43,14.6,35.2,60.5,49.1,13.8,56.6,61.8,101.58,53.3
Sacramento Kings,39.0,19.0,20.0,142.0,108.2,110.7,-2.5,45.9,1.82,12.8,30.7,65.7,46.5,9.2,48.9,54.4,103.25,43.5
Miami Heat,36.0,18.0,18.0,153.0,102.2,116.2,-14.0,61.9,2.07,14.0,30.1,67.9,48.1,9.1,44.2,51.4,99.18,43.1
San Antonio Spurs,45.0,18.0,27.0,175.0,107.2,111.3,-4.1,48.9,2.0,13.9,25.6,66.7,45.5,9.1,49.4,53.9,103.53,45.0
Charlotte Hornets,34.0,17.0,17.0,148.0,120.8,110.1,10.7,53.6,1.5,15.4,28.9,65.6,49.3,13.4,59.1,64.6,96.37,55.5
Dallas Mavericks,41.0,17.0,24.0,163.0,99.2,109.6,-10.4,52.3,1.39,12.2,31.1,70.5,50.4,11.6,44.9,51.0,101.17,46.7
Milwaukee Bucks,24.0,17.0,7.0,74.0,109.3,94.5,14.8,50.0,1.38,13.3,38.1,75.0,55.2,13.2,47.1,54.0,112.01,64.8
Phoenix Suns,37.0,16.0,21.0,130.0,109.2,113.6,-4.3,56.1,1.57,14.0,26.1,73.4,49.8,11.6,48.9,58.9,111.75,50.2
New York Knicks,34.0,14.0,20.0,137.0,104.6,105.2,-0.6,49.0,1.52,12.7,39.6,73.2,55.5,11.7,46.5,51.9,100.55,49.1
Orlando Magic,34.0,14.0,20.0,122.0,94.8,103.0,-8.2,64.0,1.38,15.4,26.7,75.8,50.9,14.9,46.1,51.1,106.24,42.8
Washington Wizards,35.0,14.0,21.0,103.0,100.9,117.7,-16.8,56.9,1.76,12.6,31.1,67.0,47.8,9.6,41.5,50.4,104.57,38.0
Atlanta Hawks,34.0,13.0,21.0,129.0,96.7,100.0,-3.3,43.4,1.03,10.1,33.5,65.6,49.4,13.0,41.4,48.4,104.04,40.7
Chicago Bulls,38.0,13.0,25.0,119.0,107.1,123.0,-15.9,56.6,1.39,13.7,31.7,56.9,44.3,13.0,48.2,56.0,100.74,37.6
Cleveland Cavaliers,29.0,13.0,16.0,132.0,108.4,111.8,-3.4,54.3,1.24,13.7,43.2,67.1,55.6,15.6,47.6,53.3,95.12,48.1
Memphis Grizzlies,30.0,13.0,17.0,97.0,100.9,117.3,-16.4,50.6,1.18,13.4,35.4,71.3,52.9,15.2,47.3,52.8,110.73,41.0
New Orleans Pelicans,41.0,13.0,28.0,143.0,93.9,117.1,-23.3,51.1,1.84,12.1,26.2,70.5,47.0,8.5,42.3,47.0,102.71,32.0
Minnesota Timberwolves,33.0,11.0,22.0,112.0,108.5,111.6,-3.0,45.2,1.43,11.0,36.7,71.8,54.0,10.3,43.6,52.1,101.38,45.7
Detroit Pistons,30.0,10.0,20.0,121.0,90.8,114.6,-23.8,51.3,1.29,12.7,25.9,64.6,44.6,13.0,42.1,46.5,97.61,30.5
Golden State Warriors,27.0,8.0,19.0,100.0,104.7,122.5,-17.8,56.3,1.54,14.1,27.5,70.9,48.6,12.1,48.6,55.3,105.81,36.2
