TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Chicago Bulls,47.0,31.0,16.0,178.0,105.0,95.4,9.6,57.6,1.26,14.0,33.7,67.0,51.3,15.0,45.9,54.2,101.25,58.4
Memphis Grizzlies,44.0,30.0,14.0,195.0,112.6,98.7,13.9,54.2,1.48,14.7,33.5,70.3,52.9,13.3,49.7,57.7,94.41,61.9
Atlanta Hawks,41.0,29.0,12.0,121.0,112.1,94.6,17.5,68.4,2.1,17.6,20.5,67.2,45.9,11.0,55.1,62.1,103.61,70.7
Dallas Mavericks,40.0,26.0,14.0,163.0,115.7,96.2,19.5,51.4,1.87,14.9,35.2,66.5,50.6,10.8,52.2,58.4,102.14,63.8
Houston Rockets,42.0,25.0,17.0,153.0,101.5,104.3,-2.8,49.4,0.78,10.7,25.7,62.9,45.6,17.0,48.6,58.0,101.1,49.0
Brooklyn Nets,42.0,24.0,18.0,171.0,95.1,103.6,-8.5,51.5,1.13,11.9,31.4,65.1,48.7,13.6,41.9,50.1,95.34,45.2
Los Angeles Clippers,38.0,24.0,14.0,129.0,100.0,93.2,6.8,52.6,1.24,11.2,29.4,73.5,52.3,11.4,41.9,52.8,106.01,59.3
Portland Trail Blazers,44.0,24.0,20.0,162.0,118.7,103.2,15.5,47.9,2.48,12.9,35.6,69.1,52.5,7.0,48.1,56.1,100.03,57.3
Golden State Warriors,31.0,23.0,8.0,96.0,113.8,96.5,17.2,55.4,2.42,14.9,34.8,65.7,49.8,8.4,48.2,56.2,106.84,65.2
Indiana Pacers,48.0,23.0,25.0,197.0,99.8,97.5,2.2,58.1,1.71,13.7,29.3,67.2,49.1,10.4,42.9,51.3,97.95,56.1
Miami Heat,40.0,23.0,17.0,135.0,101.7,91.8,9.9,50.5,1.28,12.3,28.7,67.6,48.3,12.5,45.8,53.7,99.35,59.9
New Orleans Pelicans,44.0,23.0,21.0,162.0,106.7,106.8,-0.1,57.8,1.63,14.7,35.2,70.5,52.3,12.4,46.0,53.1,97.22,51.9
Phoenix Suns,47.0,22.0,25.0,207.0,101.1,101.1,0.0,39.7,0.78,9.9,30.2,66.3,50.0,15.9,46.1,54.9,102.87,53.3
Toronto Raptors,43.0,22.0,21.0,184.0,106.6,110.2,-3.6,42.6,1.45,11.3,38.1,61.9,50.1,10.4,45.3,52.1,96.07,48.6
Orlando Magic,50.0,21.0,29.0,170.0,103.5,105.6,-2.1,44.4,1.31,12.5,25.1,65.2,46.3,12.2,48.5,54.6,99.39,47.8
Washington Wizards,42.0,21.0,21.0,200.0,92.4,103.9,-11.5,48.4,1.02,11.5,29.4,67.0,48.2,14.5,42.0,48.7,98.01,40.6
Boston Celtics,45.0,20.0,25.0,174.0,104.7,103.6,1.1,62.5,1.67,15.2,33.8,71.7,50.9,12.7,45.2,51.8,105.64,46.4
Cleveland Cavaliers,33.0,20.0,13.0,122.0,114.5,104.2,10.3,44.8,1.3,11.5,41.9,58.5,49.8,12.1,47.2,55.1,95.26,54.1
Milwaukee Bucks,43.0,20.0,23.0,192.0,97.1,98.2,-1.1,46.7,1.24,11.1,35.1,69.0,50.8,12.1,39.6,46.6,97.19,43.3
Oklahoma City Thunder,42.0,19.0,23.0,162.0,96.8,99.1,-2.3,40.5,1.26,10.8,28.1,74.3,49.9,11.2,42.9,47.2,101.98,45.4
San Antonio Spurs,38.0,19.0,19.0,172.0,98.6,100.6,-2.0,68.2,1.43,15.3,30.6,67.9,49.5,14.4,44.8,51.7,97.02,49.5
Sacramento Kings,41.0,18.0,23.0,142.0,100.4,109.3,-9.0,49.4,0.87,11.3,33.6,65.0,50.5,16.5,42.1,54.0,98.66,45.0
Charlotte Hornets,41.0,17.0,24.0,178.0,90.6,99.7,-9.1,42.7,1.02,9.6,30.9,73.2,51.3,11.9,37.9,46.3,98.32,40.4
Utah Jazz,41.0,17.0,24.0,139.0,94.9,99.7,-4.7,44.4,0.78,8.7,41.1,70.3,55.6,14.6,37.1,48.9,106.74,49.8
Detroit Pistons,40.0,15.0,25.0,147.0,95.2,104.3,-9.1,50.9,1.93,12.8,32.5,69.0,47.9,8.9,42.8,45.8,103.73,36.6
Los Angeles Lakers,46.0,15.0,31.0,205.0,97.7,110.0,-12.4,48.9,1.37,12.1,29.9,64.6,47.0,11.5,41.2,49.2,100.17,39.9
Denver Nuggets,38.0,14.0,24.0,160.0,107.2,114.5,-7.3,55.0,1.65,14.7,36.2,61.9,48.1,12.5,46.4,51.7,97.52,41.6
New York Knicks,40.0,14.0,26.0,170.0,95.2,102.6,-7.4,45.3,0.96,10.9,36.9,72.0,53.2,15.2,41.5,48.0,96.17,38.8
Minnesota Timberwolves,39.0,12.0,27.0,164.0,106.8,110.5,-3.7,59.3,1.36,14.1,40.9,62.5,52.1,14.5,45.0,52.9,97.9,45.9
Philadelphia 76ers,36.0,12.0,24.0,142.0,86.4,97.4,-10.9,64.9,1.0,13.3,27.7,69.2,48.7,17.4,40.4,47.2,99.45,41.2
