TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Boston Celtics,51.0,30.0,21.0,217.0,109.5,94.1,15.4,51.7,1.73,12.7,32.2,63.8,48.0,9.7,45.8,54.4,97.33,62.0
Detroit Pistons,50.0,30.0,20.0,178.0,99.2,95.8,3.5,56.7,1.07,11.9,30.9,63.4,46.8,14.4,42.7,53.1,99.03,55.3
Charlotte Hornets,49.0,27.0,22.0,185.0,104.4,100.3,4.1,56.7,1.66,13.6,35.0,68.2,50.7,11.2,42.5,51.3,91.33,52.9
Portland Trail Blazers,45.0,27.0,18.0,168.0,115.9,105.4,10.4,55.1,1.76,13.7,39.1,69.9,52.9,10.7,49.5,56.8,96.89,54.7
Toronto Raptors,48.0,27.0,21.0,200.0,95.8,92.7,3.1,55.6,1.33,12.4,35.4,67.7,51.3,12.8,39.3,47.2,92.29,54.8
Milwaukee Bucks,46.0,26.0,20.0,201.0,109.5,102.4,7.0,56.7,1.62,13.9,28.6,67.3,49.0,11.1,48.4,58.1,99.32,59.9
Dallas Mavericks,39.0,25.0,14.0,166.0,117.0,109.7,7.3,44.1,1.47,12.3,34.5,66.3,51.5,11.0,51.8,59.5,96.0,56.8
Miami Heat,53.0,25.0,28.0,237.0,91.2,96.0,-4.9,58.1,1.29,12.5,34.5,65.5,50.2,13.2,37.2,44.9,90.67,46.6
San Antonio Spurs,44.0,25.0,19.0,179.0,96.1,101.1,-5.0,52.7,1.07,10.8,24.7,71.2,47.8,12.8,39.4,50.4,96.87,46.9
Houston Rockets,58.0,24.0,34.0,272.0,100.6,110.1,-9.6,39.3,1.02,9.4,38.8,63.4,50.3,12.2,40.5,49.0,94.87,39.8
Philadelphia 76ers,46.0,24.0,22.0,166.0,94.3,90.1,4.2,52.7,1.0,11.2,33.5,66.1,50.0,14.8,37.3,48.8,94.58,55.0
Atlanta Hawks,47.0,23.0,24.0,178.0,98.9,101.4,-2.5,51.5,1.02,12.0,24.3,67.7,47.5,14.8,45.8,54.4,97.39,45.6
Los Angeles Lakers,39.0,23.0,16.0,151.0,107.7,97.4,10.3,59.6,1.51,13.5,31.3,63.0,47.7,11.9,48.4,56.0,99.25,60.2
New Jersey Nets,41.0,23.0,18.0,176.0,99.7,100.0,-0.3,52.5,1.32,12.6,37.1,61.5,49.2,13.2,41.3,48.1,96.74,49.4
New York Knicks,54.0,23.0,31.0,205.0,91.9,101.2,-9.3,50.9,0.94,10.8,31.4,74.9,52.0,14.8,40.3,48.8,98.52,40.0
Sacramento Kings,31.0,23.0,8.0,115.0,106.3,91.6,14.7,54.5,1.91,12.8,28.2,68.5,48.8,8.7,45.3,55.0,99.8,70.6
Minnesota Timberwolves,41.0,22.0,19.0,153.0,99.0,106.5,-7.5,60.6,1.43,13.5,35.5,67.3,51.1,12.8,40.9,50.6,97.08,47.4
Indiana Pacers,49.0,21.0,28.0,196.0,101.8,106.0,-4.2,67.9,1.35,14.3,30.9,64.4,48.3,14.2,44.1,53.8,96.21,48.2
Phoenix Suns,45.0,20.0,25.0,195.0,108.8,105.4,3.4,57.9,1.59,15.8,35.7,64.2,49.7,14.0,48.0,53.1,92.71,48.5
Seattle SuperSonics,44.0,20.0,24.0,173.0,99.4,102.4,-3.0,50.4,1.61,13.0,35.3,65.2,49.9,11.0,42.6,47.8,91.02,46.9
Utah Jazz,43.0,20.0,23.0,182.0,102.8,109.2,-6.5,60.3,1.49,14.0,40.4,74.9,56.4,13.1,41.5,50.7,94.68,47.6
Washington Wizards,41.0,20.0,21.0,150.0,102.7,101.6,1.1,52.6,1.5,13.0,35.6,65.6,51.3,11.5,44.2,53.3,95.97,53.3
Denver Nuggets,41.0,19.0,22.0,179.0,92.9,97.7,-4.8,54.3,1.36,12.3,36.3,64.5,49.5,12.5,38.6,44.7,92.05,41.0
Los Angeles Clippers,41.0,19.0,22.0,170.0,99.7,105.7,-6.0,53.3,1.19,11.8,40.8,66.5,52.8,13.6,40.4,48.5,97.76,43.0
Orlando Magic,36.0,19.0,17.0,142.0,106.0,102.1,3.9,52.6,1.59,14.0,26.3,60.8,45.5,11.3,49.5,56.8,95.36,54.8
Chicago Bulls,44.0,18.0,26.0,177.0,104.3,101.1,3.2,60.9,1.09,14.7,38.0,66.7,53.3,18.3,47.3,55.1,97.85,47.5
Cleveland Cavaliers,40.0,18.0,22.0,149.0,111.6,105.0,6.6,53.3,1.75,13.9,33.3,66.5,51.3,10.6,48.1,57.0,97.37,56.1
Memphis Grizzlies,43.0,16.0,27.0,156.0,92.1,100.6,-8.5,58.0,0.91,12.3,29.2,60.4,46.0,17.6,40.4,50.1,99.57,42.3
Golden State Warriors,41.0,8.0,33.0,144.0,90.1,110.3,-20.1,45.9,0.7,9.9,42.4,60.1,50.9,19.7,36.5,44.0,100.64,23.2
