TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Boston Celtics,51.0,30.0,21.0,4.7,2.9,7.4,39.3,0.5,1.8,26.6,3.0,4.1,73.0,1.2,3.3,4.5,1.6,1.4,0.5,0.5,0.5,2.6,2.5,9.3,-0.2
Dallas Mavericks,43.0,30.0,13.0,3.1,2.0,5.3,37.0,0.4,1.5,29.7,2.1,2.8,75.0,0.9,2.1,3.0,1.0,0.7,0.2,0.2,0.5,2.3,1.8,6.5,-1.3
Sacramento Kings,50.0,30.0,20.0,4.2,2.9,7.0,41.7,0.7,2.2,33.0,2.9,3.8,76.6,1.2,2.6,3.8,1.8,1.2,0.6,0.3,0.3,2.6,2.6,9.5,0.1
Chicago Bulls,47.0,29.0,18.0,4.2,2.6,7.2,36.5,0.4,1.6,26.7,2.1,3.2,67.8,1.0,2.6,3.7,1.5,1.0,0.7,0.5,0.4,2.8,2.3,7.8,-1.0
Minnesota Timberwolves,55.0,29.0,26.0,3.2,2.0,4.9,41.1,0.3,1.2,27.3,1.9,2.6,73.8,0.8,1.9,2.7,1.3,0.8,0.2,0.1,0.3,1.9,1.9,6.3,-0.9
Philadelphia 76ers,49.0,29.0,20.0,4.1,2.6,6.8,38.6,0.5,1.6,32.5,2.7,3.6,74.9,1.1,2.9,4.1,1.5,1.1,0.7,0.3,0.4,2.7,2.4,8.5,-0.2
Washington Wizards,51.0,29.0,22.0,3.9,2.9,6.4,44.9,0.7,1.7,39.1,2.7,3.2,84.8,1.0,2.4,3.4,1.4,1.2,0.4,0.4,0.3,2.9,2.2,9.1,-0.3
Seattle SuperSonics,43.0,28.0,15.0,3.7,2.3,5.7,40.7,0.3,1.7,20.8,2.7,3.4,79.3,1.0,2.1,3.0,1.0,0.7,0.3,0.4,0.3,2.5,2.2,7.6,-1.8
Phoenix Suns,39.0,27.0,12.0,3.3,2.4,6.0,40.2,0.6,1.7,36.8,1.7,2.2,79.8,0.8,2.2,2.9,1.2,0.6,0.5,0.2,0.4,2.2,1.4,7.2,-0.8
Indiana Pacers,52.0,26.0,26.0,4.2,2.5,6.2,39.8,0.3,1.3,24.6,2.8,4.0,69.2,1.1,2.6,3.8,1.1,1.2,0.5,0.6,0.3,2.5,2.8,8.0,-1.1
Memphis Grizzlies,48.0,26.0,22.0,3.3,1.9,5.0,37.4,0.3,1.3,24.2,2.3,2.9,79.0,0.9,2.2,3.1,0.9,1.0,0.5,0.4,0.2,2.1,2.0,6.3,-0.6
Orlando Magic,49.0,26.0,23.0,3.5,2.5,5.9,43.1,0.6,1.6,35.4,2.4,3.3,73.9,1.0,2.4,3.4,1.3,1.2,0.5,0.2,0.4,2.5,2.3,8.1,0.8
Detroit Pistons,40.0,25.0,15.0,4.7,2.6,7.0,36.7,0.5,1.7,29.4,2.8,3.7,77.4,0.9,3.0,3.9,1.5,1.2,0.5,0.5,0.7,2.9,2.7,8.5,-1.0
Miami Heat,42.0,25.0,17.0,4.8,2.7,7.3,37.5,0.7,1.9,35.8,3.1,3.9,80.0,1.0,3.0,4.0,1.4,1.2,0.7,0.3,0.6,3.0,2.7,9.3,-1.8
Houston Rockets,43.0,24.0,19.0,4.0,2.5,6.3,39.9,0.4,1.7,24.7,3.1,4.0,77.0,1.2,2.7,3.9,1.4,0.8,0.6,0.4,0.3,2.5,2.6,8.6,0.5
Los Angeles Clippers,50.0,23.0,27.0,5.0,3.1,7.3,42.5,0.8,2.0,40.4,3.4,4.1,82.0,0.9,3.0,3.9,1.8,1.1,0.6,0.4,0.5,3.0,3.0,10.4,0.4
Los Angeles Lakers,49.0,23.0,26.0,3.9,2.7,6.6,41.5,0.5,1.8,27.8,2.3,3.1,76.2,1.0,2.7,3.6,1.7,0.9,0.5,0.4,0.5,2.5,2.1,8.3,0.2
New Jersey Nets,39.0,23.0,16.0,4.2,2.4,6.8,35.0,0.6,1.9,29.7,2.6,3.5,73.9,1.2,2.6,3.8,1.6,1.1,0.4,0.5,0.6,3.2,2.9,7.9,-1.2
Denver Nuggets,39.0,22.0,17.0,3.8,2.3,6.1,37.2,0.5,1.8,28.6,2.6,3.5,74.6,1.1,2.3,3.4,1.3,1.1,0.4,0.4,0.7,2.5,2.4,7.7,-0.8
Golden State Warriors,49.0,22.0,27.0,3.9,2.4,6.3,38.2,0.2,1.2,20.0,2.6,3.7,70.5,0.9,2.9,3.8,1.1,0.9,0.4,0.3,0.4,2.2,2.6,7.7,-0.8
Milwaukee Bucks,47.0,20.0,27.0,3.9,2.8,6.8,40.6,0.8,2.3,33.9,3.2,4.3,74.4,1.3,2.2,3.5,1.7,0.8,0.5,0.4,0.2,2.7,3.0,9.5,0.9
Toronto Raptors,46.0,19.0,27.0,4.0,2.6,6.3,40.5,0.4,1.4,26.2,2.9,3.5,81.0,1.2,2.4,3.6,1.2,1.0,0.4,0.4,0.6,2.5,2.5,8.4,-0.6
Cleveland Cavaliers,38.0,17.0,21.0,3.7,2.5,5.7,44.4,0.4,1.1,38.1,2.4,3.4,70.5,0.8,2.0,2.8,1.4,1.0,0.4,0.4,0.4,1.8,2.3,7.9,0.6
New York Knicks,47.0,16.0,31.0,4.2,3.1,6.5,46.9,0.8,1.8,44.6,3.6,4.5,79.6,1.3,3.1,4.4,1.7,1.4,0.4,0.5,0.2,2.2,2.9,10.5,2.1
Portland Trail Blazers,48.0,16.0,32.0,3.7,2.3,5.4,43.2,0.6,1.5,39.2,3.0,3.8,77.7,0.9,2.2,3.1,1.5,1.0,0.6,0.4,0.4,2.1,2.6,8.3,1.4
