TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Dallas Mavericks,38.0,32.0,6.0,4.0,2.0,6.1,32.3,0.4,1.8,24.6,2.4,3.6,67.6,0.9,2.5,3.4,0.9,1.0,0.4,0.4,0.6,2.8,2.3,6.8,-2.8
Detroit Pistons,52.0,30.0,22.0,4.1,2.4,5.9,40.7,0.4,1.3,28.6,3.0,3.8,80.5,1.0,2.4,3.4,1.2,1.1,0.4,0.4,0.6,2.3,2.5,8.2,-1.6
New Orleans/Oklahoma City Hornets,49.0,28.0,21.0,4.3,2.5,6.5,39.0,0.7,2.1,32.7,2.6,3.3,78.9,0.8,2.6,3.5,1.2,1.0,0.5,0.6,0.3,2.7,2.3,8.3,-0.3
Phoenix Suns,45.0,28.0,17.0,3.9,2.8,6.5,43.5,0.4,1.4,28.6,2.4,2.9,82.2,1.2,2.5,3.7,0.9,1.2,0.3,0.4,0.5,2.6,2.2,8.4,-1.0
Cleveland Cavaliers,48.0,27.0,21.0,4.3,2.4,6.1,38.8,0.5,1.8,26.7,3.3,4.4,76.1,0.9,2.7,3.6,1.3,1.2,0.5,0.6,0.3,2.6,2.9,8.5,-1.2
Houston Rockets,48.0,26.0,22.0,3.3,2.4,5.5,44.3,0.5,1.5,34.3,2.3,3.1,74.7,0.7,2.4,3.1,1.2,0.7,0.6,0.3,0.3,1.9,2.0,7.7,-0.1
Utah Jazz,46.0,26.0,20.0,4.1,2.7,6.2,43.6,0.7,2.1,35.1,3.1,4.1,76.5,1.0,2.2,3.2,1.5,0.9,0.6,0.5,0.4,2.3,2.6,9.3,-1.1
Denver Nuggets,46.0,24.0,22.0,3.6,2.5,6.3,39.4,0.6,1.8,31.0,2.1,2.8,76.4,1.1,2.5,3.7,1.4,0.8,0.4,0.3,0.5,2.1,2.0,7.6,0.3
Los Angeles Lakers,48.0,24.0,24.0,4.7,3.3,7.7,42.4,0.6,2.3,27.7,3.4,4.4,77.3,1.5,3.1,4.5,1.9,1.3,0.6,0.6,0.5,3.4,3.1,10.6,0.2
Chicago Bulls,43.0,23.0,20.0,3.6,2.3,6.3,36.6,0.3,1.5,17.5,2.3,3.0,76.3,1.2,2.4,3.6,1.0,1.1,0.4,0.5,0.6,2.4,2.3,7.2,-0.7
Miami Heat,38.0,23.0,15.0,4.8,2.8,7.2,38.9,0.5,2.2,23.8,3.6,4.7,78.0,1.0,2.8,3.9,1.4,1.6,0.7,0.2,0.6,3.3,3.3,9.8,-1.0
Minnesota Timberwolves,48.0,23.0,25.0,5.0,3.3,8.2,40.3,0.6,2.4,27.2,3.3,4.3,75.5,1.6,3.3,4.9,1.8,1.0,0.5,0.4,0.4,2.5,2.9,10.5,0.8
Toronto Raptors,39.0,23.0,16.0,3.5,2.4,5.8,41.6,0.4,1.6,24.2,2.5,3.2,77.6,0.8,2.7,3.5,1.1,1.2,0.3,0.3,0.3,2.7,1.9,7.7,-0.5
New Jersey Nets,48.0,22.0,26.0,4.0,3.1,6.6,47.2,0.6,1.8,34.5,3.1,3.9,80.5,0.8,2.6,3.4,1.8,1.1,0.7,0.4,0.3,3.0,2.6,10.0,0.8
New York Knicks,49.0,22.0,27.0,4.6,3.4,7.8,43.0,0.7,2.1,31.4,2.5,3.4,74.7,1.3,2.2,3.6,1.8,0.9,0.8,0.5,0.3,2.8,2.6,9.9,-0.1
Portland Trail Blazers,42.0,22.0,20.0,4.9,3.9,8.0,47.9,0.9,2.3,40.0,2.6,3.4,77.6,1.0,2.6,3.5,2.0,1.1,0.5,0.3,0.5,3.2,2.7,11.3,-0.3
Golden State Warriors,39.0,20.0,19.0,3.5,2.4,5.6,42.7,0.7,1.9,36.8,2.3,3.3,70.9,0.9,2.2,3.1,1.5,1.0,0.7,0.3,0.4,1.8,2.1,7.8,0.6
Los Angeles Clippers,39.0,20.0,19.0,3.4,2.5,5.7,42.9,0.4,1.4,27.3,2.6,3.2,81.5,0.9,2.0,2.9,1.1,0.7,0.6,0.3,0.7,2.3,2.3,7.9,0.1
Philadelphia 76ers,38.0,20.0,18.0,4.8,3.2,8.5,37.3,0.5,1.9,25.7,3.1,4.2,73.3,1.6,2.7,4.3,1.7,1.0,0.6,0.4,0.6,3.5,2.8,9.9,-1.5
San Antonio Spurs,40.0,20.0,20.0,3.4,2.7,5.5,48.9,0.3,1.0,31.7,1.6,2.1,73.8,0.6,1.9,2.5,1.2,0.9,0.5,0.3,0.3,2.5,1.8,7.3,0.1
Washington Wizards,47.0,20.0,27.0,4.2,3.3,7.0,47.1,0.9,2.3,37.3,4.0,5.1,77.6,1.1,2.9,4.1,1.9,1.4,0.4,0.5,0.3,3.1,3.6,11.4,1.7
Atlanta Hawks,38.0,19.0,19.0,4.2,2.9,6.8,42.8,0.6,1.8,34.3,2.6,3.8,69.0,1.4,2.6,4.0,1.4,1.1,0.6,0.6,0.5,2.4,2.4,9.0,0.6
Charlotte Bobcats,39.0,19.0,20.0,5.0,3.0,7.1,42.1,0.6,2.0,31.2,3.5,4.4,80.1,1.1,3.1,4.2,1.5,1.5,0.5,0.9,0.7,2.7,3.1,10.1,0.6
Indiana Pacers,41.0,18.0,23.0,3.6,2.4,5.9,40.2,0.5,1.5,33.3,3.0,3.9,77.5,1.2,2.2,3.4,1.0,1.1,0.5,0.4,0.3,2.4,2.5,8.3,0.3
Orlando Magic,42.0,18.0,24.0,4.0,2.2,5.8,38.8,0.5,1.3,35.7,3.1,4.1,75.4,0.9,2.7,3.6,1.2,1.0,0.7,0.4,0.4,2.4,2.6,8.0,1.3
Seattle SuperSonics,47.0,18.0,29.0,4.2,2.6,6.6,39.8,0.5,1.9,27.0,3.3,4.2,79.6,1.1,2.6,3.7,1.5,0.9,0.6,0.4,0.4,2.2,2.8,9.1,0.1
Milwaukee Bucks,44.0,17.0,27.0,4.1,2.8,6.5,42.9,0.6,1.8,34.6,3.1,4.1,76.2,1.3,2.6,3.9,1.7,1.3,0.6,0.5,0.2,2.6,3.0,9.3,1.2
Sacramento Kings,44.0,17.0,27.0,3.8,2.8,6.2,45.4,0.6,1.7,35.6,3.3,4.1,79.7,0.9,2.9,3.8,1.5,1.1,0.4,0.4,0.3,2.4,3.0,9.5,1.6
Boston Celtics,53.0,16.0,37.0,3.7,2.5,6.3,40.4,0.3,1.4,22.7,2.2,2.9,75.5,1.2,2.2,3.4,1.4,1.1,0.5,0.5,0.5,2.0,2.1,7.6,0.3
Memphis Grizzlies,42.0,15.0,27.0,5.1,3.9,8.6,44.8,0.8,2.2,35.5,3.3,4.3,76.5,1.6,3.1,4.7,2.0,1.2,0.6,0.7,0.7,2.9,3.3,11.8,1.3
