TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
Sacramento Kings,82.0,61.0,21.0,3951.0,107.9,99.7,8.1,60.0,1.74,17.7,30.6,69.0,50.2,14.2,49.7,53.9,96.74,55.2,7951.0
Los Angeles Lakers,82.0,58.0,24.0,3956.0,108.0,100.4,7.6,59.7,1.81,17.5,31.1,68.6,50.1,13.5,49.8,53.4,93.32,54.9,7691.0
San Antonio Spurs,82.0,58.0,24.0,3971.0,105.4,98.5,6.9,56.4,1.39,16.0,30.1,68.5,50.1,15.7,49.2,53.9,91.06,55.4,7528.0
Dallas Mavericks,82.0,57.0,25.0,3976.0,110.3,106.0,4.3,56.6,1.83,16.9,28.5,68.3,48.7,12.7,50.7,55.3,94.36,51.7,7823.0
New Jersey Nets,82.0,52.0,30.0,3966.0,102.4,98.1,4.3,65.4,1.67,18.2,32.2,68.3,50.3,15.4,47.6,51.5,93.2,53.7,7707.0
Detroit Pistons,82.0,50.0,32.0,3936.0,103.2,100.9,2.3,62.0,1.48,17.3,27.7,67.6,48.1,15.9,49.7,54.0,91.38,52.3,7495.0
Minnesota Timberwolves,82.0,50.0,32.0,3961.0,107.5,104.1,3.4,62.8,1.82,18.4,34.3,70.3,52.4,14.5,49.0,53.2,91.72,52.9,7578.0
Boston Celtics,82.0,49.0,33.0,3966.0,102.1,99.9,2.2,60.4,1.55,16.4,27.2,69.5,48.1,14.4,47.6,52.0,93.6,50.0,7738.0
Portland Trail Blazers,82.0,49.0,33.0,3966.0,105.9,102.6,3.3,64.1,1.64,18.0,34.5,70.3,52.2,15.7,48.5,52.8,90.55,51.8,7482.0
Seattle SuperSonics,82.0,45.0,37.0,3966.0,107.3,104.1,3.3,61.5,1.71,18.3,32.0,65.6,49.0,15.1,50.5,54.0,90.35,52.2,7468.0
Charlotte Hornets,82.0,44.0,38.0,3951.0,102.9,101.8,1.2,60.8,1.53,16.7,33.3,68.9,51.1,15.4,46.6,51.3,90.93,51.3,7480.0
Orlando Magic,82.0,44.0,38.0,3966.0,105.6,104.1,1.5,58.4,1.61,16.8,29.2,66.5,47.7,14.3,49.3,53.3,94.4,49.7,7805.0
Utah Jazz,82.0,44.0,38.0,3966.0,103.8,102.9,0.9,69.7,1.48,18.4,36.2,68.3,52.1,17.8,47.2,52.9,91.75,53.0,7582.0
Philadelphia 76ers,82.0,43.0,39.0,3946.0,100.5,98.7,1.8,58.4,1.3,15.8,34.1,70.2,52.3,16.9,45.2,50.7,90.32,52.0,7424.0
Indiana Pacers,82.0,42.0,40.0,3981.0,102.8,102.4,0.4,64.2,1.51,17.6,30.2,68.6,49.9,16.2,47.7,52.7,93.13,51.0,7721.0
Toronto Raptors,82.0,42.0,40.0,3951.0,101.1,101.7,-0.6,60.9,1.52,16.9,34.3,67.1,50.3,15.8,46.3,50.1,90.02,49.6,7414.0
Milwaukee Bucks,82.0,41.0,41.0,3981.0,105.3,105.6,-0.3,60.7,1.6,17.7,28.7,67.9,49.1,15.2,50.7,54.4,91.51,50.2,7591.0
Los Angeles Clippers,82.0,39.0,43.0,3961.0,104.3,104.7,-0.4,57.7,1.41,16.3,34.9,67.3,51.2,16.1,47.6,51.9,91.21,49.5,7524.0
Washington Wizards,82.0,37.0,45.0,3946.0,102.9,104.5,-1.6,58.4,1.61,16.6,32.8,68.5,50.4,14.4,46.4,50.8,89.93,48.6,7395.0
Miami Heat,82.0,36.0,46.0,3986.0,97.3,99.0,-1.7,59.4,1.37,16.5,29.7,71.0,50.5,16.6,46.3,50.1,88.47,50.1,7346.0
Phoenix Suns,82.0,36.0,46.0,3966.0,101.8,102.6,-0.7,59.3,1.53,17.1,32.7,67.2,49.8,15.7,47.2,51.0,92.74,48.6,7663.0
Atlanta Hawks,82.0,33.0,49.0,3956.0,100.4,104.8,-4.4,57.0,1.3,15.8,29.7,68.9,49.1,16.6,47.1,51.7,93.21,46.5,7678.0
New York Knicks,82.0,30.0,52.0,3961.0,100.4,104.6,-4.2,61.1,1.44,16.7,29.2,68.4,48.9,15.9,46.8,51.4,90.78,46.6,7487.0
Cleveland Cavaliers,82.0,29.0,53.0,3971.0,103.4,107.0,-3.6,64.1,1.58,17.8,31.9,69.0,50.5,15.8,47.7,52.4,91.31,48.2,7553.0
Houston Rockets,82.0,28.0,54.0,3996.0,101.6,106.9,-5.4,52.2,1.28,14.6,32.7,67.5,49.7,15.5,46.5,50.7,89.56,45.8,7456.0
Denver Nuggets,82.0,27.0,55.0,3961.0,100.3,106.6,-6.3,62.3,1.51,17.0,34.1,66.8,49.7,16.0,45.5,49.5,91.35,44.2,7537.0
Memphis Grizzlies,82.0,23.0,59.0,3956.0,96.6,104.7,-8.0,62.6,1.33,16.9,30.5,66.3,48.3,17.6,46.2,50.1,92.55,45.6,7629.0
Chicago Bulls,82.0,21.0,61.0,3961.0,97.2,106.2,-9.1,64.6,1.45,17.3,29.8,68.5,48.7,16.6,45.6,49.9,91.56,43.6,7549.0
Golden State Warriors,82.0,21.0,61.0,3956.0,101.5,107.1,-5.6,56.9,1.24,15.3,37.3,66.9,51.6,17.5,45.2,49.9,95.75,45.6,7890.0
