TEAM,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
Atlanta Hawks,81.0,38.0,43.0,241.9,100.9,16.5,41.5,32.6,40.7,12.8,35.0,18.6,61.8,5.5,49.5,7.9,52.9,51.5
Boston Celtics,82.0,25.0,57.0,240.6,96.2,13.8,41.9,28.1,38.8,16.5,36.7,20.0,57.6,8.8,44.9,6.2,53.2,47.7
Brooklyn Nets,81.0,43.0,38.0,242.5,98.2,18.2,44.2,28.1,39.2,16.3,39.1,17.8,58.9,7.8,49.1,5.2,53.8,51.2
Charlotte Bobcats,81.0,42.0,39.0,242.8,96.8,16.7,41.3,25.0,36.6,16.0,36.6,16.8,61.2,11.3,48.9,6.1,48.6,48.0
Chicago Bulls,82.0,48.0,34.0,243.1,93.7,11.5,38.7,26.7,38.7,13.2,35.5,22.1,54.6,8.5,39.9,8.4,48.6,47.1
Cleveland Cavaliers,82.0,33.0,49.0,243.1,98.2,18.4,44.7,23.7,38.1,21.0,38.9,17.0,53.3,5.5,40.8,7.0,52.3,47.9
Dallas Mavericks,82.0,49.0,33.0,241.8,104.8,15.6,44.4,31.0,42.4,19.0,39.6,20.1,62.4,8.4,49.4,8.7,54.9,52.6
Denver Nuggets,82.0,36.0,46.0,240.9,104.4,18.0,42.8,25.9,37.4,15.0,34.6,24.1,55.9,5.9,42.3,8.0,52.0,49.7
Detroit Pistons,82.0,29.0,53.0,241.2,101.0,17.9,42.7,19.2,33.7,14.5,34.6,25.4,59.6,8.6,43.9,6.6,54.7,48.2
Golden State Warriors,81.0,50.0,31.0,241.9,104.1,13.7,42.8,26.0,40.2,20.7,38.7,19.3,60.3,9.1,46.8,7.2,53.8,51.6
Houston Rockets,82.0,54.0,28.0,241.8,107.7,20.8,44.9,24.9,37.6,11.5,35.0,21.6,63.6,8.1,44.1,4.6,59.8,53.1
Indiana Pacers,82.0,56.0,26.0,241.2,96.7,15.5,46.3,27.5,40.8,14.4,36.2,20.5,55.7,10.4,43.4,6.8,43.7,49.0
Los Angeles Clippers,82.0,57.0,25.0,240.9,107.9,14.1,45.3,28.7,37.9,18.7,40.4,21.2,65.7,8.2,47.2,6.9,55.2,52.6
Los Angeles Lakers,82.0,27.0,55.0,240.3,103.0,13.8,41.9,31.0,40.0,16.6,35.8,19.5,59.7,7.4,43.0,9.5,52.4,50.5
Memphis Grizzlies,82.0,50.0,32.0,241.5,96.1,13.9,44.5,23.7,38.5,12.0,37.7,24.9,54.9,14.8,44.2,8.0,49.9,49.4
Miami Heat,82.0,54.0,28.0,242.4,102.2,19.3,51.5,27.9,39.2,13.0,38.9,20.9,68.9,5.1,50.3,6.7,59.5,55.4
Milwaukee Bucks,81.0,15.0,66.0,242.5,95.5,15.7,40.0,22.9,37.5,17.3,36.8,21.3,55.0,5.2,39.5,6.6,44.9,47.9
Minnesota Timberwolves,82.0,40.0,42.0,242.1,106.9,14.3,39.8,25.7,37.1,12.9,32.1,28.0,58.9,10.2,42.3,9.3,51.9,48.6
New Orleans Pelicans,82.0,34.0,48.0,242.1,99.7,22.4,42.5,24.3,41.2,14.2,37.2,19.4,60.3,4.5,38.7,8.1,48.0,49.5
New York Knicks,82.0,37.0,45.0,242.1,98.6,13.7,44.2,32.1,41.0,20.1,38.0,16.1,60.1,8.4,44.8,7.7,49.6,50.5
Oklahoma City Thunder,82.0,59.0,23.0,241.5,106.2,18.8,46.6,25.7,39.5,21.4,40.0,18.9,63.1,4.9,41.5,7.4,54.4,52.0
Orlando Magic,82.0,23.0,59.0,243.4,96.5,15.8,41.9,27.9,39.1,16.0,38.1,17.1,56.8,9.4,46.0,6.0,49.3,48.7
Philadelphia 76ers,82.0,19.0,63.0,242.1,99.5,21.9,41.1,23.5,34.8,11.0,33.3,21.9,55.6,6.0,42.8,6.7,49.2,47.5
Phoenix Suns,82.0,48.0,34.0,240.9,105.2,17.6,45.7,28.2,38.6,17.7,39.1,17.5,57.7,9.7,42.1,5.5,57.4,51.9
Portland Trail Blazers,82.0,54.0,28.0,242.1,106.7,14.0,42.7,31.0,40.6,21.2,37.7,19.3,59.4,9.2,38.7,7.1,54.9,50.4
Sacramento Kings,81.0,28.0,53.0,241.9,100.3,18.3,43.4,20.3,36.3,17.5,37.9,20.6,56.9,10.0,42.2,6.9,48.5,48.2
San Antonio Spurs,82.0,62.0,20.0,240.9,105.4,16.8,48.7,28.4,39.9,16.8,41.3,22.2,60.3,7.4,46.0,7.8,57.3,53.7
Toronto Raptors,81.0,47.0,34.0,243.4,101.3,17.7,43.0,27.9,40.3,17.2,35.4,19.3,58.9,5.5,44.1,6.2,48.6,49.9
Utah Jazz,82.0,25.0,57.0,241.2,95.0,14.8,41.5,25.4,36.1,13.7,36.0,19.3,60.1,7.5,42.8,7.6,54.2,48.4
Washington Wizards,81.0,44.0,37.0,244.6,100.9,11.6,41.6,29.9,40.5,16.0,34.3,19.3,60.3,8.2,44.0,8.9,54.5,50.6
