TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Cleveland Cavaliers,82.0,66.0,16.0,48.2,33.8,78.6,43.1,5.9,17.6,33.3,17.8,23.1,77.0,10.7,28.2,38.9,19.1,13.9,6.3,4.1,5.3,20.3,20.3,91.4,-8.9
Los Angeles Lakers,82.0,65.0,17.0,48.2,37.2,83.2,44.7,7.1,20.7,34.5,17.7,23.5,75.3,11.7,29.8,41.5,22.6,15.5,7.7,4.8,5.1,22.1,20.7,99.3,-7.7
Boston Celtics,82.0,62.0,20.0,48.5,33.7,78.3,43.1,6.2,17.7,34.9,19.8,25.7,77.1,10.2,27.4,37.6,18.9,14.6,7.1,4.7,4.7,22.2,23.1,93.4,-7.5
Orlando Magic,82.0,59.0,23.0,48.1,35.8,82.7,43.3,5.4,15.8,34.2,17.3,23.0,75.5,10.5,31.6,42.1,18.1,13.1,6.9,3.8,5.4,22.4,20.3,94.4,-6.7
Denver Nuggets,82.0,54.0,28.0,48.1,36.2,82.2,44.0,7.3,20.0,36.6,21.2,27.2,78.2,12.1,29.2,41.2,21.4,15.4,7.9,5.5,6.0,23.7,22.9,100.9,-3.4
Portland Trail Blazers,82.0,54.0,28.0,48.4,35.4,76.9,46.0,5.9,15.9,37.4,17.4,21.7,80.3,9.6,26.7,36.3,19.4,13.2,6.3,3.9,4.9,21.1,20.4,94.1,-5.3
San Antonio Spurs,82.0,54.0,28.0,48.5,36.3,80.1,45.3,5.5,14.4,37.9,15.3,19.9,76.9,9.1,31.3,40.4,18.1,11.7,6.5,4.3,4.0,18.4,18.9,93.3,-3.8
Houston Rockets,82.0,53.0,29.0,48.3,36.5,82.1,44.4,5.7,15.8,35.7,15.8,21.1,74.9,10.6,29.3,39.9,19.8,12.3,7.2,5.3,4.3,20.6,18.9,94.4,-4.0
Dallas Mavericks,82.0,50.0,32.0,48.3,37.5,82.3,45.5,6.3,16.8,37.5,18.6,23.3,79.8,10.8,30.6,41.4,19.6,13.0,7.2,4.1,5.2,20.1,19.5,99.8,-2.0
New Orleans Hornets,82.0,49.0,33.0,48.2,34.8,77.2,45.0,7.0,19.8,35.4,17.7,22.9,77.3,10.0,30.0,40.0,20.1,13.3,5.8,3.5,4.1,20.4,20.3,94.3,-1.5
