TEAM,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
Atlanta Hawks,72.0,41.0,31.0,241.7,113.7,23.9,45.5,29.7,39.1,21.7,40.0,24.2,64.2,4.7,47.5,6.0,54.5,53.9
Boston Celtics,72.0,36.0,36.0,241.4,112.6,25.3,47.6,28.3,40.3,25.4,36.9,20.1,65.5,3.5,45.0,4.8,53.4,54.3
Brooklyn Nets,72.0,48.0,24.0,241.7,118.6,26.0,50.2,32.8,41.9,23.7,40.6,19.3,67.9,2.8,49.3,6.5,64.5,57.5
Charlotte Hornets,72.0,33.0,39.0,241.0,109.5,25.8,47.2,31.9,38.9,20.1,37.5,18.1,61.7,1.9,53.0,5.4,56.7,53.2
Chicago Bulls,72.0,31.0,41.0,241.4,110.7,21.4,47.4,31.9,37.7,19.0,39.9,19.7,66.3,5.9,52.2,7.4,55.0,54.7
Cleveland Cavaliers,72.0,22.0,50.0,242.1,103.8,24.1,43.9,24.8,35.1,15.8,35.3,23.3,62.7,3.8,39.9,6.8,53.0,50.8
Dallas Mavericks,72.0,42.0,30.0,240.3,112.4,28.7,55.2,31.0,37.7,25.6,41.1,16.7,64.4,4.0,50.7,3.2,52.5,55.0
Denver Nuggets,72.0,47.0,25.0,242.8,115.1,18.9,48.3,33.7,40.5,19.2,38.6,23.1,65.9,7.7,54.2,9.1,56.1,55.7
Detroit Pistons,72.0,20.0,52.0,242.1,106.6,25.1,45.0,28.8,36.0,14.7,34.8,18.7,66.2,4.0,45.2,4.5,53.7,51.9
Golden State Warriors,72.0,39.0,33.0,240.3,113.7,23.8,49.8,33.1,38.1,21.1,38.2,15.8,65.3,3.3,46.6,4.6,63.5,55.1
Houston Rockets,72.0,17.0,55.0,240.3,108.8,25.5,48.5,31.4,34.8,15.4,32.5,18.0,67.0,2.9,49.0,4.8,63.3,52.1
Indiana Pacers,72.0,34.0,38.0,242.4,115.3,29.4,48.0,28.7,36.8,20.5,40.8,20.4,65.3,3.3,47.1,6.7,59.0,54.2
LA Clippers,72.0,47.0,25.0,240.0,114.0,23.1,48.7,36.6,43.8,24.1,40.8,17.6,63.4,6.1,51.0,5.6,55.4,56.4
Los Angeles Lakers,72.0,42.0,30.0,242.4,109.5,21.6,48.8,30.0,37.4,16.2,35.5,19.9,67.7,8.3,49.1,6.5,62.9,53.6
Memphis Grizzlies,72.0,38.0,34.0,241.7,113.3,28.4,46.2,29.0,38.0,19.4,38.9,23.1,64.1,4.1,55.7,6.9,53.4,52.8
Miami Heat,72.0,40.0,32.0,241.4,108.1,20.1,47.7,32.6,37.5,17.9,37.0,20.3,69.0,3.4,50.8,5.9,57.5,54.6
Milwaukee Bucks,72.0,46.0,26.0,240.7,120.1,23.4,52.9,32.5,40.1,26.5,41.3,20.5,67.0,6.1,48.6,6.9,61.0,56.6
Minnesota Timberwolves,72.0,23.0,49.0,241.7,112.1,25.4,45.9,31.0,35.9,16.6,34.0,19.4,63.0,4.3,46.8,6.4,61.4,52.0
New Orleans Pelicans,72.0,31.0,41.0,242.1,114.6,27.4,48.3,27.1,37.1,17.4,37.5,21.9,64.1,4.4,57.2,7.1,60.1,53.7
New York Knicks,72.0,41.0,31.0,242.1,107.0,27.4,45.0,29.2,40.5,22.3,38.8,15.7,63.2,3.4,51.7,3.6,51.5,52.4
Oklahoma City Thunder,72.0,22.0,50.0,241.0,105.0,29.8,45.7,28.4,35.1,17.3,36.9,17.1,61.5,2.1,49.6,4.0,55.4,50.9
Orlando Magic,72.0,21.0,51.0,240.7,104.0,24.3,43.7,29.3,37.0,20.9,36.4,15.9,60.6,4.8,44.6,5.4,46.4,49.0
Philadelphia 76ers,72.0,49.0,23.0,242.1,113.6,26.0,48.7,30.4,39.7,21.7,41.9,16.7,62.3,9.6,54.9,4.2,52.9,54.1
Phoenix Suns,72.0,51.0,21.0,242.8,115.3,24.2,53.4,34.3,39.7,25.9,44.7,21.2,66.6,5.3,47.9,6.3,59.3,56.4
Portland Trail Blazers,72.0,42.0,30.0,240.3,116.1,20.4,47.6,27.8,40.3,33.2,39.0,15.4,59.4,5.2,47.7,4.1,52.1,54.0
Sacramento Kings,72.0,31.0,41.0,240.3,113.7,29.3,52.2,28.3,39.9,21.7,38.4,20.7,66.2,3.7,50.0,8.4,58.4,54.9
San Antonio Spurs,72.0,33.0,39.0,242.8,111.1,30.9,48.3,27.5,37.7,23.5,41.4,16.0,63.6,2.9,49.7,5.1,57.1,51.7
Toronto Raptors,72.0,27.0,45.0,240.3,111.3,24.2,46.4,32.9,38.0,19.9,35.8,16.1,62.3,2.2,39.3,5.4,58.2,52.9
Utah Jazz,72.0,52.0,20.0,241.0,116.4,28.5,49.9,33.0,40.4,25.8,38.4,19.1,68.8,1.3,41.8,5.8,62.8,56.3
Washington Wizards,72.0,34.0,38.0,241.7,116.6,25.2,47.4,26.8,36.9,19.9,38.8,23.2,65.8,5.0,55.0,6.8,60.3,53.1
