TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
Dallas Mavericks,82.0,67.0,15.0,48.2,102.1,30.7,71.9,6.8,5.0,15.2,11.4,12.7,36.9
Phoenix Suns,82.0,61.0,21.0,48.5,105.5,31.5,68.3,6.7,4.8,16.2,15.3,10.5,42.3
San Antonio Spurs,82.0,58.0,24.0,48.2,99.4,31.4,71.5,7.2,5.1,15.3,12.4,10.8,38.9
Detroit Pistons,82.0,53.0,29.0,48.5,102.6,29.0,67.8,7.1,5.8,13.2,13.3,11.2,37.2
Houston Rockets,82.0,52.0,30.0,48.4,99.7,32.6,72.5,7.1,4.1,14.8,11.6,9.6,33.0
Utah Jazz,82.0,51.0,31.0,48.3,105.6,30.0,72.1,7.0,4.1,17.5,11.1,12.2,38.2
Cleveland Cavaliers,82.0,50.0,32.0,48.5,100.6,30.8,72.1,7.6,4.3,14.7,12.3,10.7,38.1
Chicago Bulls,82.0,49.0,33.0,48.2,98.8,31.7,70.7,7.8,5.4,17.2,11.9,10.7,35.1
Toronto Raptors,82.0,47.0,35.0,48.2,104.4,30.2,71.1,7.1,3.9,15.1,12.6,11.7,40.0
Denver Nuggets,82.0,45.0,37.0,48.2,105.1,31.2,67.8,8.3,5.3,18.6,14.3,14.6,44.8
Miami Heat,82.0,44.0,38.0,48.4,104.6,30.8,69.3,6.9,5.4,16.4,13.3,12.8,36.1
Golden State Warriors,82.0,42.0,40.0,48.2,106.5,29.9,66.2,9.1,5.7,18.3,16.0,13.4,43.9
Los Angeles Lakers,82.0,42.0,40.0,48.9,107.5,30.4,69.0,7.3,5.1,18.2,14.1,12.2,43.7
New Jersey Nets,82.0,41.0,41.0,48.5,105.1,30.8,71.4,6.1,3.3,16.6,12.5,11.1,35.6
Washington Wizards,82.0,41.0,41.0,48.4,109.1,29.0,67.8,7.7,4.6,16.1,14.4,13.3,41.6
Los Angeles Clippers,82.0,40.0,42.0,48.1,104.2,30.3,71.2,7.3,5.8,16.5,12.1,9.0,40.0
Orlando Magic,82.0,40.0,42.0,48.2,103.3,29.5,69.7,6.9,5.1,18.0,11.6,13.0,34.0
New Orleans/Oklahoma City Hornets,82.0,39.0,43.0,48.5,105.4,30.6,71.9,6.4,4.2,16.1,13.0,11.9,37.8
Indiana Pacers,82.0,35.0,47.0,48.2,104.4,29.8,69.4,7.3,5.5,18.5,13.2,12.6,38.7
Philadelphia 76ers,82.0,35.0,47.0,48.5,105.6,28.7,67.8,7.2,4.8,17.2,14.3,11.9,41.2
Charlotte Bobcats,82.0,33.0,49.0,48.8,106.3,28.6,68.2,7.8,4.5,16.9,12.9,13.1,42.0
New York Knicks,82.0,33.0,49.0,48.8,107.4,30.7,71.4,6.6,3.2,18.4,13.2,10.1,38.1
Sacramento Kings,82.0,33.0,49.0,48.3,106.7,29.2,69.2,8.2,3.2,15.5,12.8,12.5,41.9
Minnesota Timberwolves,82.0,32.0,50.0,48.8,106.5,30.2,69.8,6.5,4.0,17.5,13.8,11.8,40.4
Portland Trail Blazers,82.0,32.0,50.0,48.7,108.6,28.0,69.7,6.8,4.6,18.3,12.6,13.9,41.2
Seattle SuperSonics,82.0,31.0,51.0,48.4,108.9,28.3,67.6,7.7,3.7,17.7,14.7,12.6,43.6
Atlanta Hawks,82.0,30.0,52.0,48.5,107.0,28.2,67.6,7.4,5.4,18.1,13.7,13.3,43.0
Milwaukee Bucks,82.0,28.0,54.0,48.4,110.3,27.7,65.7,7.2,2.7,17.5,14.2,12.9,43.5
Boston Celtics,82.0,24.0,58.0,48.4,105.8,29.2,70.5,7.2,4.7,18.2,12.0,12.4,41.7
Memphis Grizzlies,82.0,22.0,60.0,48.7,110.9,29.0,68.2,6.9,5.0,19.8,14.2,14.6,45.4
