Unnamed: 0,Year,t1_general_traditional_WIN%,t1_general_traditional_PTS,t1_general_traditional_FGM,t1_general_traditional_FG%,t1_general_traditional_3PM,t1_general_traditional_3P%,t1_general_traditional_FTM,t1_general_traditional_FT%,t1_general_traditional_OREB,t1_general_traditional_DREB,t1_general_traditional_REB,t1_general_traditional_AST,t1_general_traditional_TOV,t1_general_traditional_STL,t1_general_traditional_BLK,t1_general_traditional_BLKA,t1_general_traditional_PF,t1_general_traditional_PFD,t1_general_traditional_+/-,t1_general_advanced_OffRtg,t1_general_advanced_DefRtg,t1_general_advanced_NetRtg,t1_general_advanced_AST%,t1_general_advanced_AST/TO,t1_general_advanced_AST,t1_general_advanced_OREB%,t1_general_advanced_DREB%,t1_general_advanced_REB%,t1_general_advanced_TOV%,t1_general_advanced_eFG%,t1_general_advanced_TS%,t1_general_advanced_PACE,t1_general_advanced_PIE,t1_general_advanced_POSS,t1_general_opponent_Opponent's Field Goals Made,t1_general_opponent_Opponent's Field Goal Percentage,t1_general_opponent_Opponent's 3 Point Field Goals Made,t1_general_opponent_Opponent's 3 Point Field Goal Percentage,t1_general_opponent_Opponent's Free Throws Made,t1_general_opponent_Opponent's Free Throw Percentage,t1_general_opponent_Opponent's Offensive Rebounds,t1_general_opponent_Opponent's Defensive Rebounds,t1_general_opponent_Opponent's Rebounds,t1_general_opponent_Opponent's Assists,t1_general_opponent_Opponent's Turnovers,t1_general_opponent_Opponent's Steals,t1_general_opponent_Opponent's Blocks,t1_general_opponent_Opponent's Blocked Field Goal Attempts,t1_general_opponent_Opponent's Personal Fouls,t1_general_opponent_Opponent's Personal Fouls Drawn,t1_general_opponent_Opponent's Points,t1_clutch-traditional_Games Played,t1_clutch-traditional_Wins,t1_clutch-traditional_Win Percentage,t1_clutch-traditional_Minutes Played,t1_clutch-traditional_Points,t1_clutch-traditional_Field Goals Made,t1_clutch-traditional_Field Goal Percentage,t1_clutch-traditional_3 Point Field Goals Made,t1_clutch-traditional_3 Point Field Goal Percentage,t1_clutch-traditional_Free Throws Made,t1_clutch-traditional_Free Throw Percentage,t1_clutch-traditional_Offensive Rebounds,t1_clutch-traditional_Defensive Rebounds,t1_clutch-traditional_Rebounds,t1_clutch-traditional_Assists,t1_clutch-traditional_Turnovers,t1_clutch-traditional_Steals,t1_clutch-traditional_Blocks,t1_clutch-traditional_Blocks Against,t1_clutch-traditional_Personal Fouls,t1_clutch-traditional_Personal Fouls Drawn,t1_clutch-traditional_Plus-Minus,t1_clutch-advanced_Offensive Rating,t1_clutch-advanced_Defensive Rating,t1_clutch-advanced_Net Rating,t1_clutch-advanced_Assist Percentage,t1_clutch-advanced_Assist to Turnover Ratio,t1_clutch-advanced_Assist Ratio,t1_clutch-advanced_Offensive Rebounding Percentage,t1_clutch-advanced_Defensive Rebounding Percentage,t1_clutch-advanced_Rebounding Percentage,t1_clutch-advanced_Turnover Ratio,t1_clutch-advanced_Effective Field Goal Percentage,t1_clutch-advanced_True Shooting Percentage,t1_clutch-advanced_Pace,t1_clutch-advanced_Player Impact Estimate,t1_clutch-opponent_Opponent's Field Goals Made,t1_clutch-opponent_Opponent's Field Goal Percentage,t1_clutch-opponent_Opponent's 3 Point Field Goals Made,t1_clutch-opponent_Opponent's 3 Point Field Goal Percentage,t1_clutch-opponent_Opponent's Free Throws Made,t1_clutch-opponent_Opponent's Free Throw Percentage,t1_clutch-opponent_Opponent's Offensive Rebounds,t1_clutch-opponent_Opponent's Defensive Rebounds,t1_clutch-opponent_Opponent's Rebounds,t1_clutch-opponent_Opponent's Assists,t1_clutch-opponent_Opponent's Turnovers,t1_clutch-opponent_Opponent's Steals,t1_clutch-opponent_Opponent's Blocks,t1_clutch-opponent_Opponent's Blocked Field Goal Attempts,t1_clutch-opponent_Opponent's Personal Fouls,t1_clutch-opponent_Opponent's Personal Fouls Drawn,t1_clutch-opponent_Opponent's Points,t1_TEAM,t1_seed,t2_general_traditional_WIN%,t2_general_traditional_PTS,t2_general_traditional_FGM,t2_general_traditional_FG%,t2_general_traditional_3PM,t2_general_traditional_3P%,t2_general_traditional_FTM,t2_general_traditional_FT%,t2_general_traditional_OREB,t2_general_traditional_DREB,t2_general_traditional_REB,t2_general_traditional_AST,t2_general_traditional_TOV,t2_general_traditional_STL,t2_general_traditional_BLK,t2_general_traditional_BLKA,t2_general_traditional_PF,t2_general_traditional_PFD,t2_general_traditional_+/-,t2_general_advanced_OffRtg,t2_general_advanced_DefRtg,t2_general_advanced_NetRtg,t2_general_advanced_AST%,t2_general_advanced_AST/TO,t2_general_advanced_AST,t2_general_advanced_OREB%,t2_general_advanced_DREB%,t2_general_advanced_REB%,t2_general_advanced_TOV%,t2_general_advanced_eFG%,t2_general_advanced_TS%,t2_general_advanced_PACE,t2_general_advanced_PIE,t2_general_advanced_POSS,t2_general_opponent_Opponent's Field Goals Made,t2_general_opponent_Opponent's Field Goal Percentage,t2_general_opponent_Opponent's 3 Point Field Goals Made,t2_general_opponent_Opponent's 3 Point Field Goal Percentage,t2_general_opponent_Opponent's Free Throws Made,t2_general_opponent_Opponent's Free Throw Percentage,t2_general_opponent_Opponent's Offensive Rebounds,t2_general_opponent_Opponent's Defensive Rebounds,t2_general_opponent_Opponent's Rebounds,t2_general_opponent_Opponent's Assists,t2_general_opponent_Opponent's Turnovers,t2_general_opponent_Opponent's Steals,t2_general_opponent_Opponent's Blocks,t2_general_opponent_Opponent's Blocked Field Goal Attempts,t2_general_opponent_Opponent's Personal Fouls,t2_general_opponent_Opponent's Personal Fouls Drawn,t2_general_opponent_Opponent's Points,t2_clutch-traditional_Games Played,t2_clutch-traditional_Wins,t2_clutch-traditional_Win Percentage,t2_clutch-traditional_Minutes Played,t2_clutch-traditional_Points,t2_clutch-traditional_Field Goals Made,t2_clutch-traditional_Field Goal Percentage,t2_clutch-traditional_3 Point Field Goals Made,t2_clutch-traditional_3 Point Field Goal Percentage,t2_clutch-traditional_Free Throws Made,t2_clutch-traditional_Free Throw Percentage,t2_clutch-traditional_Offensive Rebounds,t2_clutch-traditional_Defensive Rebounds,t2_clutch-traditional_Rebounds,t2_clutch-traditional_Assists,t2_clutch-traditional_Turnovers,t2_clutch-traditional_Steals,t2_clutch-traditional_Blocks,t2_clutch-traditional_Blocks Against,t2_clutch-traditional_Personal Fouls,t2_clutch-traditional_Personal Fouls Drawn,t2_clutch-traditional_Plus-Minus,t2_clutch-advanced_Offensive Rating,t2_clutch-advanced_Defensive Rating,t2_clutch-advanced_Net Rating,t2_clutch-advanced_Assist Percentage,t2_clutch-advanced_Assist to Turnover Ratio,t2_clutch-advanced_Assist Ratio,t2_clutch-advanced_Offensive Rebounding Percentage,t2_clutch-advanced_Defensive Rebounding Percentage,t2_clutch-advanced_Rebounding Percentage,t2_clutch-advanced_Turnover Ratio,t2_clutch-advanced_Effective Field Goal Percentage,t2_clutch-advanced_True Shooting Percentage,t2_clutch-advanced_Pace,t2_clutch-advanced_Player Impact Estimate,t2_clutch-opponent_Opponent's Field Goals Made,t2_clutch-opponent_Opponent's Field Goal Percentage,t2_clutch-opponent_Opponent's 3 Point Field Goals Made,t2_clutch-opponent_Opponent's 3 Point Field Goal Percentage,t2_clutch-opponent_Opponent's Free Throws Made,t2_clutch-opponent_Opponent's Free Throw Percentage,t2_clutch-opponent_Opponent's Offensive Rebounds,t2_clutch-opponent_Opponent's Defensive Rebounds,t2_clutch-opponent_Opponent's Rebounds,t2_clutch-opponent_Opponent's Assists,t2_clutch-opponent_Opponent's Turnovers,t2_clutch-opponent_Opponent's Steals,t2_clutch-opponent_Opponent's Blocks,t2_clutch-opponent_Opponent's Blocked Field Goal Attempts,t2_clutch-opponent_Opponent's Personal Fouls,t2_clutch-opponent_Opponent's Personal Fouls Drawn,t2_clutch-opponent_Opponent's Points,t2_TEAM,t2_seed,t1_general_defense_OPP_PTS_OFF_TOV,t1_general_defense_OPP_PTS_2ND_CHANCE,t1_general_defense_OPP_PTS_FB,t1_general_defense_OPP_PITP,t2_general_defense_OPP_PTS_OFF_TOV,t2_general_defense_OPP_PTS_2ND_CHANCE,t2_general_defense_OPP_PTS_FB,t2_general_defense_OPP_PITP
0,2023,53.7,118.9,43.1,47.9,16.6,38.5,16.0,79.4,10.5,34.1,44.6,29.8,16.3,7.2,4.0,4.0,21.4,18.4,1.8,115.1,113.4,1.7,69.1,1.83,20.4,27.7,71.9,50.2,15.8,57.1,60.0,102.54,51.0,8472.0,42.4,46.8,12.9,36.4,19.4,76.9,10.7,32.6,43.3,25.7,14.3,7.9,4.0,4.0,18.4,21.4,117.1,41.0,20.0,48.8,4.2,9.0,3.0,39.7,1.3,31.9,1.6,78.0,1.3,3.4,4.6,1.9,1.3,0.5,0.6,0.6,2.2,1.9,-0.2,104.0,101.9,2.1,63.2,1.52,15.9,34.2,75.9,54.8,14.7,48.1,52.3,100.16,50.5,3.1,41.1,1.0,32.3,2.0,72.7,0.7,2.8,3.5,1.8,1.0,0.6,0.6,0.6,1.9,2.2,9.1,Golden State Warriors,6,52.400000000000006,117.2,42.9,48.2,10.8,34.6,20.6,77.5,10.0,35.7,45.7,25.3,14.1,6.4,4.6,5.1,17.9,21.5,0.6,113.9,113.2,0.7,58.9,1.8,17.9,26.9,72.7,50.5,13.7,54.2,58.2,101.92,51.1,8436.0,44.0,46.9,12.5,34.4,16.1,77.3,11.1,33.8,44.9,25.7,12.6,7.6,5.1,4.6,21.5,17.9,116.6,44.0,23.0,52.3,3.9,9.5,3.3,45.5,0.8,30.6,2.3,73.5,1.0,2.4,3.4,1.6,0.4,0.5,0.3,0.4,2.1,2.2,0.6,116.7,113.9,2.8,50.3,3.79,14.8,29.9,68.4,48.3,5.3,50.8,56.0,98.02,53.0,3.0,44.6,0.8,29.7,2.2,84.2,0.9,2.7,3.6,1.4,0.8,0.2,0.4,0.3,2.2,2.1,8.9,Los Angeles Lakers,7,19.4,13.3,14.1,49.8,17.0,13.9,15.4,52.8
1,2023,64.60000000000001,115.8,43.6,50.4,11.8,37.9,16.8,75.1,10.1,32.9,43.0,28.9,14.5,7.5,4.5,4.2,18.6,19.5,3.3,116.8,113.5,3.3,66.3,1.99,20.5,28.9,72.7,51.4,14.7,57.3,60.1,98.74,52.5,8129.0,41.7,47.8,11.4,34.4,17.6,77.5,10.1,30.7,40.8,25.7,13.5,7.9,4.2,4.5,19.5,18.6,112.5,37.0,22.0,59.5,3.8,8.8,2.7,44.4,0.9,34.0,2.6,70.4,0.8,2.5,3.3,1.7,1.1,0.5,0.6,0.3,1.7,2.4,0.9,109.8,99.3,10.4,62.6,1.59,15.5,30.8,67.5,49.8,13.1,51.8,57.7,99.95,57.8,2.7,40.9,0.7,27.3,1.8,74.2,1.0,2.5,3.5,1.5,1.2,0.6,0.3,0.6,2.4,1.7,7.9,Denver Nuggets,1,54.900000000000006,113.6,42.1,46.7,12.2,37.4,17.2,79.3,11.8,32.4,44.2,27.3,13.5,7.1,5.3,4.0,21.2,19.9,2.1,114.5,112.3,2.2,64.7,2.01,19.3,30.7,71.4,50.8,13.6,53.5,57.0,98.83,51.4,8141.0,40.0,46.6,11.4,35.7,20.1,78.6,10.2,32.6,42.9,23.4,14.4,7.2,4.0,5.3,19.9,21.2,111.6,36.0,17.0,47.2,4.0,9.0,2.9,41.0,0.9,34.4,2.3,70.6,1.4,2.1,3.6,1.8,1.1,0.7,0.4,0.5,2.2,2.4,-0.3,109.4,112.1,-2.7,60.0,1.58,14.7,41.1,62.6,50.8,13.5,47.1,52.7,98.0,46.1,3.1,48.3,0.8,34.2,2.4,74.6,0.9,2.6,3.5,1.6,1.2,0.6,0.5,0.4,2.4,2.2,9.3,Phoenix Suns,4,17.4,13.4,13.7,52.5,16.1,13.9,13.2,48.6
2,2023,53.7,109.5,39.2,46.0,12.0,34.4,19.1,83.1,9.7,30.9,40.6,23.8,13.5,8.0,3.0,3.8,18.5,20.0,-0.3,112.3,112.8,-0.5,60.8,1.77,17.8,27.4,73.3,49.8,13.8,53.0,57.4,96.76,49.6,7991.0,40.1,48.2,13.1,36.7,16.5,78.1,8.9,33.0,41.8,25.6,15.7,7.0,3.8,3.0,20.0,18.5,109.8,54.0,32.0,59.3,4.0,9.3,3.0,45.7,0.8,31.9,2.6,82.6,0.7,2.5,3.2,1.4,0.9,0.7,0.4,0.2,1.9,2.2,1.3,113.3,98.6,14.7,47.2,1.58,13.1,30.6,69.2,50.7,10.8,51.8,59.1,99.32,61.7,2.7,42.3,0.7,25.0,1.9,73.4,0.8,2.5,3.3,1.4,1.4,0.4,0.2,0.4,2.2,1.9,8.0,Miami Heat,8,57.3,116.0,42.0,47.0,12.6,35.4,19.4,76.1,12.6,34.0,46.6,22.9,13.0,6.4,4.1,4.5,20.3,20.7,2.9,117.0,114.2,2.8,54.6,1.77,16.6,31.8,72.7,52.1,13.1,54.1,57.7,97.75,50.9,8134.0,40.8,46.2,13.0,35.7,18.5,78.2,10.1,31.9,42.0,25.1,12.7,6.0,4.5,4.1,20.7,20.3,113.1,45.0,23.0,51.1,4.4,9.9,3.1,43.8,0.8,29.6,2.9,75.1,1.3,2.8,4.1,1.3,1.2,0.5,0.5,0.5,3.1,2.7,-1.4,109.6,120.2,-10.7,41.1,1.12,10.7,38.7,64.3,52.0,12.8,49.1,56.0,100.08,43.9,3.3,43.2,1.2,35.1,3.6,78.9,1.2,2.4,3.5,1.8,0.9,0.5,0.5,0.5,2.7,3.1,11.4,New York Knicks,5,15.9,12.0,12.5,46.2,15.3,13.3,12.7,45.9
3,2023,69.5,117.9,42.2,47.5,16.0,37.7,17.5,81.2,9.7,35.6,45.3,26.7,13.4,6.4,5.2,3.9,18.8,19.1,6.5,117.3,110.6,6.7,63.2,2.0,19.1,25.5,74.6,50.6,13.3,56.6,60.0,99.15,53.4,8247.0,41.8,46.3,11.6,34.5,16.2,76.9,9.7,34.3,44.0,23.1,12.7,6.6,3.9,5.2,19.1,18.8,111.4,37.0,24.0,64.9,4.6,10.4,3.2,41.8,1.2,31.9,2.8,79.8,1.0,2.9,4.0,1.8,1.0,0.4,0.5,0.4,2.5,2.9,0.9,110.9,106.3,4.6,56.7,1.79,14.5,31.7,72.1,50.9,10.9,49.3,56.1,95.99,52.1,3.0,42.0,1.1,35.5,2.5,81.6,0.9,3.1,4.1,1.7,1.0,0.6,0.4,0.5,2.9,2.5,9.6,Boston Celtics,2,65.9,115.2,40.8,48.7,12.6,38.7,21.0,83.5,8.7,32.2,40.9,25.2,13.7,7.7,4.7,4.6,20.4,19.6,4.3,117.0,112.7,4.4,61.6,1.84,18.6,25.8,72.1,49.6,13.9,56.3,60.8,97.44,52.4,8072.0,40.4,47.3,11.6,34.8,18.5,78.1,9.5,31.6,41.2,24.2,14.3,6.6,4.6,4.7,19.6,20.4,110.9,45.0,28.0,62.2,3.9,9.0,2.7,44.2,0.9,39.6,2.6,85.6,0.8,2.8,3.5,1.7,1.2,0.6,0.4,0.4,2.0,2.3,1.7,110.1,93.5,16.6,63.9,1.5,15.6,31.4,72.3,52.9,14.1,51.8,60.1,98.23,65.0,2.4,40.0,0.7,26.9,1.7,67.8,0.8,2.4,3.1,1.3,1.2,0.4,0.4,0.4,2.3,2.0,7.3,Philadelphia 76ers,3,15.4,12.7,13.2,48.9,16.5,12.7,15.5,48.1
