TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Milwaukee Bucks,73.0,56.0,17.0,48.2,38.9,94.0,41.4,14.0,39.3,35.5,16.7,21.2,78.7,9.5,36.3,45.8,24.2,14.1,7.4,4.5,5.9,21.7,19.6,108.6,-10.1
Toronto Raptors,72.0,53.0,19.0,48.3,37.8,88.3,42.8,13.1,38.9,33.7,17.8,23.2,76.9,10.9,35.1,46.1,25.6,16.8,7.2,5.5,5.0,20.4,21.7,106.5,-6.2
Los Angeles Lakers,71.0,52.0,19.0,48.1,39.1,87.1,44.8,11.6,33.4,34.9,17.9,22.9,78.1,9.4,32.9,42.3,23.4,15.9,8.2,3.7,6.6,21.7,20.7,107.6,-5.8
LA Clippers,72.0,49.0,23.0,48.3,39.5,90.2,43.8,12.3,35.6,34.5,18.5,24.5,75.6,10.7,34.6,45.3,23.7,14.1,7.5,4.7,4.7,22.9,22.1,109.9,-6.4
Boston Celtics,72.0,48.0,24.0,48.4,38.4,87.1,44.1,11.8,34.8,34.0,18.8,24.5,76.7,10.3,34.0,44.3,22.4,15.2,7.1,5.5,5.6,20.7,21.6,107.3,-6.3
Denver Nuggets,73.0,46.0,27.0,48.6,40.0,86.5,46.3,12.1,33.9,35.8,17.1,22.5,75.9,10.1,32.6,42.6,25.4,14.3,7.2,4.4,4.6,20.5,20.3,109.2,-2.1
Indiana Pacers,73.0,45.0,28.0,48.3,39.5,88.5,44.6,11.5,33.6,34.1,17.0,21.6,78.8,10.4,34.9,45.2,23.1,14.7,6.9,4.6,5.2,18.8,19.8,107.5,-2.0
Houston Rockets,72.0,44.0,28.0,48.3,42.3,91.5,46.2,12.2,35.0,34.9,18.0,23.7,76.1,11.2,36.7,47.9,25.3,16.2,8.0,4.9,5.2,21.0,21.8,114.8,-3.0
Miami Heat,73.0,44.0,29.0,48.6,38.8,86.7,44.8,13.1,37.7,34.7,18.4,23.6,78.3,9.2,33.3,42.5,24.6,14.0,7.5,4.1,4.5,21.7,20.6,109.1,-2.9
Oklahoma City Thunder,72.0,44.0,28.0,48.4,40.8,89.6,45.5,11.3,33.3,34.0,15.5,19.6,79.5,10.5,34.3,44.8,23.0,14.2,7.0,4.0,4.9,22.8,19.3,108.4,-2.0
