TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Philadelphia 76ers,34.0,25.0,9.0,73.5,4.0,9.4,2.8,6.2,44.3,0.8,2.3,33.8,3.1,3.9,79.5,1.1,2.8,3.9,1.4,1.5,0.7,0.8,0.3,2.0,2.8,1.3
Phoenix Suns,37.0,25.0,12.0,67.6,4.3,10.3,3.3,7.9,42.0,1.0,3.2,31.7,2.6,3.3,79.3,1.3,2.6,3.9,1.5,0.8,0.6,0.4,0.2,2.4,2.4,0.8
Brooklyn Nets,40.0,27.0,13.0,67.5,3.6,9.5,2.9,6.1,46.9,0.9,2.4,35.8,3.0,3.5,85.5,0.7,2.6,3.3,1.4,1.0,0.5,0.2,0.2,2.1,2.4,1.1
Portland Trail Blazers,37.0,24.0,13.0,64.9,3.7,10.8,3.6,7.6,47.2,1.3,3.6,35.8,2.3,2.7,84.2,1.1,2.6,3.6,1.8,0.6,0.5,0.4,0.4,1.9,1.9,3.0
Los Angeles Lakers,35.0,21.0,14.0,60.0,4.0,9.3,3.3,7.5,44.4,1.1,2.9,39.0,1.5,2.0,76.1,1.1,2.6,3.7,1.8,0.9,0.5,0.5,0.3,1.6,2.0,1.6
Charlotte Hornets,31.0,18.0,13.0,58.1,3.4,8.8,2.8,6.0,47.1,1.2,3.1,37.5,2.0,2.5,78.5,0.8,2.2,3.1,1.6,0.8,0.5,0.3,0.2,2.1,2.1,1.8
Denver Nuggets,31.0,18.0,13.0,58.1,4.7,11.4,3.9,7.8,50.2,1.0,2.5,39.7,2.5,3.0,83.9,1.0,2.9,3.9,2.0,1.1,0.7,0.5,0.5,2.2,2.6,0.9
Utah Jazz,30.0,17.0,13.0,56.7,3.0,7.9,2.5,5.7,44.4,1.0,3.0,33.3,1.9,2.3,82.4,0.7,2.0,2.8,1.3,0.7,0.5,0.2,0.2,1.6,1.8,1.2
New York Knicks,36.0,20.0,16.0,55.6,4.5,10.2,3.2,7.6,42.3,1.1,2.6,42.1,2.6,3.3,78.3,0.8,3.4,4.2,1.6,1.0,0.8,0.4,0.5,2.3,2.5,1.3
Dallas Mavericks,33.0,18.0,15.0,54.5,3.1,7.5,2.4,5.3,45.1,0.8,2.3,36.4,1.8,2.2,82.2,0.6,1.9,2.5,1.2,0.6,0.2,0.2,0.2,1.6,1.8,-0.5
Oklahoma City Thunder,30.0,16.0,14.0,53.3,3.5,7.8,2.4,5.8,40.6,0.8,2.6,32.1,2.2,2.7,82.5,0.7,2.7,3.4,1.0,1.2,0.5,0.3,0.4,1.7,2.1,0.0
Miami Heat,34.0,18.0,16.0,52.9,3.6,7.1,2.2,5.9,37.5,0.6,2.4,22.9,2.2,2.6,83.1,0.8,2.7,3.4,1.4,1.0,0.5,0.4,0.4,1.6,2.0,-0.3
Sacramento Kings,42.0,22.0,20.0,52.4,3.5,8.7,2.9,6.4,45.0,0.8,2.7,30.1,2.1,2.8,75.9,0.8,2.1,2.9,1.2,1.0,0.5,0.4,0.3,2.4,1.9,-0.4
Atlanta Hawks,36.0,18.0,18.0,50.0,3.6,8.5,2.8,5.8,47.1,1.0,2.4,41.2,2.0,2.5,80.9,0.5,2.3,2.8,1.5,0.8,0.3,0.3,0.4,1.8,1.7,-0.6
Golden State Warriors,32.0,16.0,16.0,50.0,3.5,8.6,3.0,6.8,43.8,1.1,3.1,35.7,1.6,1.9,83.3,1.2,2.2,3.4,1.7,0.9,0.6,0.4,0.3,2.0,1.3,-0.7
Indiana Pacers,40.0,20.0,20.0,50.0,4.2,8.9,3.2,7.1,44.7,0.9,2.8,32.1,1.7,2.2,79.3,0.5,2.9,3.4,1.8,1.3,0.8,0.5,0.5,2.2,1.8,-0.4
Memphis Grizzlies,38.0,19.0,19.0,50.0,3.7,8.5,2.8,6.5,42.7,0.6,2.0,31.2,2.4,3.2,73.2,1.0,2.4,3.4,1.5,1.0,0.8,0.4,0.6,1.6,2.0,-0.5
Washington Wizards,39.0,19.0,20.0,48.7,4.3,11.2,3.6,8.0,45.5,0.9,2.8,32.1,3.0,3.6,83.7,0.9,3.5,4.4,1.7,1.1,0.5,0.5,0.5,2.3,2.3,0.3
LA Clippers,34.0,16.0,18.0,47.1,2.5,6.2,1.8,4.3,42.5,0.7,2.1,34.7,1.8,2.1,87.1,0.6,1.8,2.4,0.9,0.6,0.3,0.2,0.1,2.1,1.3,-0.6
